year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Agricultural research,58.43,38.0%,Australia
2023,Agricultural development,25.64,16.7%,Australia
2023,Fishing policy and administrative management,14.06,9.1%,Australia
2023,Agricultural policy and administrative management,12.95,8.4%,Australia
2023,Fishery research,11.96,7.8%,Australia
2023,Forestry policy and administrative management,9.37,6.1%,Australia
2023,Rural development,3.85,2.5%,Australia
2023,Agricultural inputs,3.17,2.1%,Australia
2023,Agricultural water resources,2.44,1.6%,Australia
2023,Livestock/veterinary services,2.21,1.4%,Australia
2023,Agricultural services,1.81,1.2%,Australia
2023,Food crop production,1.54,1.0%,Australia
2023,Agricultural education/training,1.35,0.9%,Australia
2023,Forestry development,0.89,0.6%,Australia
2023,Agricultural extension,0.89,0.6%,Australia
2023,Fishery development,0.85,0.6%,Australia
2023,Plant and post-harvest protection and pest control,0.78,0.5%,Australia
2023,Livestock,0.58,0.4%,Australia
2023,Agricultural co-operatives,0.56,0.4%,Australia
2023,Agricultural land resources,0.43,0.3%,Australia
2023,Agricultural financial services,0.07,0.0%,Australia
2023,Agricultural alternative development,0.05,0.0%,Australia
2023,Forestry education/training,0.03,0.0%,Australia
2023,Industrial crops/export crops,0.02,0.0%,Australia
2023,Fuelwood/charcoal,0.01,0.0%,Australia
2023,Forestry services,0.01,0.0%,Australia
2022,Agricultural research,60.35,45.6%,Australia
2022,Agricultural development,27.94,21.1%,Australia
2022,Agricultural policy and administrative management,19.82,15.0%,Australia
2022,Fishing policy and administrative management,7.48,5.7%,Australia
2022,Fishery development,2.96,2.2%,Australia
2022,Agricultural services,2.83,2.1%,Australia
2022,Agricultural water resources,2.72,2.1%,Australia
2022,Rural development,2.48,1.9%,Australia
2022,Food crop production,1.78,1.3%,Australia
2022,Forestry development,1.02,0.8%,Australia
2022,Livestock/veterinary services,0.82,0.6%,Australia
2022,Plant and post-harvest protection and pest control,0.76,0.6%,Australia
2022,Agricultural education/training,0.42,0.3%,Australia
2022,Agricultural extension,0.32,0.2%,Australia
2022,Forestry policy and administrative management,0.25,0.2%,Australia
2022,Agricultural alternative development,0.15,0.1%,Australia
2022,Agricultural co-operatives,0.08,0.1%,Australia
2022,Livestock,0.07,0.0%,Australia
2022,Agricultural inputs,0.01,0.0%,Australia
2022,Agricultural land resources,0.01,0.0%,Australia
2021,Agricultural research,62.93,44.1%,Australia
2021,Agricultural development,32.42,22.7%,Australia
2021,Agricultural policy and administrative management,11.84,8.3%,Australia
2021,Fishing policy and administrative management,9.99,7.0%,Australia
2021,Agricultural services,7.48,5.2%,Australia
2021,Rural development,5.95,4.2%,Australia
2021,Food crop production,3.05,2.1%,Australia
2021,Fishery development,2.93,2.1%,Australia
2021,Agricultural water resources,1.62,1.1%,Australia
2021,Plant and post-harvest protection and pest control,1.1,0.8%,Australia
2021,Agricultural extension,0.79,0.6%,Australia
2021,Agricultural education/training,0.68,0.5%,Australia
2021,Livestock/veterinary services,0.37,0.3%,Australia
2021,Agricultural co-operatives,0.33,0.2%,Australia
2021,Agricultural alternative development,0.29,0.2%,Australia
2021,Agricultural inputs,0.16,0.1%,Australia
2021,Livestock,0.16,0.1%,Australia
2021,Forestry development,0.15,0.1%,Australia
2021,Industrial crops/export crops,0.14,0.1%,Australia
2021,Forestry policy and administrative management,0.09,0.1%,Australia
2021,Agricultural financial services,0.05,0.0%,Australia
2021,Fishery education/training,0.03,0.0%,Australia
2020,Agricultural research,69.4,44.7%,Australia
2020,Agricultural development,24.04,15.5%,Australia
2020,Rural development,23.41,15.1%,Australia
2020,Agricultural services,11.79,7.6%,Australia
2020,Agricultural policy and administrative management,9.78,6.3%,Australia
2020,Fishing policy and administrative management,7.39,4.8%,Australia
2020,Food crop production,3.02,1.9%,Australia
2020,Livestock,2.11,1.4%,Australia
2020,Fishery development,1.5,1.0%,Australia
2020,Plant and post-harvest protection and pest control,1.33,0.9%,Australia
2020,Agricultural water resources,0.84,0.5%,Australia
2020,Livestock/veterinary services,0.54,0.3%,Australia
2020,Agricultural land resources,0.04,0.0%,Australia
2019,Agricultural research,73.2,42.7%,Australia
2019,Rural development,30.59,17.8%,Australia
2019,Agricultural development,30.41,17.7%,Australia
2019,Fishing policy and administrative management,9.31,5.4%,Australia
2019,Agricultural services,9.07,5.3%,Australia
2019,Agricultural policy and administrative management,7.86,4.6%,Australia
2019,Agricultural water resources,2.62,1.5%,Australia
2019,Food crop production,2.61,1.5%,Australia
2019,Fishery development,2.25,1.3%,Australia
2019,Livestock,1.86,1.1%,Australia
2019,Fishery research,0.48,0.3%,Australia
2019,Livestock/veterinary services,0.36,0.2%,Australia
2019,Agricultural education/training,0.34,0.2%,Australia
2019,Agricultural land resources,0.22,0.1%,Australia
2019,Industrial crops/export crops,0.16,0.1%,Australia
2019,Plant and post-harvest protection and pest control,0.08,0.0%,Australia
2019,Forestry education/training,0.06,0.0%,Australia
2019,Agricultural inputs,0.03,0.0%,Australia
2019,Forestry policy and administrative management,0.02,0.0%,Australia
2019,Agricultural extension,0.01,0.0%,Australia
2019,Agricultural co-operatives,0.01,0.0%,Australia
2019,Fishery education/training,0.01,0.0%,Australia
2019,Fishery services,0.01,0.0%,Australia
2019,Agricultural financial services,0.0,0.0%,Australia
2019,Agricultural alternative development,0.0,0.0%,Australia
2019,Forestry development,0.0,0.0%,Australia
