Year,Multi_short,ODA,Share,Full Name,Donor
2019,ADF,7.01,0.07%,african development fund,Austria
2020,ADF,7.02,0.06%,african development fund,Austria
2021,ADF,5.24,0.06%,african development fund,Austria
2022,ADF,4.73,0.06%,african development fund,Austria
2023,ADF,7.52,0.08%,african development fund,Austria
2023,AF,1.35,0.01%,adaptation fund,Austria
2019,AIIB,0.07,0.0%,asian infrastructure investment bank,Austria
2020,AfDB,0.36,0.0%,african development bank,Austria
2021,AfDB,0.35,0.0%,african development bank,Austria
2022,AfDB,0.42,0.0%,african development bank,Austria
2023,AfDB,0.44,0.0%,african development bank,Austria
2019,EC-DSB,19.3,0.18%,european commission development share of budget,Austria
2020,EC-DSB,17.99,0.15%,european commission development share of budget,Austria
2021,EC-DSB,17.46,0.19%,european commission development share of budget,Austria
2022,EC-DSB,18.75,0.22%,european commission development share of budget,Austria
2023,EC-DSB,17.75,0.18%,european commission development share of budget,Austria
2019,EC-EDF,19.21,0.18%,european commission european development fund,Austria
2020,EC-EDF,17.49,0.15%,european commission european development fund,Austria
2021,EC-EDF,12.15,0.13%,european commission european development fund,Austria
2022,EC-EDF,5.14,0.06%,european commission european development fund,Austria
2023,EC-EDF,1.98,0.02%,european commission european development fund,Austria
2019,FAO,1.87,0.02%,food and agricultural organisation,Austria
2020,FAO,1.63,0.01%,food and agricultural organisation,Austria
2021,FAO,1.48,0.02%,food and agricultural organisation,Austria
2022,FAO,1.39,0.02%,food and agricultural organisation,Austria
2023,FAO,1.33,0.01%,food and agricultural organisation,Austria
2019,GCF,4.39,0.04%,green climate fund,Austria
2020,GCF,8.66,0.07%,green climate fund,Austria
2021,GCF,10.14,0.11%,green climate fund,Austria
2022,GCF,10.36,0.12%,green climate fund,Austria
2023,GCF,8.0,0.08%,green climate fund,Austria
2019,GEF-TF,0.98,0.01%,global environment facility trust fund,Austria
2020,GEF-TF,0.5,0.0%,global environment facility trust fund,Austria
2021,GEF-TF,1.16,0.01%,global environment facility trust fund,Austria
2022,GEF-TF,1.71,0.02%,global environment facility trust fund,Austria
2023,GEF-TF,2.54,0.03%,global environment facility trust fund,Austria
2019,IBRD,4.15,0.04%,international bank for reconstruction and development,Austria
2019,IDA,24.37,0.23%,international development association,Austria
2020,IDA,22.0,0.19%,international development association,Austria
2021,IDA,21.22,0.23%,international development association,Austria
2022,IDA,17.45,0.2%,international development association,Austria
2023,IDA,30.81,0.32%,international development association,Austria
2019,IDB-IIC-MIF,0.04,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Austria
2020,IDB-IIC-MIF,0.02,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Austria
2021,IDB-IIC-MIF,0.01,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Austria
2022,IDB-IIC-MIF,0.01,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Austria
2022,IFC,3.64,0.04%,international finance corporation,Austria
2023,IFC,3.1,0.03%,international finance corporation,Austria
2022,UN,0.01,0.0%,united nations,Austria
2023,UN,0.04,0.0%,united nations,Austria
2019,UNDP,0.0,0.0%,united nations development programme,Austria
2020,UNDP,0.0,0.0%,united nations development programme,Austria
2021,UNDP,0.0,0.0%,united nations development programme,Austria
2022,UNDP,0.0,0.0%,united nations development programme,Austria
2023,UNDP,0.01,0.0%,united nations development programme,Austria
2020,UNIDO,0.0,0.0%,united nations industrial development organisation,Austria
2021,UNIDO,0.0,0.0%,united nations industrial development organisation,Austria
2022,UNIDO,0.01,0.0%,united nations industrial development organisation,Austria
2023,UNIDO,0.04,0.0%,united nations industrial development organisation,Austria
2019,,0.0,0.0%,united nations children’s fund,Austria
2020,,0.0,0.0%,united nations children’s fund,Austria
2021,,0.0,0.0%,united nations children’s fund,Austria
2022,,0.0,0.0%,united nations children’s fund,Austria
2023,,0.0,0.0%,united nations children’s fund,Austria
