year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Agricultural development,50.56,84.1%,Denmark
2023,Agricultural policy and administrative management,4.73,7.9%,Denmark
2023,Forestry policy and administrative management,1.69,2.8%,Denmark
2023,Agricultural land resources,1.45,2.4%,Denmark
2023,Rural development,0.67,1.1%,Denmark
2023,Fishery education/training,0.42,0.7%,Denmark
2023,Agricultural services,0.3,0.5%,Denmark
2023,Livestock/veterinary services,0.14,0.2%,Denmark
2023,Food crop production,0.1,0.2%,Denmark
2023,Forestry development,0.04,0.1%,Denmark
2023,Agricultural research,0.02,0.0%,Denmark
2022,Agricultural development,28.32,76.5%,Denmark
2022,Rural development,2.34,6.3%,Denmark
2022,Agricultural policy and administrative management,1.99,5.4%,Denmark
2022,Agricultural land resources,1.43,3.9%,Denmark
2022,Fishery education/training,0.89,2.4%,Denmark
2022,Livestock/veterinary services,0.83,2.2%,Denmark
2022,Forestry policy and administrative management,0.77,2.1%,Denmark
2022,Food crop production,0.23,0.6%,Denmark
2022,Agricultural services,0.16,0.4%,Denmark
2022,Agricultural co-operatives,0.07,0.2%,Denmark
2022,Forestry development,0.0,0.0%,Denmark
2021,Agricultural development,40.57,64.7%,Denmark
2021,Agricultural policy and administrative management,6.43,10.3%,Denmark
2021,Food crop production,4.98,7.9%,Denmark
2021,Agricultural land resources,4.63,7.4%,Denmark
2021,Rural development,3.57,5.7%,Denmark
2021,Forestry policy and administrative management,1.18,1.9%,Denmark
2021,Livestock/veterinary services,0.57,0.9%,Denmark
2021,Fishery education/training,0.42,0.7%,Denmark
2021,Agricultural services,0.21,0.3%,Denmark
2021,Forestry development,0.1,0.2%,Denmark
2021,Agricultural education/training,0.02,0.0%,Denmark
2021,Agricultural co-operatives,0.0,0.0%,Denmark
2020,Agricultural development,57.54,79.3%,Denmark
2020,Food crop production,5.91,8.1%,Denmark
2020,Rural development,3.75,5.2%,Denmark
2020,Agricultural policy and administrative management,2.76,3.8%,Denmark
2020,Forestry policy and administrative management,1.05,1.5%,Denmark
2020,Forestry development,0.96,1.3%,Denmark
2020,Livestock/veterinary services,0.54,0.7%,Denmark
2020,Agricultural education/training,0.05,0.1%,Denmark
2020,Agricultural extension,0.0,0.0%,Denmark
2020,Fishery development,0.0,0.0%,Denmark
2020,Fishery education/training,0.0,0.0%,Denmark
2020,Agricultural services,0.0,0.0%,Denmark
2020,Agricultural land resources,0.0,0.0%,Denmark
2019,Agricultural development,44.64,67.3%,Denmark
2019,Agricultural policy and administrative management,9.7,14.6%,Denmark
2019,Food crop production,4.98,7.5%,Denmark
2019,Rural development,3.95,6.0%,Denmark
2019,Forestry development,1.45,2.2%,Denmark
2019,Livestock,0.62,0.9%,Denmark
2019,Forestry policy and administrative management,0.37,0.6%,Denmark
2019,Agricultural extension,0.33,0.5%,Denmark
2019,Livestock/veterinary services,0.27,0.4%,Denmark
2019,Fishery development,0.04,0.1%,Denmark
2019,Agricultural services,0.02,0.0%,Denmark
2019,Forestry research,0.0,0.0%,Denmark
