Year,Multi_short,ODA,Share,Full Name,Donor
2019,ADF,28.32,0.02%,african development fund,Germany
2020,ADF,26.76,0.01%,african development fund,Germany
2021,ADF,24.49,0.01%,african development fund,Germany
2022,ADF,22.69,0.01%,african development fund,Germany
2023,ADF,42.08,0.02%,african development fund,Germany
2019,AF,14.89,0.01%,adaptation fund,Germany
2020,AF,24.95,0.01%,adaptation fund,Germany
2021,AF,21.93,0.01%,adaptation fund,Germany
2022,AF,21.9,0.01%,adaptation fund,Germany
2023,AF,17.53,0.01%,adaptation fund,Germany
2019,AIIB,0.66,0.0%,asian infrastructure investment bank,Germany
2019,AfDB,1.02,0.0%,african development bank,Germany
2020,AfDB,4.37,0.0%,african development bank,Germany
2021,AfDB,5.04,0.0%,african development bank,Germany
2022,AfDB,6.54,0.0%,african development bank,Germany
2023,AfDB,6.96,0.0%,african development bank,Germany
2019,EC-DSB,169.76,0.11%,european commission development share of budget,Germany
2020,EC-DSB,153.85,0.08%,european commission development share of budget,Germany
2021,EC-DSB,169.33,0.08%,european commission development share of budget,Germany
2022,EC-DSB,188.14,0.07%,european commission development share of budget,Germany
2023,EC-DSB,213.24,0.11%,european commission development share of budget,Germany
2019,EC-EDF,163.41,0.11%,european commission european development fund,Germany
2020,EC-EDF,150.04,0.08%,european commission european development fund,Germany
2021,EC-EDF,103.13,0.05%,european commission european development fund,Germany
2022,EC-EDF,43.68,0.02%,european commission european development fund,Germany
2023,EC-EDF,16.95,0.01%,european commission european development fund,Germany
2019,FAO,16.63,0.01%,food and agricultural organisation,Germany
2020,FAO,14.84,0.01%,food and agricultural organisation,Germany
2021,FAO,13.01,0.01%,food and agricultural organisation,Germany
2022,FAO,13.55,0.01%,food and agricultural organisation,Germany
2023,FAO,11.89,0.01%,food and agricultural organisation,Germany
2020,GCF,25.97,0.01%,green climate fund,Germany
2021,GCF,190.79,0.09%,green climate fund,Germany
2022,GCF,195.07,0.07%,green climate fund,Germany
2023,GCF,152.09,0.08%,green climate fund,Germany
2019,GEF-TF,4.04,0.0%,global environment facility trust fund,Germany
2020,GEF-TF,4.14,0.0%,global environment facility trust fund,Germany
2021,GEF-TF,9.52,0.0%,global environment facility trust fund,Germany
2022,GEF-TF,20.18,0.01%,global environment facility trust fund,Germany
2023,GEF-TF,30.97,0.02%,global environment facility trust fund,Germany
2019,IBRD,5.32,0.0%,international bank for reconstruction and development,Germany
2020,IBRD,5.08,0.0%,international bank for reconstruction and development,Germany
2021,IBRD,4.27,0.0%,international bank for reconstruction and development,Germany
2022,IBRD,5.27,0.0%,international bank for reconstruction and development,Germany
2023,IBRD,4.91,0.0%,international bank for reconstruction and development,Germany
2019,IDA,87.41,0.06%,international development association,Germany
2020,IDA,79.55,0.04%,international development association,Germany
2021,IDA,69.73,0.03%,international development association,Germany
2022,IDA,57.89,0.02%,international development association,Germany
2023,IDA,110.09,0.06%,international development association,Germany
2022,IFC,17.2,0.01%,international finance corporation,Germany
2023,IFC,16.21,0.01%,international finance corporation,Germany
2022,UN,0.12,0.0%,united nations,Germany
2023,UN,0.32,0.0%,united nations,Germany
2019,UNDP,0.09,0.0%,united nations development programme,Germany
2020,UNDP,0.19,0.0%,united nations development programme,Germany
2021,UNDP,0.38,0.0%,united nations development programme,Germany
2022,UNDP,0.35,0.0%,united nations development programme,Germany
2023,UNDP,0.54,0.0%,united nations development programme,Germany
2020,UNIDO,0.01,0.0%,united nations industrial development organisation,Germany
2021,UNIDO,0.03,0.0%,united nations industrial development organisation,Germany
2022,UNIDO,0.09,0.0%,united nations industrial development organisation,Germany
2023,UNIDO,0.35,0.0%,united nations industrial development organisation,Germany
2019,WFP,0.02,0.0%,world food programme,Germany
2021,WOAH,0.16,0.0%,world organisation for animal health,Germany
2022,WOAH,0.16,0.0%,world organisation for animal health,Germany
2023,WOAH,0.17,0.0%,world organisation for animal health,Germany
2019,,0.01,0.0%,united nations children’s fund,Germany
2020,,0.03,0.0%,united nations children’s fund,Germany
2021,,0.03,0.0%,united nations children’s fund,Germany
2022,,0.05,0.0%,united nations children’s fund,Germany
2023,,0.03,0.0%,united nations children’s fund,Germany
