"","RegionName","Funding_2021","perc_region_total"
"1","Regional and Unspecified",569.23,0.406796255270492
"2","South of Sahara",441.09,0.315221896662617
"3","South & Central Asia",89.57,0.0640105767169299
"4","South America",75.63,0.0540484527978275
"5","Africa",73.09,0.0522332594868863
"6","Far East Asia",63.48,0.0453655399128136
"7","North of Sahara",35.82,0.0255985135424855
"8","Caribbean & Central America",23.02,0.0164510826841992
"9","Middle East",13.38,0.00956192381905238
"10","Europe",12.6,0.00900450225112556
"11","Oceania",1.58,0.00112913599656971
"12","America",0.46,0.000328735796469663
"13","Asia",0.35,0.000250125062531266
