year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Agricultural education/training,1.7,52.9%,Hungary
2023,Agricultural development,0.51,15.9%,Hungary
2023,Agricultural financial services,0.4,12.3%,Hungary
2023,Agricultural water resources,0.34,10.7%,Hungary
2023,Agricultural research,0.08,2.5%,Hungary
2023,Forestry development,0.08,2.4%,Hungary
2023,Agricultural extension,0.06,1.9%,Hungary
2023,Rural development,0.04,1.3%,Hungary
2022,Agricultural development,18.05,90.5%,Hungary
2022,Agricultural financial services,0.75,3.7%,Hungary
2022,Food crop production,0.64,3.2%,Hungary
2022,Agricultural research,0.31,1.6%,Hungary
2022,Agricultural water resources,0.15,0.8%,Hungary
2022,Agricultural land resources,0.03,0.2%,Hungary
2021,Agricultural water resources,10.57,42.6%,Hungary
2021,Agricultural development,9.57,38.6%,Hungary
2021,Agricultural policy and administrative management,4.24,17.1%,Hungary
2021,Agricultural education/training,0.22,0.9%,Hungary
2021,Agricultural financial services,0.14,0.6%,Hungary
2021,Livestock,0.02,0.1%,Hungary
2021,Forestry development,0.01,0.0%,Hungary
2021,Rural development,0.01,0.1%,Hungary
2020,Agricultural development,17.13,78.8%,Hungary
2020,Rural development,3.69,17.0%,Hungary
2020,Agricultural education/training,0.48,2.2%,Hungary
2020,Agricultural research,0.17,0.8%,Hungary
2020,Industrial crops/export crops,0.14,0.7%,Hungary
2020,Plant and post-harvest protection and pest control,0.07,0.3%,Hungary
2020,Agricultural water resources,0.06,0.3%,Hungary
2020,Agricultural extension,0.0,0.0%,Hungary
2019,Agricultural development,6.42,89.4%,Hungary
2019,Agricultural inputs,0.67,9.4%,Hungary
2019,Agricultural water resources,0.07,0.9%,Hungary
2019,Agricultural research,0.01,0.1%,Hungary
2019,Forestry research,0.01,0.1%,Hungary
2019,Forestry development,0.0,0.0%,Hungary
2019,Agricultural policy and administrative management,0.0,0.0%,Hungary
2019,Agricultural financial services,0.0,0.0%,Hungary
