year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Fishing policy and administrative management,1.9,26.6%,Iceland
2023,Rural development,1.8,25.2%,Iceland
2023,Fishery education/training,1.51,21.1%,Iceland
2023,Forestry education/training,1.2,16.8%,Iceland
2023,Fishery development,0.72,10.1%,Iceland
2023,Food crop production,0.01,0.1%,Iceland
2023,Fishery research,0.01,0.1%,Iceland
2022,Rural development,1.67,27.7%,Iceland
2022,Fishery education/training,1.46,24.3%,Iceland
2022,Fishing policy and administrative management,1.37,22.8%,Iceland
2022,Forestry education/training,1.26,21.0%,Iceland
2022,Agricultural policy and administrative management,0.06,0.9%,Iceland
2022,Forestry development,0.05,0.8%,Iceland
2022,Fishery development,0.04,0.7%,Iceland
2022,Forestry policy and administrative management,0.04,0.6%,Iceland
2022,Agricultural development,0.04,0.6%,Iceland
2022,Agricultural land resources,0.04,0.6%,Iceland
2021,Rural development,1.96,35.6%,Iceland
2021,Fishery education/training,1.46,26.5%,Iceland
2021,Forestry education/training,1.08,19.6%,Iceland
2021,Fishery development,0.48,8.7%,Iceland
2021,Fishing policy and administrative management,0.43,7.7%,Iceland
2021,Agricultural land resources,0.03,0.6%,Iceland
2021,Forestry policy and administrative management,0.03,0.6%,Iceland
2021,Forestry development,0.02,0.3%,Iceland
2021,Agricultural development,0.02,0.4%,Iceland
2020,Fishery education/training,1.59,30.6%,Iceland
2020,Rural development,1.19,23.0%,Iceland
2020,Fishing policy and administrative management,1.05,20.2%,Iceland
2020,Forestry education/training,0.94,18.1%,Iceland
2020,Fishery development,0.34,6.5%,Iceland
2020,Fishery services,0.04,0.8%,Iceland
2020,Agricultural development,0.02,0.4%,Iceland
2020,Fishery research,0.01,0.2%,Iceland
2020,Food crop production,0.01,0.2%,Iceland
2019,Fishery education/training,2.22,27.8%,Iceland
2019,Fishing policy and administrative management,2.1,26.3%,Iceland
2019,Rural development,1.37,17.1%,Iceland
2019,Forestry education/training,1.32,16.5%,Iceland
2019,Fishery development,0.92,11.6%,Iceland
2019,Fishery services,0.05,0.6%,Iceland
