year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Agricultural research,,,Latvia
2023,Agricultural development,,,Latvia
2022,Plant and post-harvest protection and pest control,,,Latvia
2022,Agrarian reform,,,Latvia
2022,Agricultural research,,,Latvia
2021,Agricultural research,,,Latvia
2020,Rural development,,,Latvia
2020,Agricultural research,,,Latvia
2020,Forestry policy and administrative management,,,Latvia
2020,Agricultural education/training,,,Latvia
2019,Rural development,,,Latvia
2019,Fishing policy and administrative management,,,Latvia
2019,Fishery development,,,Latvia
