Year,Multi_short,ODA,Share,Full Name,Donor
2019,EC-DSB,1.72,,european commission development share of budget,Latvia
2020,EC-DSB,1.62,,european commission development share of budget,Latvia
2021,EC-DSB,1.77,,european commission development share of budget,Latvia
2022,EC-DSB,2.0,,european commission development share of budget,Latvia
2023,EC-DSB,2.06,,european commission development share of budget,Latvia
2019,EC-EDF,0.96,,european commission european development fund,Latvia
2020,EC-EDF,0.88,,european commission european development fund,Latvia
2021,EC-EDF,0.65,,european commission european development fund,Latvia
2022,EC-EDF,0.25,,european commission european development fund,Latvia
2023,EC-EDF,0.1,,european commission european development fund,Latvia
2019,FAO,0.14,,food and agricultural organisation,Latvia
2020,FAO,0.12,,food and agricultural organisation,Latvia
2021,FAO,0.12,,food and agricultural organisation,Latvia
2022,FAO,0.13,,food and agricultural organisation,Latvia
2023,FAO,0.1,,food and agricultural organisation,Latvia
2020,IBRD,0.07,,international bank for reconstruction and development,Latvia
2021,IBRD,0.09,,international bank for reconstruction and development,Latvia
2022,IBRD,0.1,,international bank for reconstruction and development,Latvia
2023,IBRD,0.1,,international bank for reconstruction and development,Latvia
2019,IDA,0.15,,international development association,Latvia
2020,IDA,0.11,,international development association,Latvia
2021,IDA,0.05,,international development association,Latvia
2022,IDA,0.9,,international development association,Latvia
2023,IDA,1.08,,international development association,Latvia
2022,IFC,0.32,,international finance corporation,Latvia
2023,IFC,0.27,,international finance corporation,Latvia
2022,UN,0.0,,united nations,Latvia
2023,UN,0.0,,united nations,Latvia
2019,UNECE-EXB,0.0,,united nations economic commission for europe extrabudgetary contributions only,Latvia
2021,,0.0,,united nations children’s fund,Latvia
2022,,0.0,,united nations children’s fund,Latvia
2023,,0.0,,united nations children’s fund,Latvia
