year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Rural development,8.97,29.3%,Luxembourg
2023,Agricultural development,7.69,25.1%,Luxembourg
2023,Livestock,4.79,15.7%,Luxembourg
2023,Forestry development,4.23,13.8%,Luxembourg
2023,Agricultural education/training,1.25,4.1%,Luxembourg
2023,Agricultural co-operatives,1.02,3.3%,Luxembourg
2023,Food crop production,0.93,3.0%,Luxembourg
2023,Agricultural financial services,0.9,3.0%,Luxembourg
2023,Agricultural alternative development,0.5,1.6%,Luxembourg
2023,Agricultural land resources,0.11,0.3%,Luxembourg
2023,Agricultural extension,0.09,0.3%,Luxembourg
2023,Agricultural water resources,0.08,0.3%,Luxembourg
2023,Forestry policy and administrative management,0.03,0.1%,Luxembourg
2023,Agricultural policy and administrative management,0.02,0.1%,Luxembourg
2022,Agricultural development,21.43,57.2%,Luxembourg
2022,Rural development,4.66,12.4%,Luxembourg
2022,Livestock,4.07,10.9%,Luxembourg
2022,Forestry development,2.43,6.5%,Luxembourg
2022,Agricultural financial services,1.52,4.1%,Luxembourg
2022,Agricultural co-operatives,1.04,2.8%,Luxembourg
2022,Food crop production,0.97,2.6%,Luxembourg
2022,Agricultural education/training,0.65,1.7%,Luxembourg
2022,Agricultural policy and administrative management,0.33,0.9%,Luxembourg
2022,Agricultural land resources,0.16,0.4%,Luxembourg
2022,Agricultural extension,0.11,0.3%,Luxembourg
2022,Agricultural water resources,0.09,0.2%,Luxembourg
2022,Fishing policy and administrative management,0.03,0.1%,Luxembourg
2021,Agricultural development,10.65,28.4%,Luxembourg
2021,Rural development,9.19,24.5%,Luxembourg
2021,Forestry development,6.18,16.5%,Luxembourg
2021,Agricultural policy and administrative management,4.37,11.6%,Luxembourg
2021,Agricultural financial services,1.74,4.6%,Luxembourg
2021,Agricultural education/training,1.51,4.0%,Luxembourg
2021,Agricultural land resources,1.38,3.7%,Luxembourg
2021,Food crop production,1.17,3.1%,Luxembourg
2021,Agricultural co-operatives,0.92,2.5%,Luxembourg
2021,Livestock,0.23,0.6%,Luxembourg
2021,Agricultural extension,0.2,0.5%,Luxembourg
2020,Rural development,11.74,28.2%,Luxembourg
2020,Agricultural development,9.26,22.3%,Luxembourg
2020,Agricultural policy and administrative management,6.13,14.7%,Luxembourg
2020,Forestry development,5.63,13.5%,Luxembourg
2020,Agricultural financial services,2.78,6.7%,Luxembourg
2020,Agricultural education/training,1.71,4.1%,Luxembourg
2020,Agricultural land resources,1.52,3.6%,Luxembourg
2020,Agricultural co-operatives,1.13,2.7%,Luxembourg
2020,Food crop production,1.0,2.4%,Luxembourg
2020,Agricultural water resources,0.25,0.6%,Luxembourg
2020,Livestock,0.23,0.6%,Luxembourg
2020,Agricultural extension,0.21,0.5%,Luxembourg
2019,Rural development,15.78,31.8%,Luxembourg
2019,Agricultural policy and administrative management,7.3,14.7%,Luxembourg
2019,Agricultural development,6.64,13.4%,Luxembourg
2019,Forestry development,6.1,12.3%,Luxembourg
2019,Agricultural financial services,3.47,7.0%,Luxembourg
2019,Agricultural education/training,3.11,6.3%,Luxembourg
2019,Agricultural alternative development,2.19,4.4%,Luxembourg
2019,Livestock,1.83,3.7%,Luxembourg
2019,Agricultural co-operatives,1.32,2.7%,Luxembourg
2019,Food crop production,1.08,2.2%,Luxembourg
2019,Agricultural land resources,0.24,0.5%,Luxembourg
2019,Agricultural extension,0.21,0.4%,Luxembourg
2019,Agricultural water resources,0.13,0.3%,Luxembourg
2019,Forestry policy and administrative management,0.12,0.2%,Luxembourg
2019,Fishing policy and administrative management,0.03,0.1%,Luxembourg
2019,Agricultural services,0.03,0.1%,Luxembourg
2019,Agricultural research,0.02,0.0%,Luxembourg
2019,Livestock/veterinary services,0.01,0.0%,Luxembourg
