Year,Multi_short,ODA,Share,Full Name,Donor
2019,ADB,0.15,0.0%,asian development bank,New Zealand
2020,ADB,0.16,0.0%,asian development bank,New Zealand
2021,ADB,0.16,0.0%,asian development bank,New Zealand
2022,ADB,0.18,0.0%,asian development bank,New Zealand
2023,ADB,0.18,0.0%,asian development bank,New Zealand
2019,AF,0.85,1.0%,adaptation fund,New Zealand
2023,AF,2.49,3.0%,adaptation fund,New Zealand
2022,CGIAR ,2.27,6.0%,cgiar fund,New Zealand
2023,CGIAR ,2.15,3.0%,cgiar fund,New Zealand
2019,FAO,1.14,2.0%,food and agricultural organisation,New Zealand
2020,FAO,1.05,2.0%,food and agricultural organisation,New Zealand
2021,FAO,1.04,3.0%,food and agricultural organisation,New Zealand
2022,FAO,0.95,3.0%,food and agricultural organisation,New Zealand
2023,FAO,0.97,1.0%,food and agricultural organisation,New Zealand
2019,GCF,1.24,2.0%,green climate fund,New Zealand
2019,GEF-TF,0.04,0.0%,global environment facility trust fund,New Zealand
2020,GEF-TF,0.04,0.0%,global environment facility trust fund,New Zealand
2021,GEF-TF,0.1,0.0%,global environment facility trust fund,New Zealand
2023,GEF-TF,1.92,3.0%,global environment facility trust fund,New Zealand
2021,IBRD,0.47,1.0%,international bank for reconstruction and development,New Zealand
2022,IBRD,0.48,1.0%,international bank for reconstruction and development,New Zealand
2023,IBRD,0.48,1.0%,international bank for reconstruction and development,New Zealand
2019,IDA,1.6,3.0%,international development association,New Zealand
2020,IDA,1.45,3.0%,international development association,New Zealand
2021,IDA,1.3,3.0%,international development association,New Zealand
2022,IDA,1.08,3.0%,international development association,New Zealand
2023,IDA,2.11,3.0%,international development association,New Zealand
2022,UN,0.01,0.0%,united nations,New Zealand
2023,UN,0.02,0.0%,united nations,New Zealand
2019,UNDP,0.01,0.0%,united nations development programme,New Zealand
2020,UNDP,0.01,0.0%,united nations development programme,New Zealand
2021,UNDP,0.01,0.0%,united nations development programme,New Zealand
2022,UNDP,0.03,0.0%,united nations development programme,New Zealand
2023,UNDP,0.03,0.0%,united nations development programme,New Zealand
2019,WFP,0.0,0.0%,world food programme,New Zealand
2019,,0.0,0.0%,united nations children’s fund,New Zealand
2020,,0.0,0.0%,united nations children’s fund,New Zealand
2021,,0.0,0.0%,united nations children’s fund,New Zealand
2022,,0.0,0.0%,united nations children’s fund,New Zealand
2023,,0.0,0.0%,united nations children’s fund,New Zealand
