year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Agricultural development,65.12,23.6%,Norway
2023,Agricultural policy and administrative management,43.8,15.9%,Norway
2023,Agricultural financial services,32.85,11.9%,Norway
2023,Fishery development,29.63,10.7%,Norway
2023,Agricultural land resources,24.36,8.8%,Norway
2023,Food crop production,18.55,6.7%,Norway
2023,Agricultural education/training,14.48,5.3%,Norway
2023,Fishing policy and administrative management,10.16,3.7%,Norway
2023,Rural development,9.76,3.5%,Norway
2023,Agricultural research,7.08,2.6%,Norway
2023,Forestry policy and administrative management,5.71,2.1%,Norway
2023,Fishery education/training,3.67,1.3%,Norway
2023,Agricultural co-operatives,2.96,1.1%,Norway
2023,Agricultural extension,1.35,0.5%,Norway
2023,Plant and post-harvest protection and pest control,1.19,0.4%,Norway
2023,Agricultural services,1.18,0.4%,Norway
2023,Agricultural alternative development,1.04,0.4%,Norway
2023,Industrial crops/export crops,0.67,0.2%,Norway
2023,Forestry development,0.62,0.2%,Norway
2023,Agricultural inputs,0.54,0.2%,Norway
2023,Livestock/veterinary services,0.46,0.2%,Norway
2023,Agricultural water resources,0.36,0.1%,Norway
2023,Fishery research,0.21,0.1%,Norway
2022,Agricultural development,43.18,23.9%,Norway
2022,Fishery development,25.65,14.2%,Norway
2022,Agricultural policy and administrative management,22.37,12.4%,Norway
2022,Agricultural land resources,18.92,10.5%,Norway
2022,Fishing policy and administrative management,10.8,6.0%,Norway
2022,Agricultural inputs,9.44,5.2%,Norway
2022,Food crop production,8.88,4.9%,Norway
2022,Rural development,8.15,4.5%,Norway
2022,Agricultural research,7.67,4.2%,Norway
2022,Agricultural services,6.83,3.8%,Norway
2022,Forestry policy and administrative management,4.92,2.7%,Norway
2022,Agricultural education/training,3.88,2.2%,Norway
2022,Agricultural extension,2.19,1.2%,Norway
2022,Livestock,1.54,0.9%,Norway
2022,Agricultural financial services,1.3,0.7%,Norway
2022,Fishery education/training,1.03,0.6%,Norway
2022,Agricultural co-operatives,0.94,0.5%,Norway
2022,Plant and post-harvest protection and pest control,0.85,0.5%,Norway
2022,Forestry development,0.68,0.4%,Norway
2022,Industrial crops/export crops,0.64,0.4%,Norway
2022,Fishery research,0.26,0.1%,Norway
2022,Livestock/veterinary services,0.26,0.1%,Norway
2022,Agricultural alternative development,0.0,0.0%,Norway
2021,Agricultural development,53.7,35.4%,Norway
2021,Fishery development,27.33,18.0%,Norway
2021,Fishing policy and administrative management,12.5,8.2%,Norway
2021,Agricultural research,8.31,5.5%,Norway
2021,Food crop production,7.36,4.8%,Norway
2021,Forestry policy and administrative management,6.56,4.3%,Norway
2021,Rural development,6.37,4.2%,Norway
2021,Agricultural services,4.38,2.9%,Norway
2021,Agricultural policy and administrative management,4.06,2.7%,Norway
2021,Agricultural education/training,3.32,2.2%,Norway
2021,Agricultural land resources,2.79,1.8%,Norway
2021,Livestock,2.75,1.8%,Norway
2021,Agricultural inputs,2.26,1.5%,Norway
2021,Agricultural extension,2.15,1.4%,Norway
2021,Fishery education/training,2.14,1.4%,Norway
2021,Agricultural co-operatives,1.76,1.2%,Norway
2021,Agricultural financial services,1.13,0.7%,Norway
2021,Forestry development,1.09,0.7%,Norway
2021,Agricultural alternative development,1.06,0.7%,Norway
2021,Fishery research,0.59,0.4%,Norway
2021,Livestock/veterinary services,0.14,0.1%,Norway
2021,Industrial crops/export crops,,,Norway
2020,Agricultural development,48.27,32.5%,Norway
2020,Fishery development,30.0,20.2%,Norway
2020,Rural development,15.33,10.3%,Norway
2020,Agricultural research,11.48,7.7%,Norway
2020,Fishing policy and administrative management,8.34,5.6%,Norway
2020,Agricultural policy and administrative management,6.06,4.1%,Norway
2020,Food crop production,5.15,3.5%,Norway
2020,Agricultural inputs,4.9,3.3%,Norway
2020,Agricultural services,3.84,2.6%,Norway
2020,Forestry policy and administrative management,3.53,2.4%,Norway
2020,Fishery education/training,2.92,2.0%,Norway
2020,Agricultural extension,2.46,1.7%,Norway
2020,Agricultural education/training,1.82,1.2%,Norway
2020,Agricultural alternative development,1.41,0.9%,Norway
2020,Agricultural co-operatives,1.15,0.8%,Norway
2020,Agricultural financial services,0.78,0.5%,Norway
2020,Agricultural land resources,0.55,0.4%,Norway
2020,Livestock,0.21,0.1%,Norway
2020,Fishery research,0.13,0.1%,Norway
2020,Forestry development,0.1,0.1%,Norway
2020,Plant and post-harvest protection and pest control,0.0,0.0%,Norway
2020,Industrial crops/export crops,,,Norway
2019,Agricultural development,28.76,21.4%,Norway
2019,Fishery development,24.88,18.5%,Norway
2019,Rural development,16.22,12.1%,Norway
2019,Fishing policy and administrative management,10.69,7.9%,Norway
2019,Agricultural research,10.26,7.6%,Norway
2019,Agricultural policy and administrative management,8.67,6.4%,Norway
2019,Agricultural education/training,6.8,5.1%,Norway
2019,Food crop production,5.13,3.8%,Norway
2019,Agricultural inputs,3.64,2.7%,Norway
2019,Agricultural extension,3.06,2.3%,Norway
2019,Fishery education/training,3.05,2.3%,Norway
2019,Fishery services,2.5,1.9%,Norway
2019,Agricultural co-operatives,2.23,1.7%,Norway
2019,Forestry policy and administrative management,2.06,1.5%,Norway
2019,Agricultural services,1.56,1.2%,Norway
2019,Plant and post-harvest protection and pest control,1.45,1.1%,Norway
2019,Agricultural alternative development,1.37,1.0%,Norway
2019,Agricultural land resources,0.71,0.5%,Norway
2019,Fishery research,0.45,0.3%,Norway
2019,Livestock,0.42,0.3%,Norway
2019,Agricultural financial services,0.32,0.2%,Norway
2019,Industrial crops/export crops,0.29,0.2%,Norway
2019,Agricultural water resources,0.07,0.1%,Norway
2019,Forestry development,0.01,0.0%,Norway
