Year,Multi_short,ODA,Share,Full Name,Donor
2019,ADF,10.05,0.06%,african development fund,Norway
2020,ADF,11.34,0.05%,african development fund,Norway
2021,ADF,9.52,0.05%,african development fund,Norway
2022,ADF,7.16,0.03%,african development fund,Norway
2023,ADF,12.45,0.03%,african development fund,Norway
2019,AF,4.39,0.03%,adaptation fund,Norway
2020,AF,2.56,0.01%,adaptation fund,Norway
2021,AF,2.77,0.01%,adaptation fund,Norway
2022,AF,2.44,0.01%,adaptation fund,Norway
2023,AF,3.04,0.01%,adaptation fund,Norway
2019,AIIB,0.08,0.0%,asian infrastructure investment bank,Norway
2020,AIIB,0.05,0.0%,asian infrastructure investment bank,Norway
2019,AfDB,0.02,0.0%,african development bank,Norway
2020,AfDB,0.97,0.0%,african development bank,Norway
2021,AfDB,0.83,0.0%,african development bank,Norway
2022,AfDB,0.82,0.0%,african development bank,Norway
2023,AfDB,1.1,0.0%,african development bank,Norway
2022,CGIAR ,10.68,0.04%,cgiar fund,Norway
2023,CGIAR ,25.72,0.07%,cgiar fund,Norway
2019,FAO,2.11,0.01%,food and agricultural organisation,Norway
2020,FAO,1.85,0.01%,food and agricultural organisation,Norway
2021,FAO,1.49,0.01%,food and agricultural organisation,Norway
2022,FAO,1.13,0.0%,food and agricultural organisation,Norway
2023,FAO,1.4,0.0%,food and agricultural organisation,Norway
2019,GCF,5.71,0.03%,green climate fund,Norway
2020,GCF,35.58,0.16%,green climate fund,Norway
2021,GCF,22.87,0.11%,green climate fund,Norway
2022,GCF,25.03,0.1%,green climate fund,Norway
2023,GCF,21.03,0.06%,green climate fund,Norway
2019,GEF-TF,0.49,0.0%,global environment facility trust fund,Norway
2020,GEF-TF,0.53,0.0%,global environment facility trust fund,Norway
2021,GEF-TF,1.07,0.01%,global environment facility trust fund,Norway
2022,GEF-TF,1.67,0.01%,global environment facility trust fund,Norway
2023,GEF-TF,2.95,0.01%,global environment facility trust fund,Norway
2019,GGGI,0.09,0.0%,global green growth institute,Norway
2020,GGGI,0.08,0.0%,global green growth institute,Norway
2021,GGGI,0.06,0.0%,global green growth institute,Norway
2022,GGGI,0.02,0.0%,global green growth institute,Norway
2023,GGGI,0.05,0.0%,global green growth institute,Norway
2020,IBRD,0.95,0.0%,international bank for reconstruction and development,Norway
2021,IBRD,0.79,0.0%,international bank for reconstruction and development,Norway
2022,IBRD,0.67,0.0%,international bank for reconstruction and development,Norway
2023,IBRD,0.94,0.0%,international bank for reconstruction and development,Norway
2019,IDA,14.69,0.09%,international development association,Norway
2020,IDA,16.44,0.08%,international development association,Norway
2021,IDA,11.48,0.06%,international development association,Norway
2022,IDA,7.83,0.03%,international development association,Norway
2023,IDA,9.85,0.03%,international development association,Norway
2019,IDB-IIC-MIF,0.04,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Norway
2020,IDB-IIC-MIF,0.02,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Norway
2021,IDB-IIC-MIF,0.01,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Norway
2022,IDB-IIC-MIF,0.01,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Norway
2022,IFC,1.23,0.01%,international finance corporation,Norway
2023,IFC,1.88,0.01%,international finance corporation,Norway
2022,NDF,0.46,0.0%,nordic development fund,Norway
2023,NDF,0.48,0.0%,nordic development fund,Norway
2022,UN,0.01,0.0%,united nations,Norway
2023,UN,0.03,0.0%,united nations,Norway
2019,UNDP,0.1,0.0%,united nations development programme,Norway
2020,UNDP,0.1,0.0%,united nations development programme,Norway
2021,UNDP,0.12,0.0%,united nations development programme,Norway
2022,UNDP,0.12,0.0%,united nations development programme,Norway
2023,UNDP,0.22,0.0%,united nations development programme,Norway
2020,UNIDO,0.0,0.0%,united nations industrial development organisation,Norway
2021,UNIDO,0.0,0.0%,united nations industrial development organisation,Norway
2022,UNIDO,0.01,0.0%,united nations industrial development organisation,Norway
2023,UNIDO,0.03,0.0%,united nations industrial development organisation,Norway
2019,WFP,0.02,0.0%,world food programme,Norway
2019,,0.01,0.0%,united nations children’s fund,Norway
2020,,0.01,0.0%,united nations children’s fund,Norway
2021,,0.02,0.0%,united nations children’s fund,Norway
2022,,0.02,0.0%,united nations children’s fund,Norway
2023,,0.02,0.0%,united nations children’s fund,Norway
