"","RegionName","Funding_2021","perc_region_total"
"1","South of Sahara",4306.58,0.398065584165298
"2","Regional and Unspecified",1765.23,0.163163649841895
"3","South & Central Asia",1506.77,0.139273688228884
"4","Far East Asia",997.65,0.0922147342073082
"5","South America",510.71,0.0472059208209436
"6","Europe",417.64,0.0386032793006968
"7","Caribbean & Central America",389.25,0.0359791362604067
"8","Africa",281.84,0.0260510205873681
"9","North of Sahara",204.79,0.0189291388947172
"10","Oceania",166.35,0.0153760547640813
"11","Middle East",148.61,0.0137363119837098
"12","Asia",79.83,0.00737884251167184
"13","America",43.52,0.00402263843301965
