Year,Multi_short,ODA,Share,Full Name,Donor
2019,ADF,11.79,0.05%,african development fund,Switzerland
2020,ADF,10.02,0.04%,african development fund,Switzerland
2021,ADF,10.3,0.04%,african development fund,Switzerland
2022,ADF,8.32,0.03%,african development fund,Switzerland
2023,ADF,12.32,0.05%,african development fund,Switzerland
2019,AF,6.79,0.03%,adaptation fund,Switzerland
2022,AF,1.07,0.0%,adaptation fund,Switzerland
2023,AF,0.9,0.0%,adaptation fund,Switzerland
2019,AIIB,0.1,0.0%,asian infrastructure investment bank,Switzerland
2020,AIIB,0.07,0.0%,asian infrastructure investment bank,Switzerland
2021,AfDB,3.67,0.02%,african development bank,Switzerland
2022,AfDB,3.0,0.01%,african development bank,Switzerland
2023,AfDB,3.28,0.01%,african development bank,Switzerland
2022,CGIAR ,20.25,0.08%,cgiar fund,Switzerland
2023,CGIAR ,20.03,0.08%,cgiar fund,Switzerland
2019,FAO,2.97,0.01%,food and agricultural organisation,Switzerland
2020,FAO,2.93,0.01%,food and agricultural organisation,Switzerland
2021,FAO,2.6,0.01%,food and agricultural organisation,Switzerland
2022,FAO,2.41,0.01%,food and agricultural organisation,Switzerland
2023,FAO,2.4,0.01%,food and agricultural organisation,Switzerland
2020,GCF,11.14,0.05%,green climate fund,Switzerland
2021,GCF,13.15,0.06%,green climate fund,Switzerland
2022,GCF,13.8,0.05%,green climate fund,Switzerland
2023,GCF,11.32,0.04%,green climate fund,Switzerland
2019,GEF-SCCF,0.02,0.0%,global environment facility special climate change fund,Switzerland
2020,GEF-SCCF,0.02,0.0%,global environment facility special climate change fund,Switzerland
2019,GEF-TF,1.03,0.0%,global environment facility trust fund,Switzerland
2020,GEF-TF,1.09,0.0%,global environment facility trust fund,Switzerland
2021,GEF-TF,2.48,0.01%,global environment facility trust fund,Switzerland
2022,GEF-TF,3.29,0.01%,global environment facility trust fund,Switzerland
2023,GEF-TF,4.67,0.02%,global environment facility trust fund,Switzerland
2021,IBRD,2.54,0.01%,international bank for reconstruction and development,Switzerland
2022,IBRD,2.71,0.01%,international bank for reconstruction and development,Switzerland
2023,IBRD,2.01,0.01%,international bank for reconstruction and development,Switzerland
2019,IDA,32.08,0.14%,international development association,Switzerland
2020,IDA,29.97,0.13%,international development association,Switzerland
2021,IDA,26.24,0.11%,international development association,Switzerland
2022,IDA,22.37,0.09%,international development association,Switzerland
2023,IDA,31.64,0.13%,international development association,Switzerland
2019,IDB-IIC-MIF,1.01,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Switzerland
2020,IDB-IIC-MIF,0.04,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Switzerland
2021,IDB-IIC-MIF,0.01,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Switzerland
2022,IDB-IIC-MIF,0.01,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Switzerland
2022,IFC,5.2,0.02%,international finance corporation,Switzerland
2023,IFC,4.87,0.02%,international finance corporation,Switzerland
2023,JSDGF,0.04,0.0%,joint sustainable development goals fund,Switzerland
2021,PIDG,0.04,0.0%,private infrastructure development group,Switzerland
2022,PIDG,0.1,0.0%,private infrastructure development group,Switzerland
2023,PIDG,0.52,0.0%,private infrastructure development group,Switzerland
2022,UN,0.02,0.0%,united nations,Switzerland
2023,UN,0.06,0.0%,united nations,Switzerland
2019,UNDP,0.09,0.0%,united nations development programme,Switzerland
2020,UNDP,0.08,0.0%,united nations development programme,Switzerland
2021,UNDP,0.17,0.0%,united nations development programme,Switzerland
2022,UNDP,0.21,0.0%,united nations development programme,Switzerland
2023,UNDP,0.3,0.0%,united nations development programme,Switzerland
2020,UNIDO,0.0,0.0%,united nations industrial development organisation,Switzerland
2021,UNIDO,0.01,0.0%,united nations industrial development organisation,Switzerland
2022,UNIDO,0.02,0.0%,united nations industrial development organisation,Switzerland
2023,UNIDO,0.04,0.0%,united nations industrial development organisation,Switzerland
2019,WFP,0.0,0.0%,world food programme,Switzerland
2021,WOAH,0.13,0.0%,world organisation for animal health,Switzerland
2022,WOAH,0.13,0.0%,world organisation for animal health,Switzerland
2023,WOAH,0.15,0.0%,world organisation for animal health,Switzerland
2019,,0.0,0.0%,united nations children’s fund,Switzerland
2020,,0.01,0.0%,united nations children’s fund,Switzerland
2021,,0.01,0.0%,united nations children’s fund,Switzerland
2022,,0.01,0.0%,united nations children’s fund,Switzerland
2023,,0.01,0.0%,united nations children’s fund,Switzerland
