"","RegionName","Funding_2021","perc_region_total"
"1","Regional and Unspecified",168.06,0.589704901926383
"2","South of Sahara",53.51,0.187760974069266
"3","South America",26.19,0.0918979613319766
"4","Africa",13.9,0.0487736411803923
"5","Far East Asia",10.63,0.0372995543703288
"6","South & Central Asia",6.44,0.0225972841152321
"7","Caribbean & Central America",4.04,0.0141759359977543
"8","Asia",1.71,0.00600021053370294
"9","Middle East",0.3,0.00105266851468473
"10","America",0.21,0.000736867960279308
"11","North of Sahara",0,0
