"","RegionName","Funding_2021","perc_region_total"
"1","South of Sahara",497.11,0.503290406187988
"2","Regional and Unspecified",193.11,0.19551087352691
"3","South & Central Asia",130.24,0.131859231361114
"4","South America",110.15,0.111519458955979
"5","Caribbean & Central America",38.91,0.0393937553152715
"6","Far East Asia",7.85,0.00794759648483376
"7","North of Sahara",3.73,0.00377637387113757
"8","Europe",3.49,0.00353339002956303
"9","Middle East",1.58,0.00159964362369902
"10","America",1.14,0.00115417324747904
"11","Asia",0.41,0.000415097396023164
"12","Oceania",0,0
