"Year","Multi_short","ODA","Share","full name","country"
"2018","UN agency, fund or commission",134.397877,"12%","United Nations (UN) agency, fund or commission","Belgium"
"2018","FAO",4.625859,"0%","Food and Agricultural Organisation","Belgium"
"2018","UNDP",12.573496,"1%","United Nations Development Programme","Belgium"
"2018","UN Women",7.544097,"1%","United Nations Entity for Gender Equality and the Empowerment of Women","Belgium"
"2018","UNEP",5.117919,"0%","United Nations Environment Programme","Belgium"
"2018","UNFCCC",0.116552,"0%","United Nations Framework Convention on Climate Change","Belgium"
"2018","UNOCHA",2.829037,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","Belgium"
"2018","UNFPA",11.316146,"1%","United Nations Population Fund","Belgium"
"2018","WFP",6.035278,"1%","World Food Programme","Belgium"
"2018","WHO - assessed contributions",8.556131,"1%","World Health Organisation - assessed contributions","Belgium"
"2018","EUI",658.855045,"61%","European Union Institutions","Belgium"
"2018","EC - Development Share of Budget",474.12653,"44%","European Commission - Development Share of Budget","Belgium"
"2018","EC - EDF",173.632405,"16%","European Commission - European Development Fund","Belgium"
"2018","EIB",11.09611,"1%","European Investment Bank","Belgium"
"2018","WB",197.341022,"18%","World Bank Group (WB)","Belgium"
"2018","IDA",175.274536,"16%","International Development Association","Belgium"
"2018","HIPC Debt Initiative Trust Fund",6.638806,"1%","International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund","Belgium"
"2018","MDRI",15.42768,"1%","International Development Association - Multilateral Debt Relief Initiative","Belgium"
"2018","	
Regional Development Banks",19.537363,"2%","Regional Development Banks","Belgium"
"2018","AfDB",3.060285,"0%","African Development Bank","Belgium"
"2018","African Development Fund",16.477078,"2%","African Development Fund","Belgium"
"2018","Other multilateral institutions",68.26527,"6%","Other multilateral institutions","Belgium"
"2018","CGIAR Fund",3.143374,"0%","CGIAR Fund","Belgium"
"2018","GEF-Least Developed Countries Fund",10.058797,"1%","Global Environment Facility - Least Developed Countries Fund","Belgium"
"2018","GEF Fund",18.860244,"2%","Global Environment Facility Trust Fund","Belgium"
"2018","Global Fund",18.860244,"2%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Belgium"
"2018","the Sahel Club",0.25147,"0%","Sahel and West Africa Club","Belgium"
"2019","UN agency, fund or commission",151.598191,"13%","United Nations (UN) agency, fund or commission","Belgium"
"2019","CERF",21.746198,"2%","Central Emergency Response Fund","Belgium"
"2019","UNDP",12.355794,"1%","United Nations Development Programme","Belgium"
"2019","UN Women",4.942318,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Belgium"
"2019","UNEP",4.942318,"0%","United Nations Environment Programme","Belgium"
"2019","UNFCCC",0.121647,"0%","United Nations Framework Convention on Climate Change","Belgium"
"2019","UNOCHA",2.780054,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","Belgium"
"2019","UNFPA",11.120215,"1%","United Nations Population Fund","Belgium"
"2019","WFP",5.930781,"1%","World Food Programme","Belgium"
"2019","WHO - assessed contributions",3.367171,"0%","World Health Organisation - assessed contributions","Belgium"
"2019","WHO - core voluntary contributions",4.942318,"0%","World Health Organisation - core voluntary contributions account","Belgium"
"2019","EUI",679.502934,"57%","European Union Institutions","Belgium"
"2019","EC - Development Share of Budget",489.765568,"41%","European Commission - Development Share of Budget","Belgium"
"2019","EC - EDF",176.65258,"15%","European Commission - European Development Fund","Belgium"
"2019","EIB",13.084786,"1%","European Investment Bank","Belgium"
"2019","WB",213.545195,"18%","World Bank Group (WB)","Belgium"
"2019","IDA",189.43904,"16%","International Development Association","Belgium"
"2019","HIPC Debt Initiative Trust Fund",8.426652,"1%","International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund","Belgium"
"2019","MDRI",15.679503,"1%","International Development Association - Multilateral Debt Relief Initiative","Belgium"
"2019","	
Regional Development Banks",32.362813,"3%","Regional Development Banks","Belgium"
"2019","AfDB",3.007298,"0%","African Development Bank","Belgium"
"2019","African Development Fund",18.767493,"2%","African Development Fund","Belgium"
"2019","AIIB",10.588022,"1%","Asian Infrastructure Investment Bank","Belgium"
"2019","Other multilateral institutions",105.371955,"9%","Other multilateral institutions","Belgium"
"2019","CGIAR Fund",3.088949,"0%","CGIAR Fund","Belgium"
"2019","GEF-Least Developed Countries Fund",18.533692,"2%","Global Environment Facility - Least Developed Countries Fund","Belgium"
"2019","GEF Fund",18.533692,"2%","Global Environment Facility Trust Fund","Belgium"
"2019","Global Fund",18.533692,"2%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Belgium"
"2019","GCF",30.889486,"3%","Green Climate Fund","Belgium"
"2019","the Sahel Club",0.247116,"0%","Sahel and West Africa Club","Belgium"
"2020","UN agency, fund or commission",165.384333,"13%","United Nations (UN) agency, fund or commission","Belgium"
"2020","CERF",0.730315,"0%","Central Emergency Response Fund","Belgium"
"2020","FAO",3.610432,"0%","Food and Agricultural Organisation","Belgium"
"2020","UNDP",12.171917,"1%","United Nations Development Programme","Belgium"
"2020","UN Women",4.868767,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Belgium"
"2020","UNEP",4.933662,"0%","United Nations Environment Programme","Belgium"
"2020","UNFCCC",0.103492,"0%","United Nations Framework Convention on Climate Change","Belgium"
"2020","UNOCHA",28.299708,"2%","United Nations Office of Co-ordination of Humanitarian Affairs","Belgium"
"2020","UNFPA",10.954726,"1%","United Nations Population Fund","Belgium"
