"Year","Region","Bilateral ODA","Share","Donor"
"2018","Europe",86.170319,"2%","Canada"
"2019","Europe",89.843413,"2%","Canada"
"2020","Europe",82.186099,"2%","Canada"
"2021","Europe",118.609274,"2%","Canada"
"2022","Europe",2186.550331,"32%","Canada"
"2018","sub-Saharan Africa",1024.80242,"25%","Canada"
"2019","sub-Saharan Africa",922.440607,"25%","Canada"
"2020","sub-Saharan Africa",1045.43107,"23%","Canada"
"2021","sub-Saharan Africa",1124.201483,"23%","Canada"
"2022","sub-Saharan Africa",1245.106877,"18%","Canada"
"2018","Developing countries, unspecified",780.497828,"19%","Canada"
"2019","Developing countries, unspecified",739.563062,"20%","Canada"
"2020","Developing countries, unspecified",976.510574,"22%","Canada"
"2021","Developing countries, unspecified",528.006447,"11%","Canada"
"2022","Developing countries, unspecified",1004.101822,"15%","Canada"
"2018","Africa, regional",477.578661,"12%","Canada"
"2019","Africa, regional",308.579945,"8%","Canada"
"2020","Africa, regional",494.880553,"11%","Canada"
"2021","Africa, regional",986.399775,"20%","Canada"
"2022","Africa, regional",548.735209,"8%","Canada"
"2018","Latin America and the Caribbeans",483.626111,"12%","Canada"
"2019","Latin America and the Caribbeans",543.77892,"15%","Canada"
"2020","Latin America and the Caribbeans",654.464307,"14%","Canada"
"2021","Latin America and the Caribbeans",779.524001,"16%","Canada"
"2022","Latin America and the Caribbeans",522.891297,"8%","Canada"
"2018","Asia",392.579261,"10%","Canada"
"2019","Asia",391.534172,"10%","Canada"
"2020","Asia",373.545563,"8%","Canada"
"2021","Asia",390.158431,"8%","Canada"
"2022","Asia",446.233425,"7%","Canada"
"2018","Asia, regional",287.672872,"7%","Canada"
"2019","Asia, regional",268.474007,"7%","Canada"
"2020","Asia, regional",354.131458,"8%","Canada"
"2021","Asia, regional",493.115826,"10%","Canada"
"2022","Asia, regional",442.158236,"6%","Canada"
"2018","MENA region",502.432359,"12%","Canada"
"2019","MENA region",464.151022,"12%","Canada"
"2020","MENA region",507.32795,"11%","Canada"
"2021","MENA region",495.642449,"10%","Canada"
"2022","MENA region",398.095515,"6%","Canada"
"2018","Oceania",11.396376,"0%","Canada"
"2019","Oceania",13.670017,"0%","Canada"
"2020","Oceania",40.964999,"1%","Canada"
"2021","Oceania",64.237049,"1%","Canada"
"2022","Oceania",43.599537,"1%","Canada"
