year,Sector,Climate-related ODA to,Share,Donor
2022,"Industry, construction & mining",76.39,29.8%,Austria
2022,Energy,69.91,27.2%,Austria
2022,Other multisector,25.58,10.0%,Austria
2022,Water and sanitation,23.9,9.3%,Austria
2022,Government & civil society,15.86,6.2%,Austria
2022,"Agriculture (incl. forestry, fishing, rural development)",15.57,6.1%,Austria
2022,Financial services & business support,7.13,2.8%,Austria
2022,Infrastructure,6.5,2.5%,Austria
2022,Environmental protection,5.51,2.1%,Austria
2022,,4.95,1.9%,Austria
2022,Disaster Prevention & Preparedness,2.54,1.0%,Austria
2022,Other social services,1.65,0.6%,Austria
2022,Emergency Response,1.19,0.5%,Austria
2022,Education,0.0,0.0%,Austria
2022,"Conflict, peace & security",0.0,0.0%,Austria
2022,Unspecified,0.0,0.0%,Austria
2023,"Agriculture (incl. forestry, fishing, rural development)",45.64,27.4%,Austria
2023,Other multisector,25.83,15.5%,Austria
2023,Energy,23.64,14.2%,Austria
2023,Disaster Prevention & Preparedness,17.9,10.7%,Austria
2023,Water and sanitation,15.23,9.1%,Austria
2023,Financial services & business support,13.41,8.1%,Austria
2023,Emergency Response,9.19,5.5%,Austria
2023,Environmental protection,9.03,5.4%,Austria
2023,Government & civil society,3.39,2.0%,Austria
2023,Education,1.49,0.9%,Austria
2023,Other social services,1.46,0.9%,Austria
2023,,0.2,0.1%,Austria
2023,"Industry, construction & mining",0.17,0.1%,Austria
2023,Infrastructure,0.0,0.0%,Austria
2023,"Conflict, peace & security",0.0,0.0%,Austria
