year,Sector,Climate-related ODA to,Share,Donor
2022,"Agriculture (incl. forestry, fishing, rural development)",2.4,33.5%,Czechia
2022,Water and sanitation,1.29,18.0%,Czechia
2022,Energy,1.22,17.0%,Czechia
2022,Environmental protection,0.61,8.5%,Czechia
2022,Reconstruction Relief & Rehabilitation,0.52,7.3%,Czechia
2022,Education,0.34,4.7%,Czechia
2022,Disaster Prevention & Preparedness,0.28,3.9%,Czechia
2022,Other multisector,0.28,3.9%,Czechia
2022,Other social services,0.11,1.6%,Czechia
2022,,0.08,1.1%,Czechia
2022,Government & civil society,0.04,0.5%,Czechia
2023,"Agriculture (incl. forestry, fishing, rural development)",3.56,27.9%,Czechia
2023,Water and sanitation,2.21,17.3%,Czechia
2023,Government & civil society,1.06,8.3%,Czechia
2023,Energy,1.02,8.0%,Czechia
2023,Environmental protection,0.84,6.6%,Czechia
2023,,0.84,6.6%,Czechia
2023,Emergency Response,0.64,5.0%,Czechia
2023,Other multisector,0.52,4.0%,Czechia
2023,Other social services,0.52,4.0%,Czechia
2023,Food aid and commodity assistance,0.52,4.0%,Czechia
2023,Education,0.48,3.8%,Czechia
2023,Reconstruction Relief & Rehabilitation,0.26,2.0%,Czechia
2023,Unspecified,0.17,1.4%,Czechia
2023,Financial services & business support,0.09,0.7%,Czechia
2023,"Industry, construction & mining",0.02,0.2%,Czechia
