year,Sector,Climate-related ODA to,Share,Donor
2022,Environmental protection,87.15,23.8%,Denmark
2022,Unspecified,64.44,17.6%,Denmark
2022,Water and sanitation,44.75,12.2%,Denmark
2022,Government & civil society,40.55,11.1%,Denmark
2022,Emergency Response,40.15,11.0%,Denmark
2022,"Agriculture (incl. forestry, fishing, rural development)",27.9,7.6%,Denmark
2022,Energy,20.09,5.5%,Denmark
2022,Financial services & business support,16.51,4.5%,Denmark
2022,Other multisector,15.89,4.3%,Denmark
2022,Education,8.58,2.3%,Denmark
2022,Infrastructure,0.44,0.1%,Denmark
2022,"Conflict, peace & security",0.14,0.0%,Denmark
2023,Other multisector,85.02,17.4%,Denmark
2023,Environmental protection,71.35,14.6%,Denmark
2023,Unspecified,70.91,14.5%,Denmark
2023,Education,59.52,12.2%,Denmark
2023,Emergency Response,48.26,9.9%,Denmark
2023,"Agriculture (incl. forestry, fishing, rural development)",37.5,7.7%,Denmark
2023,Energy,34.39,7.0%,Denmark
2023,Government & civil society,28.55,5.8%,Denmark
2023,Water and sanitation,27.43,5.6%,Denmark
2023,"Conflict, peace & security",10.41,2.1%,Denmark
2023,Financial services & business support,8.64,1.8%,Denmark
2023,Disaster Prevention & Preparedness,4.35,0.9%,Denmark
2023,Other social services,1.45,0.3%,Denmark
2023,Infrastructure,0.31,0.1%,Denmark
