year,Sector,Climate-related ODA to,Share,Donor
2022,"Agriculture (incl. forestry, fishing, rural development)",1455.47,16.9%,EU Institutions
2022,Other multisector,1109.56,12.9%,EU Institutions
2022,Energy,1004.34,11.7%,EU Institutions
2022,Financial services & business support,1001.28,11.6%,EU Institutions
2022,Environmental protection,830.35,9.6%,EU Institutions
2022,Infrastructure,723.68,8.4%,EU Institutions
2022,Water and sanitation,720.94,8.4%,EU Institutions
2022,"Industry, construction & mining",337.5,3.9%,EU Institutions
2022,Government & civil society,326.05,3.8%,EU Institutions
2022,Health & populations,314.33,3.7%,EU Institutions
2022,Education,228.31,2.7%,EU Institutions
2022,Other social services,162.92,1.9%,EU Institutions
2022,"Conflict, peace & security",117.38,1.4%,EU Institutions
2022,General budget support,91.39,1.1%,EU Institutions
2022,,75.2,0.9%,EU Institutions
2022,Emergency Response,35.4,0.4%,EU Institutions
2022,Reconstruction Relief & Rehabilitation,20.91,0.2%,EU Institutions
2022,Food aid and commodity assistance,18.06,0.2%,EU Institutions
2022,Trade policy,16.14,0.2%,EU Institutions
2022,Tourism,9.31,0.1%,EU Institutions
2022,Disaster Prevention & Preparedness,8.11,0.1%,EU Institutions
2023,"Agriculture (incl. forestry, fishing, rural development)",1060.53,18.0%,EU Institutions
2023,Energy,567.44,9.6%,EU Institutions
2023,Infrastructure,532.28,9.0%,EU Institutions
2023,Government & civil society,508.64,8.6%,EU Institutions
2023,"Industry, construction & mining",502.01,8.5%,EU Institutions
2023,Environmental protection,490.4,8.3%,EU Institutions
2023,Water and sanitation,488.21,8.3%,EU Institutions
2023,Other multisector,404.95,6.9%,EU Institutions
2023,Financial services & business support,361.02,6.1%,EU Institutions
2023,Education,267.63,4.5%,EU Institutions
2023,Other social services,189.48,3.2%,EU Institutions
2023,Health & populations,186.25,3.2%,EU Institutions
2023,"Conflict, peace & security",135.13,2.3%,EU Institutions
2023,Trade policy,109.4,1.9%,EU Institutions
2023,Tourism,17.37,0.3%,EU Institutions
2023,Food aid and commodity assistance,15.22,0.3%,EU Institutions
2023,Disaster Prevention & Preparedness,14.0,0.2%,EU Institutions
2023,,12.0,0.2%,EU Institutions
2023,Unspecified,11.96,0.2%,EU Institutions
2023,Emergency Response,9.1,0.2%,EU Institutions
2023,Reconstruction Relief & Rehabilitation,4.33,0.1%,EU Institutions
