year,Sector,Climate-related ODA to,Share,Donor
2022,Education,0.22,100.0%,Estonia
2022,Financial services & business support,0.0,0.0%,Estonia
2023,Environmental protection,1.91,68.2%,Estonia
2023,"Agriculture (incl. forestry, fishing, rural development)",0.37,13.0%,Estonia
2023,Other multisector,0.19,6.9%,Estonia
2023,Water and sanitation,0.11,3.8%,Estonia
2023,"Industry, construction & mining",0.1,3.7%,Estonia
2023,Unspecified,0.05,1.9%,Estonia
2023,Energy,0.04,1.6%,Estonia
2023,Education,0.02,0.8%,Estonia
2023,Emergency Response,0.0,0.0%,Estonia
