year,Sector,Climate-related ODA to,Share,Donor
2022,Energy,4021.45,29.9%,Germany
2022,Other multisector,2505.71,18.6%,Germany
2022,Water and sanitation,1450.96,10.8%,Germany
2022,"Agriculture (incl. forestry, fishing, rural development)",1392.55,10.4%,Germany
2022,Environmental protection,1122.99,8.4%,Germany
2022,Financial services & business support,863.67,6.4%,Germany
2022,Infrastructure,581.79,4.3%,Germany
2022,Other social services,451.62,3.4%,Germany
2022,"Industry, construction & mining",248.96,1.9%,Germany
2022,Food aid and commodity assistance,220.38,1.6%,Germany
2022,Health & populations,166.82,1.2%,Germany
2022,Government & civil society,129.44,1.0%,Germany
2022,"Conflict, peace & security",71.95,0.5%,Germany
2022,Education,68.58,0.5%,Germany
2022,,56.81,0.4%,Germany
2022,Emergency Response,44.94,0.3%,Germany
2022,Reconstruction Relief & Rehabilitation,14.05,0.1%,Germany
2022,Donor administration costs,11.6,0.1%,Germany
2022,Tourism,6.06,0.0%,Germany
2022,Disaster Prevention & Preparedness,5.36,0.0%,Germany
2022,Trade policy,0.41,0.0%,Germany
2023,Energy,3272.76,31.9%,Germany
2023,Environmental protection,1540.85,15.0%,Germany
2023,Infrastructure,910.96,8.9%,Germany
2023,"Agriculture (incl. forestry, fishing, rural development)",899.64,8.8%,Germany
2023,Other multisector,885.3,8.6%,Germany
2023,Water and sanitation,695.11,6.8%,Germany
2023,Financial services & business support,483.21,4.7%,Germany
2023,Other social services,466.02,4.5%,Germany
2023,Government & civil society,313.2,3.1%,Germany
2023,Food aid and commodity assistance,144.55,1.4%,Germany
2023,Health & populations,141.59,1.4%,Germany
2023,"Conflict, peace & security",132.84,1.3%,Germany
2023,"Industry, construction & mining",124.41,1.2%,Germany
2023,Education,122.63,1.2%,Germany
2023,Donor administration costs,44.41,0.4%,Germany
2023,Emergency Response,31.38,0.3%,Germany
2023,,24.92,0.2%,Germany
2023,Trade policy,15.7,0.2%,Germany
2023,Disaster Prevention & Preparedness,2.77,0.0%,Germany
2023,Reconstruction Relief & Rehabilitation,1.1,0.0%,Germany
