year,Sector,Climate-related ODA to,Share,Donor
2022,Emergency Response,61.0,38.4%,Ireland
2022,Environmental protection,27.67,17.4%,Ireland
2022,"Agriculture (incl. forestry, fishing, rural development)",27.2,17.1%,Ireland
2022,Other multisector,7.44,4.7%,Ireland
2022,Reconstruction Relief & Rehabilitation,6.87,4.3%,Ireland
2022,Government & civil society,6.77,4.3%,Ireland
2022,Health & populations,6.33,4.0%,Ireland
2022,Disaster Prevention & Preparedness,4.23,2.7%,Ireland
2022,Education,3.19,2.0%,Ireland
2022,Water and sanitation,2.72,1.7%,Ireland
2022,Other social services,2.39,1.5%,Ireland
2022,Financial services & business support,1.68,1.1%,Ireland
2022,Energy,0.95,0.6%,Ireland
2022,Unspecified,0.12,0.1%,Ireland
2022,"Industry, construction & mining",0.06,0.0%,Ireland
2022,"Conflict, peace & security",0.05,0.0%,Ireland
2022,,0.01,0.0%,Ireland
2023,"Agriculture (incl. forestry, fishing, rural development)",32.13,19.8%,Ireland
2023,Emergency Response,32.0,19.7%,Ireland
2023,Other multisector,26.97,16.6%,Ireland
2023,Environmental protection,25.53,15.7%,Ireland
2023,Disaster Prevention & Preparedness,11.2,6.9%,Ireland
2023,Government & civil society,9.74,6.0%,Ireland
2023,Other social services,8.59,5.3%,Ireland
2023,Energy,4.41,2.7%,Ireland
2023,Reconstruction Relief & Rehabilitation,3.58,2.2%,Ireland
2023,Health & populations,2.68,1.7%,Ireland
2023,Unspecified,2.54,1.6%,Ireland
2023,Financial services & business support,1.32,0.8%,Ireland
2023,"Conflict, peace & security",0.58,0.4%,Ireland
2023,Education,0.55,0.3%,Ireland
2023,Water and sanitation,0.24,0.1%,Ireland
2023,Food aid and commodity assistance,0.24,0.1%,Ireland
2023,"Industry, construction & mining",0.03,0.0%,Ireland
