year,Sector,Climate-related ODA to,Share,Donor
2022,Infrastructure,6077.1,50.4%,Japan
2022,Health & populations,1173.09,9.7%,Japan
2022,"Industry, construction & mining",946.19,7.8%,Japan
2022,Energy,850.52,7.1%,Japan
2022,General budget support,783.09,6.5%,Japan
2022,"Agriculture (incl. forestry, fishing, rural development)",724.25,6.0%,Japan
2022,Water and sanitation,617.35,5.1%,Japan
2022,Other multisector,311.11,2.6%,Japan
2022,Emergency Response,232.03,1.9%,Japan
2022,Environmental protection,106.12,0.9%,Japan
2022,Food aid and commodity assistance,62.14,0.5%,Japan
2022,Government & civil society,47.12,0.4%,Japan
2022,Other social services,39.51,0.3%,Japan
2022,Education,26.69,0.2%,Japan
2022,,18.7,0.2%,Japan
2022,Reconstruction Relief & Rehabilitation,18.25,0.2%,Japan
2022,Financial services & business support,10.89,0.1%,Japan
2022,"Conflict, peace & security",5.84,0.0%,Japan
2022,Tourism,3.88,0.0%,Japan
2022,Disaster Prevention & Preparedness,2.45,0.0%,Japan
2022,Unspecified,1.17,0.0%,Japan
2022,Trade policy,0.72,0.0%,Japan
2023,Infrastructure,11755.8,71.1%,Japan
2023,Other multisector,2213.78,13.4%,Japan
2023,Health & populations,661.71,4.0%,Japan
2023,Water and sanitation,493.79,3.0%,Japan
2023,"Agriculture (incl. forestry, fishing, rural development)",465.54,2.8%,Japan
2023,Energy,448.3,2.7%,Japan
2023,Financial services & business support,114.05,0.7%,Japan
2023,General budget support,108.9,0.7%,Japan
2023,Environmental protection,93.75,0.6%,Japan
2023,Emergency Response,52.44,0.3%,Japan
2023,Education,26.92,0.2%,Japan
2023,,21.98,0.1%,Japan
2023,Food aid and commodity assistance,19.57,0.1%,Japan
2023,Government & civil society,15.62,0.1%,Japan
2023,"Industry, construction & mining",13.9,0.1%,Japan
2023,Disaster Prevention & Preparedness,12.06,0.1%,Japan
2023,Other social services,9.08,0.1%,Japan
2023,"Conflict, peace & security",3.43,0.0%,Japan
2023,Reconstruction Relief & Rehabilitation,3.35,0.0%,Japan
2023,Tourism,0.71,0.0%,Japan
2023,Trade policy,0.42,0.0%,Japan
