year,Sector,Climate-related ODA to,Share,Donor
2022,Energy,2.36,93.4%,Lithuania
2022,Water and sanitation,0.08,3.1%,Lithuania
2022,Environmental protection,0.07,2.8%,Lithuania
2022,Unspecified,0.01,0.2%,Lithuania
2022,"Agriculture (incl. forestry, fishing, rural development)",0.01,0.5%,Lithuania
2022,Infrastructure,0.0,0.0%,Lithuania
2023,Energy,3.71,88.6%,Lithuania
2023,Unspecified,0.26,6.1%,Lithuania
2023,Environmental protection,0.17,4.0%,Lithuania
2023,"Agriculture (incl. forestry, fishing, rural development)",0.03,0.6%,Lithuania
2023,Infrastructure,0.02,0.4%,Lithuania
2023,Other multisector,0.01,0.3%,Lithuania
