year,Sector,Climate-related ODA to,Share,Donor
2022,"Agriculture (incl. forestry, fishing, rural development)",27.31,41.0%,Luxembourg
2022,Food aid and commodity assistance,16.16,24.2%,Luxembourg
2022,Water and sanitation,11.9,17.8%,Luxembourg
2022,Other multisector,4.43,6.6%,Luxembourg
2022,Education,3.9,5.8%,Luxembourg
2022,Health & populations,0.83,1.3%,Luxembourg
2022,Other social services,0.55,0.8%,Luxembourg
2022,Energy,0.5,0.7%,Luxembourg
2022,Emergency Response,0.42,0.6%,Luxembourg
2022,Government & civil society,0.29,0.4%,Luxembourg
2022,Disaster Prevention & Preparedness,0.16,0.2%,Luxembourg
2022,Environmental protection,0.08,0.1%,Luxembourg
2022,Reconstruction Relief & Rehabilitation,0.07,0.1%,Luxembourg
2022,Financial services & business support,0.05,0.1%,Luxembourg
2022,"Industry, construction & mining",0.01,0.0%,Luxembourg
2023,"Agriculture (incl. forestry, fishing, rural development)",21.92,46.5%,Luxembourg
2023,Water and sanitation,12.52,26.5%,Luxembourg
2023,Other multisector,4.78,10.1%,Luxembourg
2023,Energy,2.17,4.6%,Luxembourg
2023,Other social services,1.77,3.7%,Luxembourg
2023,Food aid and commodity assistance,1.47,3.1%,Luxembourg
2023,Disaster Prevention & Preparedness,0.86,1.8%,Luxembourg
2023,Government & civil society,0.56,1.2%,Luxembourg
2023,Financial services & business support,0.35,0.7%,Luxembourg
2023,Health & populations,0.23,0.5%,Luxembourg
2023,Emergency Response,0.22,0.5%,Luxembourg
2023,Education,0.15,0.3%,Luxembourg
2023,Environmental protection,0.09,0.2%,Luxembourg
2023,Reconstruction Relief & Rehabilitation,0.07,0.1%,Luxembourg
2023,,0.04,0.1%,Luxembourg
2023,"Industry, construction & mining",0.01,0.0%,Luxembourg
