year,Sector,Climate-related ODA to,Share,Donor
2022,Energy,450.98,53.2%,Norway
2022,Environmental protection,165.49,19.5%,Norway
2022,"Agriculture (incl. forestry, fishing, rural development)",115.47,13.6%,Norway
2022,Other multisector,56.74,6.7%,Norway
2022,Government & civil society,27.31,3.2%,Norway
2022,"Conflict, peace & security",7.83,0.9%,Norway
2022,Emergency Response,7.15,0.8%,Norway
2022,,6.4,0.8%,Norway
2022,Education,3.55,0.4%,Norway
2022,Financial services & business support,3.02,0.4%,Norway
2022,Water and sanitation,2.36,0.3%,Norway
2022,Disaster Prevention & Preparedness,0.76,0.1%,Norway
2022,"Industry, construction & mining",0.09,0.0%,Norway
2022,Trade policy,0.02,0.0%,Norway
2022,Health & populations,0.0,0.0%,Norway
2023,Environmental protection,509.99,46.9%,Norway
2023,"Agriculture (incl. forestry, fishing, rural development)",248.23,22.8%,Norway
2023,Other multisector,123.73,11.4%,Norway
2023,Energy,83.61,7.7%,Norway
2023,Emergency Response,43.27,4.0%,Norway
2023,,22.59,2.1%,Norway
2023,"Industry, construction & mining",18.66,1.7%,Norway
2023,Government & civil society,14.96,1.4%,Norway
2023,Education,5.72,0.5%,Norway
2023,Reconstruction Relief & Rehabilitation,5.44,0.5%,Norway
2023,Food aid and commodity assistance,3.97,0.4%,Norway
2023,Financial services & business support,3.89,0.4%,Norway
2023,Other social services,2.51,0.2%,Norway
2023,Health & populations,0.62,0.1%,Norway
2023,"Conflict, peace & security",0.58,0.1%,Norway
2023,Disaster Prevention & Preparedness,0.46,0.0%,Norway
2023,Water and sanitation,0.0,0.0%,Norway
2023,Trade policy,0.0,0.0%,Norway
