year,Sector,Climate-related ODA to,Share,Donor
2022,Health & populations,2567.12,57.2%,United States
2022,"Agriculture (incl. forestry, fishing, rural development)",824.85,18.4%,United States
2022,Environmental protection,400.3,8.9%,United States
2022,Government & civil society,108.03,2.4%,United States
2022,Energy,107.54,2.4%,United States
2022,Water and sanitation,101.43,2.3%,United States
2022,Financial services & business support,69.42,1.5%,United States
2022,Other multisector,61.29,1.4%,United States
2022,Education,60.28,1.3%,United States
2022,Food aid and commodity assistance,47.2,1.1%,United States
2022,Emergency Response,42.05,0.9%,United States
2022,"Conflict, peace & security",35.16,0.8%,United States
2022,Other social services,23.66,0.5%,United States
2022,Trade policy,21.99,0.5%,United States
2022,Disaster Prevention & Preparedness,8.93,0.2%,United States
2022,Infrastructure,6.07,0.1%,United States
2022,Unspecified,3.0,0.1%,United States
2022,"Industry, construction & mining",1.52,0.0%,United States
2022,,0.7,0.0%,United States
2023,Health & populations,3239.5,58.0%,United States
2023,"Agriculture (incl. forestry, fishing, rural development)",735.79,13.2%,United States
2023,Environmental protection,557.8,10.0%,United States
2023,Energy,251.32,4.5%,United States
2023,Water and sanitation,154.93,2.8%,United States
2023,Other multisector,137.65,2.5%,United States
2023,Financial services & business support,122.68,2.2%,United States
2023,Government & civil society,121.8,2.2%,United States
2023,Education,75.26,1.3%,United States
2023,Trade policy,40.14,0.7%,United States
2023,Emergency Response,40.06,0.7%,United States
2023,Food aid and commodity assistance,31.34,0.6%,United States
2023,Other social services,24.31,0.4%,United States
2023,"Conflict, peace & security",22.21,0.4%,United States
2023,Disaster Prevention & Preparedness,19.04,0.3%,United States
2023,Unspecified,7.49,0.1%,United States
2023,Infrastructure,5.9,0.1%,United States
2023,"Industry, construction & mining",0.06,0.0%,United States
2023,Reconstruction Relief & Rehabilitation,0.0,0.0%,United States
2023,,0.0,0.0%,United States
