Year,Sector,Bilateral ODA for,Share,Donor
2023,Other multisector,500.49,18.39%,Australia
2023,Government & civil society,416.27,15.3%,Australia
2023,Health & populations,356.88,13.11%,Australia
2023,Emergency Response,274.43,10.08%,Australia
2023,Infrastructure,207.15,7.61%,Australia
2023,Education,195.17,7.17%,Australia
2023,"Agriculture (incl. forestry, fishing, rural development)",153.97,5.66%,Australia
2023,Other social services,118.6,4.36%,Australia
2023,General budget support,89.18,3.28%,Australia
2023,Energy,66.66,2.45%,Australia
2023,Financial services & business support,63.25,2.32%,Australia
2023,Water and sanitation,57.87,2.13%,Australia
2023,Disaster Prevention & Preparedness,56.62,2.08%,Australia
2023,Environmental protection,48.05,1.77%,Australia
2023,Trade policy,30.5,1.12%,Australia
2023,"Conflict, peace & security",26.37,0.97%,Australia
2023,Unspecified,18.73,0.69%,Australia
2023,Reconstruction Relief & Rehabilitation,14.66,0.54%,Australia
2023,"Industry, construction & mining",9.87,0.36%,Australia
2023,Donor administration costs,6.54,0.24%,Australia
2023,Food aid and commodity assistance,5.55,0.2%,Australia
2023,Tourism,4.43,0.16%,Australia
2022,Health & populations,471.12,18.1%,Australia
2022,Government & civil society,398.79,15.32%,Australia
2022,Emergency Response,323.17,12.42%,Australia
2022,Education,219.4,8.43%,Australia
2022,Other multisector,200.95,7.72%,Australia
2022,Donor administration costs,193.19,7.42%,Australia
2022,Infrastructure,175.3,6.74%,Australia
2022,"Agriculture (incl. forestry, fishing, rural development)",132.27,5.08%,Australia
2022,Water and sanitation,78.41,3.01%,Australia
2022,Other social services,71.69,2.75%,Australia
2022,Disaster Prevention & Preparedness,51.63,1.98%,Australia
2022,Energy,47.83,1.84%,Australia
2022,Financial services & business support,43.07,1.65%,Australia
2022,"Conflict, peace & security",39.1,1.5%,Australia
2022,Unspecified,36.79,1.41%,Australia
2022,Trade policy,30.65,1.18%,Australia
2022,General budget support,29.58,1.14%,Australia
2022,Environmental protection,25.83,0.99%,Australia
2022,"Industry, construction & mining",14.04,0.54%,Australia
2022,Reconstruction Relief & Rehabilitation,12.87,0.49%,Australia
2022,Food aid and commodity assistance,4.46,0.17%,Australia
2022,Tourism,2.58,0.1%,Australia
2021,Health & populations,760.46,24.95%,Australia
2021,Government & civil society,423.75,13.91%,Australia
2021,Emergency Response,272.3,8.94%,Australia
2021,Other multisector,223.1,7.32%,Australia
2021,Donor administration costs,214.64,7.04%,Australia
2021,Education,207.0,6.79%,Australia
2021,Other social services,168.52,5.53%,Australia
2021,"Agriculture (incl. forestry, fishing, rural development)",142.54,4.68%,Australia
2021,Infrastructure,125.42,4.12%,Australia
2021,Financial services & business support,97.72,3.21%,Australia
2021,General budget support,92.57,3.04%,Australia
2021,Water and sanitation,75.53,2.48%,Australia
2021,Environmental protection,49.11,1.61%,Australia
2021,Disaster Prevention & Preparedness,41.64,1.37%,Australia
2021,"Conflict, peace & security",32.12,1.05%,Australia
2021,"Industry, construction & mining",31.53,1.03%,Australia
2021,Trade policy,24.45,0.8%,Australia
2021,Food aid and commodity assistance,20.41,0.67%,Australia
2021,Energy,19.58,0.64%,Australia
2021,Reconstruction Relief & Rehabilitation,19.15,0.63%,Australia
2021,Tourism,5.69,0.19%,Australia
2021,Unspecified,0.12,0.0%,Australia
2020,Health & populations,416.38,15.76%,Australia
2020,Government & civil society,378.75,14.34%,Australia
2020,Other multisector,370.55,14.03%,Australia
2020,Donor administration costs,217.35,8.23%,Australia
2020,Emergency Response,202.98,7.68%,Australia
2020,Education,166.1,6.29%,Australia
2020,"Agriculture (incl. forestry, fishing, rural development)",155.2,5.87%,Australia
2020,Unspecified,152.76,5.78%,Australia
2020,Infrastructure,119.84,4.54%,Australia
2020,Other social services,72.51,2.74%,Australia
2020,Financial services & business support,69.06,2.61%,Australia
2020,Water and sanitation,64.64,2.45%,Australia
2020,Disaster Prevention & Preparedness,60.82,2.3%,Australia
2020,"Conflict, peace & security",41.95,1.59%,Australia
2020,Food aid and commodity assistance,38.64,1.46%,Australia
2020,Environmental protection,38.1,1.44%,Australia
2020,Energy,27.51,1.04%,Australia
2020,Trade policy,15.59,0.59%,Australia
2020,General budget support,15.49,0.59%,Australia
2020,"Industry, construction & mining",12.25,0.46%,Australia
2020,Tourism,3.8,0.14%,Australia
2020,Reconstruction Relief & Rehabilitation,1.5,0.06%,Australia
2019,Other multisector,449.97,17.71%,Australia
2019,Government & civil society,409.56,16.12%,Australia
2019,Health & populations,241.97,9.53%,Australia
2019,Emergency Response,230.04,9.06%,Australia
2019,Donor administration costs,215.64,8.49%,Australia
2019,Education,202.66,7.98%,Australia
2019,"Agriculture (incl. forestry, fishing, rural development)",171.56,6.75%,Australia
2019,Infrastructure,170.25,6.7%,Australia
2019,Other social services,77.41,3.05%,Australia
2019,Financial services & business support,72.1,2.84%,Australia
2019,"Conflict, peace & security",65.8,2.59%,Australia
2019,Water and sanitation,62.64,2.47%,Australia
2019,Food aid and commodity assistance,44.44,1.75%,Australia
2019,Environmental protection,33.7,1.33%,Australia
2019,Trade policy,22.45,0.88%,Australia
2019,"Industry, construction & mining",17.85,0.7%,Australia
2019,Disaster Prevention & Preparedness,16.49,0.65%,Australia
2019,Energy,14.99,0.59%,Australia
2019,General budget support,8.52,0.34%,Australia
2019,Reconstruction Relief & Rehabilitation,6.37,0.25%,Australia
2019,Tourism,4.91,0.19%,Australia
2019,Unspecified,0.96,0.04%,Australia
