year,incomegroup_name,total_oda,Share,Donor
2023,LMICs,1006.83,36.99,Australia
2023,Part I unallocated by income,826.17,30.36,Australia
2023,LDCs,628.99,23.11,Australia
2023,UMICs,250.3,9.2,Australia
2023,Other LICs,9.4,0.35,Australia
2022,LMICs,1110.95,42.68,Australia
2022,Part I unallocated by income,695.16,26.7,Australia
2022,LDCs,604.76,23.23,Australia
2022,UMICs,189.7,7.29,Australia
2022,Other LICs,2.62,0.1,Australia
2021,LMICs,1273.04,41.78,Australia
2021,Part I unallocated by income,788.01,25.86,Australia
2021,LDCs,674.16,22.12,Australia
2021,UMICs,309.07,10.14,Australia
2021,Other LICs,3.02,0.1,Australia
2021,MADCTs,0.06,0.0,Australia
2020,Part I unallocated by income,1023.29,38.73,Australia
2020,LMICs,878.86,33.27,Australia
2020,LDCs,538.78,20.39,Australia
2020,UMICs,182.73,6.92,Australia
2020,Other LICs,18.11,0.69,Australia
2020,MADCTs,0.01,0.0,Australia
2019,LMICs,976.72,38.45,Australia
2019,Part I unallocated by income,763.4,30.05,Australia
2019,LDCs,590.03,23.23,Australia
2019,UMICs,178.34,7.02,Australia
2019,Other LICs,28.18,1.11,Australia
2019,MADCTs,3.64,0.14,Australia
