Year,Multi_short,ODA,Share,full name,Donor
2019,IBRD,185.7,0.39%,International Bank for Reconstruction and Development ,Australia
2019,AIIB,131.14,0.27%,Asian Infrastructure Investment Bank,Australia
2019,Asian Development Fund ,108.31,0.23%,Asian Development Fund ,Australia
2019,GAVI,75.98,0.16%,Global Alliance for Vaccines and Immunization ,Australia
2019,UN,32.02,0.07%,United Nations,Australia
2019,"World Bank Group (WB), Other",27.58,0.06%,"World Bank Group (WB), Other",Australia
2019,ADB,19.85,0.04%,Asian Development Bank,Australia
2019,United Nations Office of the High Commissioner for Refugees,19.76,0.04%,United Nations Office of the High Commissioner for Refugees,Australia
2019,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund ,19.0,0.04%,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund ,Australia
2019,UNICEF,16.6,0.03%,United Nations Children's Fund ,Australia
2019,MLF-MP,12.38,0.03%,Multilateral Fund for the Implementation of the Montreal Protocol ,Australia
2019,OECD Development Centre ,11.41,0.02%,OECD Development Centre ,Australia
2019,FAO,10.83,0.02%,Food and Agricultural Organisation,Australia
2019,UNDP,10.61,0.02%,United Nations Development Programme ,Australia
2019,Pacific Islands Forum Secretariat ,10.19,0.02%,Pacific Islands Forum Secretariat ,Australia
2019,World Health Organisation - assessed contributions,9.33,0.02%,World Health Organisation - assessed contributions,Australia
2019,GGGI,9.19,0.02%,Global Green Growth Institute,Australia
2019,United Nations Office of Co-ordination of Humanitarian Affairs ,8.69,0.02%,United Nations Office of Co-ordination of Humanitarian Affairs ,Australia
2019,United Nations Entity for Gender Equality and the Empowerment of Women,6.16,0.01%,United Nations Entity for Gender Equality and the Empowerment of Women,Australia
2019,International Labour Organisation - Assessed Contributions,5.52,0.01%,International Labour Organisation - Assessed Contributions,Australia
2019,"United Nations Educational, Scientific and Cultural Organisation",4.71,0.01%,"United Nations Educational, Scientific and Cultural Organisation",Australia
