Year,Sector,Bilateral ODA for,Share,Donor
2023,Refugees in donor countries,287.3,31.48%,Austria
2023,Education,234.81,25.73%,Austria
2023,Emergency Response,114.35,12.53%,Austria
2023,Donor administration costs,41.95,4.6%,Austria
2023,Unspecified,29.87,3.27%,Austria
2023,Other multisector,28.85,3.16%,Austria
2023,Government & civil society,24.31,2.66%,Austria
2023,"Agriculture (incl. forestry, fishing, rural development)",22.12,2.42%,Austria
2023,Energy,18.92,2.07%,Austria
2023,Reconstruction Relief & Rehabilitation,18.53,2.03%,Austria
2023,Disaster Prevention & Preparedness,16.25,1.78%,Austria
2023,Water and sanitation,15.72,1.72%,Austria
2023,Other social services,15.19,1.66%,Austria
2023,Financial services & business support,12.98,1.42%,Austria
2023,Health & populations,12.89,1.41%,Austria
2023,Environmental protection,7.73,0.85%,Austria
2023,"Conflict, peace & security",6.16,0.67%,Austria
2023,"Industry, construction & mining",1.92,0.21%,Austria
2023,Debt relief,1.9,0.21%,Austria
2023,Tourism,0.48,0.05%,Austria
2023,Infrastructure,0.33,0.04%,Austria
2023,Trade policy,0.22,0.02%,Austria
2022,Refugees in donor countries,410.54,34.0%,Austria
2022,Education,200.27,16.58%,Austria
2022,Emergency Response,141.7,11.73%,Austria
2022,"Industry, construction & mining",88.32,7.31%,Austria
2022,Energy,52.66,4.36%,Austria
2022,Health & populations,48.77,4.04%,Austria
2022,Government & civil society,39.58,3.28%,Austria
2022,Donor administration costs,39.26,3.25%,Austria
2022,Other social services,29.53,2.45%,Austria
2022,Reconstruction Relief & Rehabilitation,27.43,2.27%,Austria
2022,Financial services & business support,25.62,2.12%,Austria
2022,Unspecified,25.31,2.1%,Austria
2022,"Agriculture (incl. forestry, fishing, rural development)",21.89,1.81%,Austria
2022,Other multisector,20.49,1.7%,Austria
2022,Water and sanitation,12.1,1.0%,Austria
2022,"Conflict, peace & security",8.74,0.72%,Austria
2022,Environmental protection,8.36,0.69%,Austria
2022,Infrastructure,2.86,0.24%,Austria
2022,Disaster Prevention & Preparedness,2.67,0.22%,Austria
2022,Tourism,1.21,0.1%,Austria
2022,Trade policy,0.23,0.02%,Austria
2022,Debt relief,0.04,0.0%,Austria
2021,Education,193.84,26.04%,Austria
2021,Emergency Response,104.58,14.05%,Austria
2021,Energy,77.58,10.42%,Austria
2021,Refugees in donor countries,65.21,8.76%,Austria
2021,Health & populations,48.24,6.48%,Austria
2021,Donor administration costs,39.26,5.27%,Austria
2021,Government & civil society,28.77,3.87%,Austria
2021,"Industry, construction & mining",28.67,3.85%,Austria
2021,Unspecified,24.84,3.34%,Austria
2021,Water and sanitation,24.61,3.31%,Austria
2021,"Agriculture (incl. forestry, fishing, rural development)",24.38,3.28%,Austria
2021,Financial services & business support,18.83,2.53%,Austria
2021,Other social services,17.79,2.39%,Austria
2021,Other multisector,14.63,1.97%,Austria
2021,Reconstruction Relief & Rehabilitation,12.36,1.66%,Austria
2021,"Conflict, peace & security",8.9,1.2%,Austria
2021,Environmental protection,8.33,1.12%,Austria
2021,Disaster Prevention & Preparedness,2.03,0.27%,Austria
2021,Food aid and commodity assistance,0.92,0.12%,Austria
2021,Tourism,0.35,0.05%,Austria
2021,Infrastructure,0.26,0.04%,Austria
2021,Debt relief,0.04,0.01%,Austria
2020,Education,179.34,28.85%,Austria
2020,Energy,73.68,11.85%,Austria
2020,Emergency Response,51.67,8.31%,Austria
2020,"Agriculture (incl. forestry, fishing, rural development)",41.29,6.64%,Austria
2020,Donor administration costs,38.93,6.26%,Austria
2020,Financial services & business support,38.31,6.16%,Austria
2020,Refugees in donor countries,33.76,5.43%,Austria
2020,Government & civil society,29.22,4.7%,Austria
2020,Unspecified,21.7,3.49%,Austria
2020,Other multisector,19.6,3.15%,Austria
2020,Water and sanitation,17.18,2.76%,Austria
2020,Other social services,16.31,2.62%,Austria
2020,Debt relief,16.11,2.59%,Austria
2020,"Industry, construction & mining",12.12,1.95%,Austria
2020,Health & populations,8.31,1.34%,Austria
2020,Environmental protection,5.82,0.94%,Austria
2020,Reconstruction Relief & Rehabilitation,5.8,0.93%,Austria
2020,"Conflict, peace & security",4.98,0.8%,Austria
2020,Disaster Prevention & Preparedness,3.46,0.56%,Austria
2020,Food aid and commodity assistance,2.68,0.43%,Austria
2020,Tourism,0.74,0.12%,Austria
2020,Infrastructure,0.53,0.09%,Austria
2020,Trade policy,0.08,0.01%,Austria
2019,Education,182.65,35.22%,Austria
2019,Emergency Response,42.2,8.14%,Austria
2019,Government & civil society,41.55,8.01%,Austria
2019,Donor administration costs,39.8,7.67%,Austria
2019,Refugees in donor countries,35.15,6.78%,Austria
2019,Other multisector,28.34,5.47%,Austria
2019,Unspecified,26.32,5.07%,Austria
2019,"Agriculture (incl. forestry, fishing, rural development)",24.64,4.75%,Austria
2019,Water and sanitation,16.64,3.21%,Austria
2019,Other social services,15.28,2.95%,Austria
2019,Energy,13.89,2.68%,Austria
2019,Financial services & business support,12.72,2.45%,Austria
2019,Health & populations,9.4,1.81%,Austria
2019,"Industry, construction & mining",9.33,1.8%,Austria
2019,"Conflict, peace & security",8.63,1.66%,Austria
2019,Environmental protection,5.88,1.13%,Austria
2019,Infrastructure,3.8,0.73%,Austria
2019,Tourism,1.07,0.21%,Austria
2019,Reconstruction Relief & Rehabilitation,0.94,0.18%,Austria
2019,Disaster Prevention & Preparedness,0.26,0.05%,Austria
2019,Debt relief,0.09,0.02%,Austria
2019,Trade policy,0.02,0.0%,Austria
