Year,Multi_short,ODA,Share,full name,Donor
2019,European Commission - Development Share of Budget,282.6,0.59%,European Commission - Development Share of Budget,Austria
2019,IDA,189.76,0.4%,International Development Association ,Austria
2019,European Commission - European Development Fund,144.34,0.3%,European Commission - European Development Fund,Austria
2019,IBRD,58.68,0.12%,International Bank for Reconstruction and Development ,Austria
2019,ADF,53.48,0.11%,African Development Fund ,Austria
2019,GCF,38.41,0.08%,Green Climate Fund,Austria
2019,GEF-TF,32.33,0.07%,Global Environment Facility Trust Fund,Austria
2019,AIIB,19.59,0.04%,Asian Infrastructure Investment Bank,Austria
2019,UN,9.97,0.02%,United Nations,Austria
2019,International Development Association - Multilateral Debt Relief Initiative,7.91,0.02%,International Development Association - Multilateral Debt Relief Initiative,Austria
2019,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",7.91,0.02%,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",Austria
2019,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund ,7.33,0.02%,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund ,Austria
2019,IFAD,6.83,0.01%,International Fund for Agricultural Development ,Austria
2019,Asian Development Fund ,6.74,0.01%,Asian Development Fund ,Austria
2019,FAO,3.27,0.01%,Food and Agricultural Organisation,Austria
2019,Organization for Security and Co-operation in Europe,3.01,0.01%,Organization for Security and Co-operation in Europe,Austria
2019,World Health Organisation - assessed contributions,2.96,0.01%,World Health Organisation - assessed contributions,Austria
2019,Council of Europe,2.47,0.01%,Council of Europe,Austria
2019,MLF-MP,2.04,0.0%,Multilateral Fund for the Implementation of the Montreal Protocol ,Austria
2019,UNDP,1.98,0.0%,United Nations Development Programme ,Austria
2019,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund ",1.85,0.0%,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund ",Austria
2019,International Labour Organisation - Assessed Contributions,1.78,0.0%,International Labour Organisation - Assessed Contributions,Austria
2019,International Organisation for Migration ,1.74,0.0%,International Organisation for Migration ,Austria
2019,"United Nations Educational, Scientific and Cultural Organisation",1.48,0.0%,"United Nations Educational, Scientific and Cultural Organisation",Austria
2019,UNICEF,1.36,0.0%,United Nations Children's Fund ,Austria
2019,International Atomic Energy Agency - assessed contributions,1.09,0.0%,International Atomic Energy Agency - assessed contributions,Austria
2019,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),0.76,0.0%,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),Austria
2019,United Nations Office of the High Commissioner for Refugees,0.7,0.0%,United Nations Office of the High Commissioner for Refugees,Austria
2019,UNIDO,0.64,0.0%,United Nations Industrial Development Organisation ,Austria
2019,UNRWA,0.51,0.0%,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Austria
2019,International Agency for Research on Cancer,0.49,0.0%,International Agency for Research on Cancer,Austria
2019,United Nations Entity for Gender Equality and the Empowerment of Women,0.32,0.0%,United Nations Entity for Gender Equality and the Empowerment of Women,Austria
2019,UNFPA,0.26,0.0%,United Nations Population Fund ,Austria
2019,UNWTO,0.25,0.0%,World Tourism Organization,Austria
2019,United Nations Framework Convention on Climate Change ,0.16,0.0%,United Nations Framework Convention on Climate Change ,Austria
2019,UNCDF,0.13,0.0%,United Nations Capital Development Fund ,Austria
2019,United Nations Office of Co-ordination of Humanitarian Affairs ,0.12,0.0%,United Nations Office of Co-ordination of Humanitarian Affairs ,Austria
2019,United Nations Voluntary Fund for Technical Co-operation in the Field of Human Rights,0.08,0.0%,United Nations Voluntary Fund for Technical Co-operation in the Field of Human Rights,Austria
2019,United Nations Office on Drugs and Crime ,0.08,0.0%,United Nations Office on Drugs and Crime ,Austria
2019,Convention to Combat Desertification ,0.07,0.0%,Convention to Combat Desertification ,Austria
2019,CITES,0.05,0.0%,Convention on International Trade in Endangered Species of Wild Flora and Fauna,Austria
2019,United Nations Voluntary Fund for Victims of Torture ,0.04,0.0%,United Nations Voluntary Fund for Victims of Torture ,Austria
2019,World Meteorological Organisation ,0.02,0.0%,World Meteorological Organisation ,Austria
2019,International Organisation of the Francophonie,0.01,0.0%,International Organisation of the Francophonie,Austria
2020,European Commission - Development Share of Budget,317.97,0.62%,European Commission - Development Share of Budget,Austria
2020,IDA,184.77,0.36%,International Development Association ,Austria
2020,European Commission - European Development Fund,140.55,0.27%,European Commission - European Development Fund,Austria
2020,ADF,58.3,0.11%,African Development Fund ,Austria
2020,GCF,31.17,0.06%,Green Climate Fund,Austria
2020,GEF-TF,15.74,0.03%,Global Environment Facility Trust Fund,Austria
2020,UN,10.14,0.02%,United Nations,Austria
2020,International Development Association - Multilateral Debt Relief Initiative,9.82,0.02%,International Development Association - Multilateral Debt Relief Initiative,Austria
