Year,Multi_short,ODA,Share,Full Name,Donor
2019,European Commission - Development Share of Budget,494.67,1.03%,European Commission - Development Share of Budget,Belgium
2019,IDA,191.34,0.4%,International Development Association ,Belgium
2019,European Commission - European Development Fund,178.42,0.37%,European Commission - European Development Fund,Belgium
2019,GCF,31.2,0.07%,Green Climate Fund,Belgium
2019,CERF,21.96,0.05%,Central Emergency Response Fund,Belgium
2019,UNICEF,19.03,0.04%,United Nations Children's Fund ,Belgium
2019,ADF,18.96,0.04%,African Development Fund ,Belgium
2019,GEF-TF,18.72,0.04%,Global Environment Facility Trust Fund,Belgium
2019,"Global Fund to Fight AIDS, Tuberculosis and Malaria ",18.72,0.04%,"Global Fund to Fight AIDS, Tuberculosis and Malaria ",Belgium
2019,Global Environment Facility - Least Developed Countries Fund,18.72,0.04%,Global Environment Facility - Least Developed Countries Fund,Belgium
2019,International Development Association - Multilateral Debt Relief Initiative,15.84,0.03%,International Development Association - Multilateral Debt Relief Initiative,Belgium
2019,EIB,13.22,0.03%,European Investment Bank ,Belgium
2019,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",13.12,0.03%,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",Belgium
2019,UNDP,12.48,0.03%,United Nations Development Programme ,Belgium
2019,UN,11.88,0.02%,United Nations,Belgium
2019,UNFPA,11.23,0.02%,United Nations Population Fund ,Belgium
2019,AIIB,10.69,0.02%,Asian Infrastructure Investment Bank,Belgium
2019,United Nations Office of the High Commissioner for Refugees,9.98,0.02%,United Nations Office of the High Commissioner for Refugees,Belgium
2019,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund ,8.51,0.02%,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund ,Belgium
2019,UNRWA,8.02,0.02%,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Belgium
2019,WFP,5.99,0.01%,World Food Programme ,Belgium
2019,International Labour Organisation - Assessed Contributions,5.96,0.01%,International Labour Organisation - Assessed Contributions,Belgium
2019,World Health Organisation - core voluntary contributions account,4.99,0.01%,World Health Organisation - core voluntary contributions account,Belgium
2019,UNEP,4.99,0.01%,United Nations Environment Programme ,Belgium
2019,United Nations Entity for Gender Equality and the Empowerment of Women,4.99,0.01%,United Nations Entity for Gender Equality and the Empowerment of Women,Belgium
2019,International Organisation of the Francophonie,4.94,0.01%,International Organisation of the Francophonie,Belgium
2019,Organization for Security and Co-operation in Europe,4.25,0.01%,Organization for Security and Co-operation in Europe,Belgium
2019,Joint United Nations Programme on HIV/AIDS ,3.74,0.01%,Joint United Nations Programme on HIV/AIDS ,Belgium
2019,World Health Organisation - assessed contributions,3.4,0.01%,World Health Organisation - assessed contributions,Belgium
2019,Council of Europe,3.13,0.01%,Council of Europe,Belgium
2019,CGIAR ,3.12,0.01%,CGIAR Fund,Belgium
2019,AfDB,3.04,0.01%,African Development Bank,Belgium
2019,United Nations Office of Co-ordination of Humanitarian Affairs ,2.81,0.01%,United Nations Office of Co-ordination of Humanitarian Affairs ,Belgium
2019,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),2.5,0.01%,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),Belgium
2019,MLF-MP,2.39,0.0%,Multilateral Fund for the Implementation of the Montreal Protocol ,Belgium
2019,International Organisation for Migration ,1.79,0.0%,International Organisation for Migration ,Belgium
2019,"United Nations Educational, Scientific and Cultural Organisation",1.76,0.0%,"United Nations Educational, Scientific and Cultural Organisation",Belgium
2019,International Atomic Energy Agency - assessed contributions,1.31,0.0%,International Atomic Energy Agency - assessed contributions,Belgium
2019,International Renewable Energy Agency,0.93,0.0%,International Renewable Energy Agency,Belgium
2019,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),0.92,0.0%,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),Belgium
2019,Sahel and West Africa Club ,0.25,0.0%,Sahel and West Africa Club ,Belgium
2019,United Nations Framework Convention on Climate Change ,0.12,0.0%,United Nations Framework Convention on Climate Change ,Belgium
2019,Convention to Combat Desertification ,0.08,0.0%,Convention to Combat Desertification ,Belgium
2019,International Institute for Democracy and Electoral Assistance ,0.06,0.0%,International Institute for Democracy and Electoral Assistance ,Belgium
2019,UNWTO,0.05,0.0%,World Tourism Organization,Belgium
2020,European Commission - Development Share of Budget,522.15,1.01%,European Commission - Development Share of Budget,Belgium
2020,IDA,215.23,0.42%,International Development Association ,Belgium
2020,European Commission - European Development Fund,175.61,0.34%,European Commission - European Development Fund,Belgium
2020,ADF,43.64,0.08%,African Development Fund ,Belgium
2020,International Development Association - Multilateral Debt Relief Initiative,42.47,0.08%,International Development Association - Multilateral Debt Relief Initiative,Belgium
2020,United Nations Office of Co-ordination of Humanitarian Affairs ,28.56,0.06%,United Nations Office of Co-ordination of Humanitarian Affairs ,Belgium
2020,GCF,24.57,0.05%,Green Climate Fund,Belgium
2020,IBRD,20.94,0.04%,International Bank for Reconstruction and Development ,Belgium
2020,"Global Fund to Fight AIDS, Tuberculosis and Malaria ",18.42,0.04%,"Global Fund to Fight AIDS, Tuberculosis and Malaria ",Belgium
2020,GEF-TF,18.42,0.04%,Global Environment Facility Trust Fund,Belgium
2020,UNICEF,18.42,0.04%,United Nations Children's Fund ,Belgium
2020,UN,18.04,0.03%,United Nations,Belgium
2020,EIB,13.01,0.03%,European Investment Bank ,Belgium
