Year,Sector,Bilateral ODA for,Share,Donor
2023,Unspecified,1896.39,27.67%,Canada
2023,Refugees in donor countries,1690.1,24.66%,Canada
2023,Health & populations,713.89,10.42%,Canada
2023,Emergency Response,655.52,9.57%,Canada
2023,Government & civil society,364.38,5.32%,Canada
2023,Donor administration costs,348.56,5.09%,Canada
2023,Education,331.59,4.84%,Canada
2023,Other multisector,176.4,2.57%,Canada
2023,"Agriculture (incl. forestry, fishing, rural development)",170.93,2.49%,Canada
2023,"Conflict, peace & security",136.3,1.99%,Canada
2023,Environmental protection,111.71,1.63%,Canada
2023,Financial services & business support,47.1,0.69%,Canada
2023,Energy,40.23,0.59%,Canada
2023,Other social services,40.07,0.58%,Canada
2023,"Industry, construction & mining",27.17,0.4%,Canada
2023,Water and sanitation,22.72,0.33%,Canada
2023,Reconstruction Relief & Rehabilitation,22.17,0.32%,Canada
2023,Food aid and commodity assistance,21.02,0.31%,Canada
2023,Trade policy,10.86,0.16%,Canada
2023,Disaster Prevention & Preparedness,10.53,0.15%,Canada
2023,General budget support,7.41,0.11%,Canada
2023,Infrastructure,5.67,0.08%,Canada
2023,Tourism,1.9,0.03%,Canada
2022,Unspecified,1864.72,26.78%,Canada
2022,Health & populations,1210.64,17.39%,Canada
2022,Emergency Response,961.53,13.81%,Canada
2022,Refugees in donor countries,901.86,12.95%,Canada
2022,Government & civil society,344.58,4.95%,Canada
2022,Energy,321.32,4.62%,Canada
2022,Donor administration costs,316.02,4.54%,Canada
2022,Education,275.37,3.96%,Canada
2022,"Agriculture (incl. forestry, fishing, rural development)",259.12,3.72%,Canada
2022,"Conflict, peace & security",122.28,1.76%,Canada
2022,Other multisector,111.89,1.61%,Canada
2022,Other social services,57.12,0.82%,Canada
2022,Financial services & business support,55.47,0.8%,Canada
2022,Environmental protection,47.5,0.68%,Canada
2022,"Industry, construction & mining",35.24,0.51%,Canada
2022,Water and sanitation,34.33,0.49%,Canada
2022,Food aid and commodity assistance,12.26,0.18%,Canada
2022,General budget support,7.5,0.11%,Canada
2022,Trade policy,6.2,0.09%,Canada
2022,Disaster Prevention & Preparedness,6.1,0.09%,Canada
2022,Infrastructure,5.92,0.08%,Canada
2022,Reconstruction Relief & Rehabilitation,3.03,0.04%,Canada
2022,Tourism,2.18,0.03%,Canada
2021,Health & populations,1529.38,30.46%,Canada
2021,Emergency Response,766.53,15.27%,Canada
2021,Refugees in donor countries,467.4,9.31%,Canada
2021,Government & civil society,354.43,7.06%,Canada
2021,Donor administration costs,319.36,6.36%,Canada
2021,"Agriculture (incl. forestry, fishing, rural development)",318.56,6.35%,Canada
2021,Energy,299.26,5.96%,Canada
2021,Education,278.67,5.55%,Canada
2021,Other multisector,159.21,3.17%,Canada
2021,Financial services & business support,135.02,2.69%,Canada
2021,"Conflict, peace & security",101.26,2.02%,Canada
2021,Other social services,78.54,1.56%,Canada
2021,Environmental protection,60.12,1.2%,Canada
2021,Water and sanitation,47.04,0.94%,Canada
2021,"Industry, construction & mining",35.46,0.71%,Canada
2021,Unspecified,18.17,0.36%,Canada
2021,Food aid and commodity assistance,14.85,0.3%,Canada
2021,Trade policy,8.48,0.17%,Canada
2021,General budget support,8.04,0.16%,Canada
2021,Infrastructure,7.78,0.16%,Canada
2021,Disaster Prevention & Preparedness,7.55,0.15%,Canada
2021,Reconstruction Relief & Rehabilitation,4.03,0.08%,Canada
2021,Tourism,1.56,0.03%,Canada
2020,Refugees in donor countries,735.93,16.1%,Canada
2020,Emergency Response,663.65,14.52%,Canada
2020,Government & civil society,644.79,14.11%,Canada
2020,Health & populations,624.57,13.67%,Canada
2020,Education,349.18,7.64%,Canada
2020,Donor administration costs,336.14,7.36%,Canada
2020,"Agriculture (incl. forestry, fishing, rural development)",294.45,6.44%,Canada
2020,Other multisector,258.79,5.66%,Canada
2020,Energy,236.04,5.16%,Canada
2020,"Conflict, peace & security",108.53,2.37%,Canada
2020,Financial services & business support,67.74,1.48%,Canada
2020,"Industry, construction & mining",52.28,1.14%,Canada
2020,Environmental protection,48.17,1.05%,Canada
2020,Other social services,32.82,0.72%,Canada
2020,Water and sanitation,27.88,0.61%,Canada
