year,Recipient Country,ODA Grants,ODA Loans,Share,Donor
2023,Ukraine,191.76,1778.73,28.8%,Canada
2023,"Bilateral, unspecified",1869.21,0.0,27.3%,Canada
2023,"Africa, regional",347.85,0.0,5.1%,Canada
2023,"Asia, regional",205.07,0.0,3.0%,Canada
2023,"America, regional",147.04,0.0,2.1%,Canada
2023,"South of Sahara, regional",141.9,0.0,2.1%,Canada
2023,Jordan,35.0,88.94,1.8%,Canada
2023,Ethiopia,114.35,0.0,1.7%,Canada
2023,Haiti,88.18,0.0,1.3%,Canada
2023,South Sudan,79.73,0.0,1.2%,Canada
2023,Mali,79.06,0.0,1.2%,Canada
2023,Bangladesh,75.4,0.0,1.1%,Canada
2023,Syrian Arab Republic,74.65,0.0,1.1%,Canada
2023,West Bank and Gaza Strip,72.41,0.0,1.1%,Canada
2023,Senegal,67.41,0.0,1.0%,Canada
2023,Lebanon,62.9,0.0,0.9%,Canada
2023,"Middle East, regional",61.87,0.0,0.9%,Canada
2023,Democratic Republic of the Congo,60.37,0.0,0.9%,Canada
2023,Mozambique,55.62,0.0,0.8%,Canada
2023,Ghana,49.78,0.0,0.7%,Canada
2022,Ukraine,317.05,1838.3,31.0%,Canada
2022,"Bilateral, unspecified",1022.42,0.0,14.7%,Canada
2022,"Africa, regional",423.69,135.06,8.0%,Canada
2022,"Asia, regional",223.61,226.61,6.5%,Canada
2022,"America, regional",161.91,0.0,2.3%,Canada
2022,Afghanistan,156.77,0.0,2.3%,Canada
2022,"South of Sahara, regional",143.78,7.71,2.2%,Canada
2022,Ethiopia,118.94,0.0,1.7%,Canada
2022,Tanzania,99.4,0.0,1.4%,Canada
2022,Bangladesh,89.07,0.0,1.3%,Canada
2022,South Sudan,85.26,0.0,1.2%,Canada
2022,Haiti,82.43,0.0,1.2%,Canada
2022,Mozambique,81.45,0.0,1.2%,Canada
2022,Nigeria,80.15,0.0,1.2%,Canada
2022,Democratic Republic of the Congo,72.55,0.0,1.0%,Canada
2022,Yemen,72.42,0.0,1.0%,Canada
2022,Mali,69.8,0.0,1.0%,Canada
2022,Ghana,67.36,0.0,1.0%,Canada
2022,"Europe, regional",65.95,0.0,0.9%,Canada
2022,Senegal,64.87,0.0,0.9%,Canada
2021,"Africa, regional",713.52,280.96,19.8%,Canada
2021,"Bilateral, unspecified",532.32,0.02,10.6%,Canada
2021,"Asia, regional",388.28,108.88,9.9%,Canada
2021,"America, regional",221.06,64.71,5.7%,Canada
2021,"South America, regional",65.04,67.98,2.6%,Canada
2021,Afghanistan,114.14,0.0,2.3%,Canada
2021,South Sudan,109.85,0.0,2.2%,Canada
2021,Ethiopia,99.96,0.0,2.0%,Canada
2021,Mali,93.25,0.0,1.9%,Canada
2021,Bangladesh,86.97,0.0,1.7%,Canada
2021,Mozambique,82.95,0.0,1.7%,Canada
2021,"Europe, regional",74.39,4.54,1.6%,Canada
2021,Iraq,74.84,0.0,1.5%,Canada
2021,"Middle East, regional",72.72,0.0,1.4%,Canada
2021,Syrian Arab Republic,70.15,0.0,1.4%,Canada
2021,Democratic Republic of the Congo,69.57,0.0,1.4%,Canada
2021,Lebanon,68.82,0.0,1.4%,Canada
2021,Jordan,67.44,0.0,1.3%,Canada
2021,"Caribbean & Central America, regional",21.08,44.78,1.3%,Canada
2021,Yemen,65.12,0.0,1.3%,Canada
2020,"Bilateral, unspecified",985.28,0.0,21.6%,Canada
2020,"Africa, regional",403.03,96.3,10.9%,Canada
2020,"Asia, regional",243.5,113.81,7.8%,Canada
2020,"America, regional",197.42,77.25,6.0%,Canada
2020,"South of Sahara, regional",102.03,0.0,2.2%,Canada
2020,Afghanistan,100.35,0.0,2.2%,Canada
2020,Syrian Arab Republic,87.42,0.0,1.9%,Canada
2020,Lebanon,87.31,0.0,1.9%,Canada
2020,South Sudan,85.39,0.0,1.9%,Canada
2020,Ethiopia,85.16,0.0,1.9%,Canada
2020,Iraq,83.08,0.0,1.8%,Canada
2020,Bangladesh,80.1,0.0,1.8%,Canada
2020,Democratic Republic of the Congo,79.94,0.0,1.7%,Canada
2020,Tanzania,78.89,0.0,1.7%,Canada
2020,Mali,71.0,0.0,1.6%,Canada
2020,"Middle East, regional",69.37,0.0,1.5%,Canada
2020,Haiti,66.65,0.0,1.5%,Canada
2020,Jordan,66.06,0.0,1.4%,Canada
2020,"South America, regional",20.15,41.75,1.4%,Canada
2020,Mozambique,60.43,0.0,1.3%,Canada
2019,"Bilateral, unspecified",745.21,0.0,19.8%,Canada
2019,"Africa, regional",282.05,28.88,8.2%,Canada
2019,"Asia, regional",224.49,46.03,7.2%,Canada
2019,"America, regional",125.15,28.88,4.1%,Canada
2019,Afghanistan,135.97,0.0,3.6%,Canada
2019,Syrian Arab Republic,109.09,0.0,2.9%,Canada
2019,Bangladesh,94.73,0.0,2.5%,Canada
2019,Tanzania,92.61,0.0,2.5%,Canada
2019,Ethiopia,92.31,0.0,2.4%,Canada
2019,Jordan,84.61,0.0,2.2%,Canada
2019,Mali,83.85,0.0,2.2%,Canada
2019,Iraq,76.71,0.0,2.0%,Canada
2019,Haiti,74.95,0.0,2.0%,Canada
2019,Lebanon,69.33,0.0,1.8%,Canada
2019,Mozambique,65.37,0.0,1.7%,Canada
2019,Democratic Republic of the Congo,65.21,0.0,1.7%,Canada
2019,"South America, regional",22.63,41.79,1.7%,Canada
2019,"Caribbean, regional",41.61,15.88,1.5%,Canada
2019,"South of Sahara, regional",56.04,0.0,1.5%,Canada
2019,Ukraine,54.49,0.0,1.4%,Canada
