Year,Multi_short,ODA,Share,full name,Donor
2019,IDA,386.51,0.81%,International Development Association ,Canada
2019,"Global Fund to Fight AIDS, Tuberculosis and Malaria ",229.02,0.48%,"Global Fund to Fight AIDS, Tuberculosis and Malaria ",Canada
2019,IBRD,219.16,0.46%,International Bank for Reconstruction and Development ,Canada
2019,GAVI,101.53,0.21%,Global Alliance for Vaccines and Immunization ,Canada
2019,ADF,94.99,0.2%,African Development Fund ,Canada
2019,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",74.07,0.15%,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",Canada
2019,GEF-TF,73.92,0.15%,Global Environment Facility Trust Fund,Canada
2019,International Organisation of the Francophonie,47.34,0.1%,International Organisation of the Francophonie,Canada
2019,International Development Association - Multilateral Debt Relief Initiative,44.81,0.09%,International Development Association - Multilateral Debt Relief Initiative,Canada
2019,UN,41.56,0.09%,United Nations,Canada
2019,AIIB,39.76,0.08%,Asian Infrastructure Investment Bank,Canada
2019,UNDP,35.01,0.07%,United Nations Development Programme ,Canada
2019,ADB,28.85,0.06%,Asian Development Bank,Canada
2019,FAO,26.22,0.05%,Food and Agricultural Organisation,Canada
2019,CERF,25.73,0.05%,Central Emergency Response Fund,Canada
2019,Pan-American Health Organisation ,22.07,0.05%,Pan-American Health Organisation ,Canada
2019,WFP,21.88,0.05%,World Food Programme ,Canada
2019,GCF,19.26,0.04%,Green Climate Fund,Canada
2019,UNRWA,17.5,0.04%,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Canada
2019,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund ",16.82,0.04%,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund ",Canada
2019,CDB,15.39,0.03%,Caribbean Development Bank ,Canada
2019,UNICEF,14.18,0.03%,United Nations Children's Fund ,Canada
2019,UNFPA,13.65,0.03%,United Nations Population Fund ,Canada
2019,World Health Organisation - core voluntary contributions account,11.92,0.02%,World Health Organisation - core voluntary contributions account,Canada
2019,Organization for Security and Co-operation in Europe,11.33,0.02%,Organization for Security and Co-operation in Europe,Canada
2019,United Nations Office of the High Commissioner for Refugees,11.03,0.02%,United Nations Office of the High Commissioner for Refugees,Canada
2019,Organisation of American States ,9.49,0.02%,Organisation of American States ,Canada
2019,MLF-MP,9.3,0.02%,Multilateral Fund for the Implementation of the Montreal Protocol ,Canada
2019,CGIAR ,8.75,0.02%,CGIAR Fund,Canada
2019,Joint United Nations Programme on HIV/AIDS ,8.75,0.02%,Joint United Nations Programme on HIV/AIDS ,Canada
2019,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),7.7,0.02%,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),Canada
2019,International Labour Organisation - Assessed Contributions,7.54,0.02%,International Labour Organisation - Assessed Contributions,Canada
2019,"United Nations Educational, Scientific and Cultural Organisation",6.16,0.01%,"United Nations Educational, Scientific and Cultural Organisation",Canada
2019,Commonwealth Secretariat (ODA-eligible contributions only),5.82,0.01%,Commonwealth Secretariat (ODA-eligible contributions only),Canada
2019,United Nations Entity for Gender Equality and the Empowerment of Women,5.69,0.01%,United Nations Entity for Gender Equality and the Empowerment of Women,Canada
2019,International Atomic Energy Agency - assessed contributions,4.26,0.01%,International Atomic Energy Agency - assessed contributions,Canada
2019,Inter-American Institute for Co-operation on Agriculture ,3.32,0.01%,Inter-American Institute for Co-operation on Agriculture ,Canada
2019,AF,2.63,0.01%,Adaptation Fund,Canada
2019,Commonwealth of Learning ,2.28,0.0%,Commonwealth of Learning ,Canada
2019,International Organisation for Migration ,1.9,0.0%,International Organisation for Migration ,Canada
2019,United Nations University (including Endowment Fund) ,1.75,0.0%,United Nations University (including Endowment Fund) ,Canada
