Year,Sector,Bilateral ODA for,Share,Donor
2023,Refugees in donor countries,418.32,84.59%,Czechia
2023,Emergency Response,17.99,3.64%,Czechia
2023,Government & civil society,10.99,2.22%,Czechia
2023,Health & populations,8.89,1.8%,Czechia
2023,Education,7.21,1.46%,Czechia
2023,Water and sanitation,5.88,1.19%,Czechia
2023,"Agriculture (incl. forestry, fishing, rural development)",4.79,0.97%,Czechia
2023,Other social services,3.35,0.68%,Czechia
2023,Unspecified,3.23,0.65%,Czechia
2023,Reconstruction Relief & Rehabilitation,2.33,0.47%,Czechia
2023,"Conflict, peace & security",2.18,0.44%,Czechia
2023,Donor administration costs,2.15,0.44%,Czechia
2023,Energy,1.84,0.37%,Czechia
2023,Environmental protection,1.33,0.27%,Czechia
2023,Other multisector,1.25,0.25%,Czechia
2023,"Industry, construction & mining",1.2,0.24%,Czechia
2023,Food aid and commodity assistance,0.81,0.16%,Czechia
2023,Infrastructure,0.49,0.1%,Czechia
2023,Financial services & business support,0.29,0.06%,Czechia
2023,Disaster Prevention & Preparedness,0.02,0.0%,Czechia
2023,Tourism,0.01,0.0%,Czechia
2022,Refugees in donor countries,738.62,87.91%,Czechia
2022,Emergency Response,39.93,4.75%,Czechia
2022,Health & populations,14.09,1.68%,Czechia
2022,Government & civil society,11.46,1.36%,Czechia
2022,Education,7.78,0.93%,Czechia
2022,Water and sanitation,6.23,0.74%,Czechia
2022,Unspecified,4.69,0.56%,Czechia
2022,Reconstruction Relief & Rehabilitation,3.93,0.47%,Czechia
2022,"Agriculture (incl. forestry, fishing, rural development)",2.96,0.35%,Czechia
2022,Other social services,2.71,0.32%,Czechia
2022,Donor administration costs,2.26,0.27%,Czechia
2022,Other multisector,2.23,0.27%,Czechia
2022,Energy,1.29,0.15%,Czechia
2022,Environmental protection,1.0,0.12%,Czechia
2022,"Industry, construction & mining",0.41,0.05%,Czechia
2022,Disaster Prevention & Preparedness,0.24,0.03%,Czechia
2022,"Conflict, peace & security",0.21,0.03%,Czechia
2022,Financial services & business support,0.17,0.02%,Czechia
2021,Health & populations,24.69,24.21%,Czechia
2021,Emergency Response,10.96,10.74%,Czechia
2021,Government & civil society,10.33,10.12%,Czechia
2021,Education,7.95,7.79%,Czechia
2021,Refugees in donor countries,7.26,7.12%,Czechia
2021,Water and sanitation,7.24,7.1%,Czechia
2021,Unspecified,6.98,6.85%,Czechia
2021,Reconstruction Relief & Rehabilitation,6.54,6.41%,Czechia
2021,"Agriculture (incl. forestry, fishing, rural development)",4.62,4.53%,Czechia
2021,Financial services & business support,3.08,3.02%,Czechia
2021,Other social services,2.93,2.87%,Czechia
2021,Other multisector,2.6,2.55%,Czechia
2021,Donor administration costs,2.31,2.26%,Czechia
2021,Environmental protection,1.33,1.31%,Czechia
2021,Energy,1.25,1.22%,Czechia
2021,"Conflict, peace & security",0.85,0.83%,Czechia
2021,"Industry, construction & mining",0.56,0.54%,Czechia
2021,Disaster Prevention & Preparedness,0.32,0.31%,Czechia
2021,Infrastructure,0.21,0.21%,Czechia
2021,Tourism,0.01,0.01%,Czechia
2020,Emergency Response,16.64,17.96%,Czechia
2020,Government & civil society,11.3,12.2%,Czechia
2020,Education,11.12,12.0%,Czechia
2020,Health & populations,8.76,9.45%,Czechia
2020,Water and sanitation,7.48,8.07%,Czechia
2020,Refugees in donor countries,7.02,7.58%,Czechia
2020,Reconstruction Relief & Rehabilitation,6.74,7.27%,Czechia
2020,Unspecified,6.45,6.96%,Czechia
2020,"Agriculture (incl. forestry, fishing, rural development)",5.71,6.16%,Czechia
2020,Donor administration costs,2.98,3.21%,Czechia
2020,Other social services,2.66,2.87%,Czechia
2020,Other multisector,2.14,2.31%,Czechia
2020,Environmental protection,1.38,1.49%,Czechia
2020,Disaster Prevention & Preparedness,0.88,0.95%,Czechia
2020,Energy,0.44,0.47%,Czechia
2020,Financial services & business support,0.43,0.46%,Czechia
2020,"Conflict, peace & security",0.41,0.44%,Czechia
2020,"Industry, construction & mining",0.07,0.08%,Czechia
2020,Infrastructure,0.06,0.07%,Czechia
2020,Tourism,0.01,0.01%,Czechia
2019,Debt relief,31.79,25.24%,Czechia
2019,Emergency Response,16.9,13.42%,Czechia
2019,Government & civil society,15.1,11.99%,Czechia
2019,Education,11.16,8.86%,Czechia
2019,Refugees in donor countries,8.03,6.38%,Czechia
2019,"Agriculture (incl. forestry, fishing, rural development)",6.61,5.25%,Czechia
2019,Unspecified,6.21,4.93%,Czechia
2019,Health & populations,5.06,4.02%,Czechia
2019,Water and sanitation,5.06,4.02%,Czechia
2019,Other social services,4.3,3.41%,Czechia
2019,Reconstruction Relief & Rehabilitation,3.94,3.13%,Czechia
2019,Other multisector,3.21,2.55%,Czechia
2019,Donor administration costs,2.75,2.18%,Czechia
2019,Financial services & business support,2.19,1.74%,Czechia
2019,Energy,1.96,1.56%,Czechia
2019,Environmental protection,1.15,0.91%,Czechia
2019,Disaster Prevention & Preparedness,0.17,0.14%,Czechia
2019,"Industry, construction & mining",0.14,0.11%,Czechia
2019,"Conflict, peace & security",0.14,0.11%,Czechia
2019,Tourism,0.03,0.02%,Czechia
2019,Infrastructure,0.02,0.02%,Czechia
