Year,Multi_short,ODA,Share,full name,Donor
2019,European Commission - Development Share of Budget,190.23,0.4%,European Commission - Development Share of Budget,Czechia
2019,European Commission - European Development Fund,53.6,0.11%,European Commission - European Development Fund,Czechia
2019,IDA,6.69,0.01%,International Development Association ,Czechia
2019,IBRD,6.34,0.01%,International Bank for Reconstruction and Development ,Czechia
2019,UN,5.33,0.01%,United Nations,Czechia
2019,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",2.85,0.01%,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",Czechia
2019,GEF-TF,1.75,0.0%,Global Environment Facility Trust Fund,Czechia
2019,World Health Organisation - assessed contributions,1.64,0.0%,World Health Organisation - assessed contributions,Czechia
2019,Council of Europe,1.62,0.0%,Council of Europe,Czechia
2019,MLF-MP,1.15,0.0%,Multilateral Fund for the Implementation of the Montreal Protocol ,Czechia
2019,International Atomic Energy Agency - assessed contributions,1.14,0.0%,International Atomic Energy Agency - assessed contributions,Czechia
2019,FAO,1.11,0.0%,Food and Agricultural Organisation,Czechia
2019,International Labour Organisation - Assessed Contributions,0.98,0.0%,International Labour Organisation - Assessed Contributions,Czechia
2019,Organization for Security and Co-operation in Europe,0.98,0.0%,Organization for Security and Co-operation in Europe,Czechia
2019,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),0.8,0.0%,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),Czechia
2019,"United Nations Educational, Scientific and Cultural Organisation",0.79,0.0%,"United Nations Educational, Scientific and Cultural Organisation",Czechia
2019,International Development Association - Multilateral Debt Relief Initiative,0.64,0.0%,International Development Association - Multilateral Debt Relief Initiative,Czechia
2019,United Nations Volunteers ,0.63,0.0%,United Nations Volunteers ,Czechia
2019,UNIDO,0.54,0.0%,United Nations Industrial Development Organisation ,Czechia
2019,International Organisation for Migration ,0.26,0.0%,International Organisation for Migration ,Czechia
2019,UNWTO,0.22,0.0%,World Tourism Organization,Czechia
2019,UNDP,0.17,0.0%,United Nations Development Programme ,Czechia
2019,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),0.12,0.0%,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),Czechia
2019,Organisation for Economic Co-operation and Development (Contributions to special funds for Technical Co-operation Activities Only) ,0.11,0.0%,Organisation for Economic Co-operation and Development (Contributions to special funds for Technical Co-operation Activities Only) ,Czechia
2019,United Nations Economic Commission for Europe (extrabudgetary contributions only),0.08,0.0%,United Nations Economic Commission for Europe (extrabudgetary contributions only),Czechia
2019,International Telecommunications Union,0.08,0.0%,International Telecommunications Union,Czechia
2019,European and Mediterranean Plant Protection Organisation ,0.07,0.0%,European and Mediterranean Plant Protection Organisation ,Czechia
2019,International Renewable Energy Agency,0.07,0.0%,International Renewable Energy Agency,Czechia
2019,United Nations Framework Convention on Climate Change ,0.06,0.0%,United Nations Framework Convention on Climate Change ,Czechia
2019,International Organisation of the Francophonie,0.05,0.0%,International Organisation of the Francophonie,Czechia
2019,Universal Postal Union ,0.05,0.0%,Universal Postal Union ,Czechia
