year,Recipient Country,ODA Grants,ODA Loans,Share,Donor
2023,"Bilateral, unspecified",1008.68,0.0,47.5%,Denmark
2023,Ukraine,171.22,0.0,8.1%,Denmark
2023,Ethiopia,97.97,0.0,4.6%,Denmark
2023,Kenya,57.8,0.0,2.7%,Denmark
2023,Syrian Arab Republic,53.29,0.0,2.5%,Denmark
2023,"Europe, regional",51.71,0.0,2.4%,Denmark
2023,Somalia,51.52,0.0,2.4%,Denmark
2023,"Western Africa, regional",43.54,0.0,2.0%,Denmark
2023,Burkina Faso,42.68,0.0,2.0%,Denmark
2023,Afghanistan,40.45,0.0,1.9%,Denmark
2023,West Bank and Gaza Strip,39.31,0.0,1.8%,Denmark
2023,Uganda,38.06,0.0,1.8%,Denmark
2023,"Middle East, regional",35.84,0.0,1.7%,Denmark
2023,"Africa, regional",34.34,0.0,1.6%,Denmark
2023,Mali,32.16,0.0,1.5%,Denmark
2023,Niger,31.91,0.0,1.5%,Denmark
2023,Yemen,25.36,0.0,1.2%,Denmark
2023,"South of Sahara, regional",23.22,0.0,1.1%,Denmark
2023,Bangladesh,21.38,0.0,1.0%,Denmark
2023,Kosovo,19.06,0.0,0.9%,Denmark
2022,"Bilateral, unspecified",1060.91,0.0,50.9%,Denmark
2022,Ukraine,152.42,0.0,7.3%,Denmark
2022,Ethiopia,69.9,0.0,3.4%,Denmark
2022,Kenya,58.39,0.0,2.8%,Denmark
2022,Uganda,55.42,0.0,2.7%,Denmark
2022,Syrian Arab Republic,54.63,0.0,2.6%,Denmark
2022,Afghanistan,52.75,0.0,2.5%,Denmark
2022,"Africa, regional",44.66,0.0,2.1%,Denmark
2022,"Middle East, regional",41.48,0.0,2.0%,Denmark
2022,"Western Africa, regional",39.8,0.0,1.9%,Denmark
2022,Somalia,37.32,0.0,1.8%,Denmark
2022,Tanzania,35.09,0.0,1.7%,Denmark
2022,Mali,33.53,0.0,1.6%,Denmark
2022,Burkina Faso,29.32,0.0,1.4%,Denmark
2022,West Bank and Gaza Strip,26.96,0.0,1.3%,Denmark
2022,Yemen,26.55,0.0,1.3%,Denmark
2022,Lebanon,26.47,0.0,1.3%,Denmark
2022,India,20.41,0.0,1.0%,Denmark
2022,Niger,20.14,0.0,1.0%,Denmark
2022,Bangladesh,16.68,0.0,0.8%,Denmark
2021,"Bilateral, unspecified",858.62,0.0,43.0%,Denmark
2021,Afghanistan,105.24,0.0,5.3%,Denmark
2021,Mali,88.01,0.0,4.4%,Denmark
2021,Syrian Arab Republic,74.91,0.0,3.8%,Denmark
2021,"Africa, regional",65.56,0.0,3.3%,Denmark
2021,Ethiopia,63.98,0.0,3.2%,Denmark
2021,Uganda,63.45,0.0,3.2%,Denmark
2021,"Western Africa, regional",61.71,0.0,3.1%,Denmark
2021,Kenya,52.74,0.0,2.6%,Denmark
2021,Tanzania,49.57,0.0,2.5%,Denmark
2021,"Middle East, regional",44.34,0.0,2.2%,Denmark
2021,Somalia,42.03,0.0,2.1%,Denmark
2021,Burkina Faso,40.58,0.0,2.0%,Denmark
2021,Ukraine,34.21,0.0,1.7%,Denmark
2021,Niger,31.02,0.0,1.6%,Denmark
2021,Lebanon,30.54,0.0,1.5%,Denmark
2021,"South of Sahara, regional",29.05,0.0,1.5%,Denmark
2021,Yemen,25.45,0.0,1.3%,Denmark
2021,Myanmar,22.69,0.0,1.1%,Denmark
2021,Bangladesh,21.89,0.0,1.1%,Denmark
2020,"Bilateral, unspecified",842.73,0.0,47.2%,Denmark
2020,Uganda,71.26,0.0,4.0%,Denmark
2020,"Africa, regional",67.4,0.0,3.8%,Denmark
2020,Kenya,65.35,0.0,3.7%,Denmark
2020,Somalia,56.75,0.0,3.2%,Denmark
2020,Ethiopia,56.09,0.0,3.1%,Denmark
2020,"Middle East, regional",52.72,0.0,3.0%,Denmark
2020,Afghanistan,52.4,0.0,2.9%,Denmark
2020,Mali,51.02,0.0,2.9%,Denmark
2020,Syrian Arab Republic,48.34,0.0,2.7%,Denmark
2020,Tanzania,47.29,0.0,2.6%,Denmark
2020,Burkina Faso,29.69,0.0,1.7%,Denmark
2020,Niger,27.5,0.0,1.5%,Denmark
2020,Myanmar,25.96,0.0,1.5%,Denmark
2020,"Eastern Africa, regional",20.58,0.0,1.2%,Denmark
2020,West Bank and Gaza Strip,19.79,0.0,1.1%,Denmark
2020,Iraq,18.72,0.0,1.0%,Denmark
2020,South Sudan,18.07,0.0,1.0%,Denmark
2020,Ukraine,17.73,0.0,1.0%,Denmark
2020,"Western Africa, regional",17.34,0.0,1.0%,Denmark
2019,"Bilateral, unspecified",1003.38,0.0,50.6%,Denmark
2019,Ethiopia,106.37,0.0,5.4%,Denmark
2019,Syrian Arab Republic,89.44,0.0,4.5%,Denmark
2019,Afghanistan,83.01,0.0,4.2%,Denmark
2019,"Africa, regional",70.24,0.0,3.5%,Denmark
2019,Somalia,65.47,0.0,3.3%,Denmark
2019,Kenya,50.26,0.0,2.5%,Denmark
2019,Tanzania,48.89,0.0,2.5%,Denmark
2019,Mali,45.67,0.0,2.3%,Denmark
2019,Yemen,44.93,0.0,2.3%,Denmark
2019,"Middle East, regional",38.65,0.0,1.9%,Denmark
2019,Burkina Faso,32.27,0.0,1.6%,Denmark
2019,Myanmar,32.11,0.0,1.6%,Denmark
2019,Uganda,31.87,0.0,1.6%,Denmark
2019,Bangladesh,30.86,0.0,1.6%,Denmark
2019,Ukraine,27.16,0.0,1.4%,Denmark
2019,Iraq,22.8,0.0,1.2%,Denmark
2019,Ghana,20.76,0.0,1.0%,Denmark
2019,Mozambique,20.2,0.0,1.0%,Denmark
2019,Niger,14.42,0.0,0.7%,Denmark
