Year,Sector,Bilateral ODA for,Share,Donor
2023,General budget support,20668.31,51.57%,EU Institutions
2023,Emergency Response,2998.22,7.48%,EU Institutions
2023,Government & civil society,2243.8,5.6%,EU Institutions
2023,Infrastructure,1919.55,4.79%,EU Institutions
2023,Education,1500.9,3.74%,EU Institutions
2023,Energy,1383.7,3.45%,EU Institutions
2023,Other multisector,1368.12,3.41%,EU Institutions
2023,Health & populations,1111.38,2.77%,EU Institutions
2023,Donor administration costs,1078.8,2.69%,EU Institutions
2023,Other social services,968.49,2.42%,EU Institutions
2023,"Agriculture (incl. forestry, fishing, rural development)",865.21,2.16%,EU Institutions
2023,"Conflict, peace & security",844.93,2.11%,EU Institutions
2023,Financial services & business support,755.84,1.89%,EU Institutions
2023,Water and sanitation,665.74,1.66%,EU Institutions
2023,Environmental protection,557.81,1.39%,EU Institutions
2023,"Industry, construction & mining",373.21,0.93%,EU Institutions
2023,Unspecified,259.04,0.65%,EU Institutions
2023,Reconstruction Relief & Rehabilitation,256.21,0.64%,EU Institutions
2023,Trade policy,122.29,0.31%,EU Institutions
2023,Disaster Prevention & Preparedness,87.04,0.22%,EU Institutions
2023,Food aid and commodity assistance,36.65,0.09%,EU Institutions
2023,Tourism,12.62,0.03%,EU Institutions
2022,General budget support,9721.43,29.31%,EU Institutions
2022,Emergency Response,3086.3,9.31%,EU Institutions
2022,Other multisector,2767.48,8.34%,EU Institutions
2022,Infrastructure,2362.3,7.12%,EU Institutions
2022,Government & civil society,2303.05,6.94%,EU Institutions
2022,Financial services & business support,1679.09,5.06%,EU Institutions
2022,Health & populations,1670.0,5.04%,EU Institutions
2022,Energy,1474.86,4.45%,EU Institutions
2022,Education,1436.29,4.33%,EU Institutions
2022,"Agriculture (incl. forestry, fishing, rural development)",1234.95,3.72%,EU Institutions
2022,Donor administration costs,1108.69,3.34%,EU Institutions
2022,Other social services,993.37,3.0%,EU Institutions
2022,Water and sanitation,967.99,2.92%,EU Institutions
2022,"Conflict, peace & security",874.07,2.64%,EU Institutions
2022,Environmental protection,559.23,1.69%,EU Institutions
2022,"Industry, construction & mining",556.4,1.68%,EU Institutions
2022,Trade policy,123.7,0.37%,EU Institutions
2022,Unspecified,79.97,0.24%,EU Institutions
2022,Reconstruction Relief & Rehabilitation,56.58,0.17%,EU Institutions
2022,Disaster Prevention & Preparedness,54.7,0.16%,EU Institutions
2022,Food aid and commodity assistance,44.77,0.13%,EU Institutions
2022,Tourism,10.54,0.03%,EU Institutions
2021,Emergency Response,2889.78,11.87%,EU Institutions
2021,Other multisector,2407.91,9.89%,EU Institutions
2021,Government & civil society,2298.33,9.44%,EU Institutions
2021,General budget support,2151.65,8.84%,EU Institutions
2021,Financial services & business support,2101.22,8.63%,EU Institutions
2021,Health & populations,1907.86,7.84%,EU Institutions
2021,Infrastructure,1679.98,6.9%,EU Institutions
2021,"Industry, construction & mining",1240.37,5.09%,EU Institutions
2021,"Agriculture (incl. forestry, fishing, rural development)",1092.32,4.49%,EU Institutions
2021,Education,1063.57,4.37%,EU Institutions
2021,Donor administration costs,1046.07,4.3%,EU Institutions
2021,Energy,983.75,4.04%,EU Institutions
2021,"Conflict, peace & security",892.79,3.67%,EU Institutions
2021,Other social services,649.88,2.67%,EU Institutions
2021,Environmental protection,560.13,2.3%,EU Institutions
2021,Water and sanitation,542.83,2.23%,EU Institutions
2021,Debt relief,218.69,0.9%,EU Institutions
2021,Trade policy,172.47,0.71%,EU Institutions
2021,Disaster Prevention & Preparedness,144.3,0.59%,EU Institutions
2021,Unspecified,110.58,0.45%,EU Institutions
2021,Reconstruction Relief & Rehabilitation,90.27,0.37%,EU Institutions
2021,Food aid and commodity assistance,76.15,0.31%,EU Institutions
2021,Tourism,25.29,0.1%,EU Institutions
2020,Government & civil society,3576.85,13.91%,EU Institutions
2020,General budget support,3376.09,13.13%,EU Institutions
2020,Financial services & business support,2925.9,11.38%,EU Institutions
2020,Emergency Response,2523.53,9.81%,EU Institutions
2020,Energy,1675.9,6.52%,EU Institutions
2020,Education,1559.14,6.06%,EU Institutions
2020,Other social services,1389.16,5.4%,EU Institutions
