Year,Multi_short,ODA,Share,Full Name,Donor
2019,European Commission - Development Share of Budget,29.62,0.06%,European Commission - Development Share of Budget,Estonia
2019,European Commission - European Development Fund,5.64,0.01%,European Commission - European Development Fund,Estonia
2019,IDA,1.8,0.0%,International Development Association ,Estonia
2019,Council of Europe,0.51,0.0%,Council of Europe,Estonia
2019,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",0.48,0.0%,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",Estonia
2019,United Nations Office of Co-ordination of Humanitarian Affairs ,0.21,0.0%,United Nations Office of Co-ordination of Humanitarian Affairs ,Estonia
2019,UNICEF,0.21,0.0%,United Nations Children's Fund ,Estonia
2019,International Atomic Energy Agency - assessed contributions,0.19,0.0%,International Atomic Energy Agency - assessed contributions,Estonia
2019,CERF,0.14,0.0%,Central Emergency Response Fund,Estonia
2019,United Nations Office of the High Commissioner for Refugees,0.14,0.0%,United Nations Office of the High Commissioner for Refugees,Estonia
2019,MLF-MP,0.13,0.0%,Multilateral Fund for the Implementation of the Montreal Protocol ,Estonia
2019,International Labour Organisation - Assessed Contributions,0.12,0.0%,International Labour Organisation - Assessed Contributions,Estonia
2019,UNDP,0.11,0.0%,United Nations Development Programme ,Estonia
2019,United Nations Entity for Gender Equality and the Empowerment of Women,0.11,0.0%,United Nations Entity for Gender Equality and the Empowerment of Women,Estonia
2019,UNRWA,0.11,0.0%,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Estonia
2019,United Nations Peacebuilding Fund,0.11,0.0%,United Nations Peacebuilding Fund,Estonia
2019,Organization for Security and Co-operation in Europe,0.1,0.0%,Organization for Security and Co-operation in Europe,Estonia
2019,UNFPA,0.09,0.0%,United Nations Population Fund ,Estonia
2019,UNCTAD,0.07,0.0%,United Nations Conference on Trade and Development ,Estonia
2019,World Health Organisation - core voluntary contributions account,0.07,0.0%,World Health Organisation - core voluntary contributions account,Estonia
2019,IFAD,0.06,0.0%,International Fund for Agricultural Development ,Estonia
2019,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),0.05,0.0%,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),Estonia
2019,United Nations Mine Action Service ,0.05,0.0%,United Nations Mine Action Service ,Estonia
2019,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),0.04,0.0%,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),Estonia
2019,European and Mediterranean Plant Protection Organisation ,0.04,0.0%,European and Mediterranean Plant Protection Organisation ,Estonia
2019,International Organisation for Migration ,0.03,0.0%,International Organisation for Migration ,Estonia
2019,Integrated Framework for Trade-Related Technical Assistance to Least Developed Countries,0.02,0.0%,Integrated Framework for Trade-Related Technical Assistance to Least Developed Countries,Estonia
2019,International Telecommunications Union,0.02,0.0%,International Telecommunications Union,Estonia
2019,United Nations Framework Convention on Climate Change ,0.01,0.0%,United Nations Framework Convention on Climate Change ,Estonia
2019,Intergovernmental Panel on Climate Change ,0.01,0.0%,Intergovernmental Panel on Climate Change ,Estonia
2019,United Nations Office on Drugs and Crime ,0.01,0.0%,United Nations Office on Drugs and Crime ,Estonia
2019,Geneva Centre for the Democratic Control of Armed Forces,0.01,0.0%,Geneva Centre for the Democratic Control of Armed Forces,Estonia
2019,UNEP,0.01,0.0%,United Nations Environment Programme ,Estonia
2019,CITES,0.0,0.0%,Convention on International Trade in Endangered Species of Wild Flora and Fauna,Estonia
2019,United Nations Economic Commission for Europe (extrabudgetary contributions only),0.0,0.0%,United Nations Economic Commission for Europe (extrabudgetary contributions only),Estonia
2019,World Meteorological Organisation ,0.0,0.0%,World Meteorological Organisation ,Estonia
2019,Convention to Combat Desertification ,0.0,0.0%,Convention to Combat Desertification ,Estonia
2020,European Commission - Development Share of Budget,28.86,0.06%,European Commission - Development Share of Budget,Estonia
2020,European Commission - European Development Fund,5.7,0.01%,European Commission - European Development Fund,Estonia
2020,IDA,1.82,0.0%,International Development Association ,Estonia
2020,UN,0.65,0.0%,United Nations,Estonia
2020,United Nations Office of Co-ordination of Humanitarian Affairs ,0.65,0.0%,United Nations Office of Co-ordination of Humanitarian Affairs ,Estonia
2020,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",0.49,0.0%,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",Estonia
2020,CERF,0.43,0.0%,Central Emergency Response Fund,Estonia
2020,UNICEF,0.43,0.0%,United Nations Children's Fund ,Estonia
2020,UNRWA,0.29,0.0%,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Estonia
2020,United Nations Office of the High Commissioner for Refugees,0.29,0.0%,United Nations Office of the High Commissioner for Refugees,Estonia
2020,Council of Europe,0.22,0.0%,Council of Europe,Estonia
2020,FAO,0.2,0.0%,Food and Agricultural Organisation,Estonia
2020,World Health Organisation - assessed contributions,0.18,0.0%,World Health Organisation - assessed contributions,Estonia
2020,Organisation of American States ,0.14,0.0%,Organisation of American States ,Estonia
2020,Organization for Security and Co-operation in Europe,0.14,0.0%,Organization for Security and Co-operation in Europe,Estonia
2020,WFP,0.14,0.0%,World Food Programme ,Estonia
2020,MLF-MP,0.13,0.0%,Multilateral Fund for the Implementation of the Montreal Protocol ,Estonia
2020,International Labour Organisation - Assessed Contributions,0.12,0.0%,International Labour Organisation - Assessed Contributions,Estonia
2020,United Nations Entity for Gender Equality and the Empowerment of Women,0.12,0.0%,United Nations Entity for Gender Equality and the Empowerment of Women,Estonia
2020,United Nations Peacebuilding Fund,0.11,0.0%,United Nations Peacebuilding Fund,Estonia
2020,UNDP,0.11,0.0%,United Nations Development Programme ,Estonia
2020,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),0.11,0.0%,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),Estonia
2020,UNFPA,0.09,0.0%,United Nations Population Fund ,Estonia
2020,IFAD,0.07,0.0%,International Fund for Agricultural Development ,Estonia
2020,World Health Organisation - core voluntary contributions account,0.07,0.0%,World Health Organisation - core voluntary contributions account,Estonia
2020,UNCTAD,0.07,0.0%,United Nations Conference on Trade and Development ,Estonia
2020,OECD Development Centre ,0.07,0.0%,OECD Development Centre ,Estonia
2020,International Atomic Energy Agency - assessed contributions,0.07,0.0%,International Atomic Energy Agency - assessed contributions,Estonia
2020,WOAH,0.06,0.0%,World Organisation for Animal Health,Estonia
2020,World Meteorological Organisation ,0.04,0.0%,World Meteorological Organisation ,Estonia
2020,"United Nations Department of Political and Peacebuilding Affairs, Trust Fund in Support of Political Affairs",0.04,0.0%,"United Nations Department of Political and Peacebuilding Affairs, Trust Fund in Support of Political Affairs",Estonia
2020,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),0.04,0.0%,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),Estonia
2020,European and Mediterranean Plant Protection Organisation ,0.04,0.0%,European and Mediterranean Plant Protection Organisation ,Estonia
2020,International Organisation for Migration ,0.03,0.0%,International Organisation for Migration ,Estonia
2020,UNEP,0.03,0.0%,United Nations Environment Programme ,Estonia
2020,United Nations Framework Convention on Climate Change ,0.02,0.0%,United Nations Framework Convention on Climate Change ,Estonia
2020,Integrated Framework for Trade-Related Technical Assistance to Least Developed Countries,0.02,0.0%,Integrated Framework for Trade-Related Technical Assistance to Least Developed Countries,Estonia
2020,International Telecommunications Union,0.02,0.0%,International Telecommunications Union,Estonia
2020,International Renewable Energy Agency,0.01,0.0%,International Renewable Energy Agency,Estonia
2020,Universal Postal Union ,0.01,0.0%,Universal Postal Union ,Estonia
2020,Convention to Combat Desertification ,0.0,0.0%,Convention to Combat Desertification ,Estonia
2020,CITES,0.0,0.0%,Convention on International Trade in Endangered Species of Wild Flora and Fauna,Estonia
2020,CEB,0.0,0.0%,Council of Europe Development Bank,Estonia
2021,European Commission - Development Share of Budget,29.1,0.05%,European Commission - Development Share of Budget,Estonia
2021,European Commission - European Development Fund,4.68,0.01%,European Commission - European Development Fund,Estonia
2021,IBRD,1.92,0.0%,International Bank for Reconstruction and Development ,Estonia
2021,IDA,1.75,0.0%,International Development Association ,Estonia
2021,UN,0.8,0.0%,United Nations,Estonia
2021,IFC,0.72,0.0%,International Finance Corporation ,Estonia
2021,Council of Europe,0.19,0.0%,Council of Europe,Estonia
2021,FAO,0.18,0.0%,Food and Agricultural Organisation,Estonia
2021,MLF-MP,0.18,0.0%,Multilateral Fund for the Implementation of the Montreal Protocol ,Estonia
2021,Organization for Security and Co-operation in Europe,0.15,0.0%,Organization for Security and Co-operation in Europe,Estonia
2021,UNRWA,0.11,0.0%,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Estonia
2021,IFAD,0.1,0.0%,International Fund for Agricultural Development ,Estonia
2021,GAVI,0.1,0.0%,Global Alliance for Vaccines and Immunization ,Estonia
2021,United Nations Entity for Gender Equality and the Empowerment of Women,0.07,0.0%,United Nations Entity for Gender Equality and the Empowerment of Women,Estonia
2021,UNDP,0.07,0.0%,United Nations Development Programme ,Estonia
2021,United Nations Peacebuilding Fund,0.07,0.0%,United Nations Peacebuilding Fund,Estonia
2021,International Atomic Energy Agency - assessed contributions,0.07,0.0%,International Atomic Energy Agency - assessed contributions,Estonia
2021,WFP,0.07,0.0%,World Food Programme ,Estonia
2021,UNICEF,0.07,0.0%,United Nations Children's Fund ,Estonia
2021,WOAH,0.06,0.0%,World Organisation for Animal Health,Estonia
2021,United Nations Framework Convention on Climate Change ,0.06,0.0%,United Nations Framework Convention on Climate Change ,Estonia
