Year,Sector,Bilateral ODA for,Share,Donor
2023,Refugees in donor countries,249.51,26.51%,Finland
2023,Emergency Response,134.34,14.27%,Finland
2023,Government & civil society,98.6,10.48%,Finland
2023,Donor administration costs,61.86,6.57%,Finland
2023,Financial services & business support,57.18,6.07%,Finland
2023,Education,54.94,5.84%,Finland
2023,"Agriculture (incl. forestry, fishing, rural development)",54.82,5.82%,Finland
2023,Unspecified,50.33,5.35%,Finland
2023,Health & populations,36.4,3.87%,Finland
2023,Other multisector,33.63,3.57%,Finland
2023,"Conflict, peace & security",32.53,3.46%,Finland
2023,Other social services,19.28,2.05%,Finland
2023,Energy,15.59,1.66%,Finland
2023,Water and sanitation,14.78,1.57%,Finland
2023,Infrastructure,6.45,0.69%,Finland
2023,Reconstruction Relief & Rehabilitation,5.77,0.61%,Finland
2023,"Industry, construction & mining",5.48,0.58%,Finland
2023,Environmental protection,5.14,0.55%,Finland
2023,Trade policy,3.08,0.33%,Finland
2023,Disaster Prevention & Preparedness,1.43,0.15%,Finland
2023,Tourism,0.08,0.01%,Finland
2023,Food aid and commodity assistance,0.04,0.0%,Finland
2022,Refugees in donor countries,440.52,39.54%,Finland
2022,Emergency Response,96.59,8.67%,Finland
2022,Government & civil society,94.46,8.48%,Finland
2022,Education,60.93,5.47%,Finland
2022,Unspecified,60.5,5.43%,Finland
2022,Donor administration costs,59.91,5.38%,Finland
2022,Energy,59.49,5.34%,Finland
2022,Financial services & business support,49.09,4.41%,Finland
2022,Health & populations,46.45,4.17%,Finland
2022,"Agriculture (incl. forestry, fishing, rural development)",37.35,3.35%,Finland
2022,Other multisector,31.0,2.78%,Finland
2022,"Conflict, peace & security",28.06,2.52%,Finland
2022,Other social services,14.52,1.3%,Finland
2022,Water and sanitation,13.74,1.23%,Finland
2022,Environmental protection,5.84,0.52%,Finland
2022,Infrastructure,4.42,0.4%,Finland
2022,Trade policy,3.98,0.36%,Finland
2022,"Industry, construction & mining",3.32,0.3%,Finland
2022,Disaster Prevention & Preparedness,2.85,0.26%,Finland
2022,Reconstruction Relief & Rehabilitation,0.92,0.08%,Finland
2022,Food aid and commodity assistance,0.05,0.0%,Finland
2022,Tourism,0.02,0.0%,Finland
2021,Financial services & business support,100.92,14.23%,Finland
2021,Education,99.93,14.09%,Finland
2021,Emergency Response,77.1,10.87%,Finland
2021,Government & civil society,73.41,10.35%,Finland
2021,Refugees in donor countries,69.26,9.77%,Finland
2021,Donor administration costs,54.66,7.71%,Finland
2021,Health & populations,45.91,6.47%,Finland
2021,Unspecified,36.14,5.1%,Finland
2021,"Conflict, peace & security",30.61,4.32%,Finland
2021,Other social services,22.88,3.23%,Finland
2021,"Agriculture (incl. forestry, fishing, rural development)",20.59,2.9%,Finland
2021,Energy,19.71,2.78%,Finland
2021,Other multisector,13.68,1.93%,Finland
2021,Water and sanitation,10.91,1.54%,Finland
2021,Environmental protection,10.6,1.49%,Finland
2021,"Industry, construction & mining",6.61,0.93%,Finland
2021,Trade policy,5.66,0.8%,Finland
2021,Reconstruction Relief & Rehabilitation,4.39,0.62%,Finland
2021,Infrastructure,3.31,0.47%,Finland
2021,Disaster Prevention & Preparedness,2.75,0.39%,Finland
2021,Food aid and commodity assistance,0.05,0.01%,Finland
2021,Tourism,0.0,0.0%,Finland
2020,Financial services & business support,101.61,14.49%,Finland
2020,Emergency Response,92.22,13.15%,Finland
2020,Government & civil society,76.39,10.89%,Finland
2020,Education,71.61,10.21%,Finland
2020,Refugees in donor countries,63.49,9.05%,Finland
2020,Donor administration costs,53.0,7.56%,Finland
2020,Health & populations,40.67,5.8%,Finland
2020,Unspecified,34.08,4.86%,Finland
2020,"Conflict, peace & security",33.05,4.71%,Finland
2020,"Agriculture (incl. forestry, fishing, rural development)",32.99,4.7%,Finland
2020,Other multisector,24.24,3.46%,Finland
2020,Other social services,22.22,3.17%,Finland
2020,Water and sanitation,16.76,2.39%,Finland
2020,Energy,12.25,1.75%,Finland
2020,"Industry, construction & mining",7.75,1.11%,Finland
2020,Trade policy,4.82,0.69%,Finland
2020,Environmental protection,4.79,0.68%,Finland
2020,Disaster Prevention & Preparedness,4.27,0.61%,Finland
2020,Debt relief,3.65,0.52%,Finland
2020,Infrastructure,1.06,0.15%,Finland
2020,Reconstruction Relief & Rehabilitation,0.46,0.07%,Finland
2020,Food aid and commodity assistance,0.08,0.01%,Finland
2020,Tourism,0.0,0.0%,Finland
2019,Refugees in donor countries,98.97,14.82%,Finland
2019,Government & civil society,64.84,9.71%,Finland
2019,Emergency Response,57.76,8.65%,Finland
2019,Education,57.42,8.6%,Finland
2019,Donor administration costs,57.14,8.56%,Finland
2019,Energy,56.1,8.4%,Finland
2019,"Agriculture (incl. forestry, fishing, rural development)",50.94,7.63%,Finland
2019,Other multisector,36.82,5.51%,Finland
2019,"Industry, construction & mining",33.81,5.06%,Finland
2019,Unspecified,33.39,5.0%,Finland
2019,"Conflict, peace & security",29.94,4.48%,Finland
2019,Health & populations,22.87,3.42%,Finland
2019,Water and sanitation,19.38,2.9%,Finland
2019,Financial services & business support,18.18,2.72%,Finland
2019,Other social services,16.69,2.5%,Finland
2019,Trade policy,4.61,0.69%,Finland
2019,Environmental protection,3.95,0.59%,Finland
2019,Disaster Prevention & Preparedness,2.16,0.32%,Finland
2019,Infrastructure,1.82,0.27%,Finland
2019,Reconstruction Relief & Rehabilitation,0.93,0.14%,Finland
2019,Tourism,0.05,0.01%,Finland
2019,Food aid and commodity assistance,0.01,0.0%,Finland
