year,incomegroup_name,total_oda,Share,Donor
2023,Part I unallocated by income,586.22,62.28,Finland
2023,LDCs,182.54,19.39,Finland
2023,LMICs,123.61,13.13,Finland
2023,UMICs,31.23,3.32,Finland
2023,Other LICs,17.65,1.88,Finland
2022,Part I unallocated by income,771.1,69.22,Finland
2022,LDCs,192.06,17.24,Finland
2022,LMICs,112.13,10.07,Finland
2022,UMICs,26.58,2.39,Finland
2022,Other LICs,12.15,1.09,Finland
2021,Part I unallocated by income,404.74,57.08,Finland
2021,LDCs,214.12,30.2,Finland
2021,LMICs,48.73,6.87,Finland
2021,UMICs,23.84,3.36,Finland
2021,Other LICs,17.65,2.49,Finland
2020,Part I unallocated by income,379.47,54.1,Finland
2020,LDCs,224.47,32.0,Finland
2020,LMICs,48.45,6.91,Finland
2020,UMICs,31.56,4.5,Finland
2020,Other LICs,17.5,2.5,Finland
2019,Part I unallocated by income,368.63,55.2,Finland
2019,LDCs,196.39,29.41,Finland
2019,LMICs,46.33,6.94,Finland
2019,UMICs,37.05,5.55,Finland
2019,Other LICs,19.39,2.9,Finland
