Year,Multi_short,ODA,Share,Full Name,Donor
2019,European Commission - Development Share of Budget,173.67,0.36%,European Commission - Development Share of Budget,Finland
2019,European Commission - European Development Fund,87.6,0.18%,European Commission - European Development Fund,Finland
2019,IDA,65.04,0.14%,International Development Association ,Finland
2019,IFAD,64.31,0.13%,International Fund for Agricultural Development ,Finland
2019,ADF,35.43,0.07%,African Development Fund ,Finland
2019,GCF,27.39,0.06%,Green Climate Fund,Finland
2019,UNFPA,24.73,0.05%,United Nations Population Fund ,Finland
2019,United Nations Entity for Gender Equality and the Empowerment of Women,12.37,0.03%,United Nations Entity for Gender Equality and the Empowerment of Women,Finland
2019,AIIB,12.2,0.03%,Asian Infrastructure Investment Bank,Finland
2019,International Development Association - Multilateral Debt Relief Initiative,10.65,0.02%,International Development Association - Multilateral Debt Relief Initiative,Finland
2019,United Nations Office of the High Commissioner for Refugees,10.51,0.02%,United Nations Office of the High Commissioner for Refugees,Finland
2019,WFP,9.89,0.02%,World Food Programme ,Finland
2019,CERF,9.89,0.02%,Central Emergency Response Fund,Finland
2019,UNICEF,8.66,0.02%,United Nations Children's Fund ,Finland
2019,UNRWA,6.18,0.01%,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Finland
2019,UN,6.01,0.01%,United Nations,Finland
2019,GEF-TF,5.92,0.01%,Global Environment Facility Trust Fund,Finland
2019,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",4.11,0.01%,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",Finland
2019,ADB,3.09,0.01%,Asian Development Bank,Finland
2019,United Nations Office of Co-ordination of Humanitarian Affairs ,3.09,0.01%,United Nations Office of Co-ordination of Humanitarian Affairs ,Finland
2019,Organization for Security and Co-operation in Europe,2.42,0.01%,Organization for Security and Co-operation in Europe,Finland
2019,FAO,2.39,0.0%,Food and Agricultural Organisation,Finland
2019,World Health Organisation - core voluntary contributions account,2.11,0.0%,World Health Organisation - core voluntary contributions account,Finland
2019,UNEP,2.07,0.0%,United Nations Environment Programme ,Finland
2019,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),1.85,0.0%,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),Finland
2019,World Health Organisation - assessed contributions,1.8,0.0%,World Health Organisation - assessed contributions,Finland
2019,"United Nations Educational, Scientific and Cultural Organisation",1.53,0.0%,"United Nations Educational, Scientific and Cultural Organisation",Finland
2019,Council of Europe,1.53,0.0%,Council of Europe,Finland
2019,MLF-MP,1.32,0.0%,Multilateral Fund for the Implementation of the Montreal Protocol ,Finland
2019,UNDP,1.24,0.0%,United Nations Development Programme ,Finland
2019,United Nations Office for Disaster Risk Reduction,1.24,0.0%,United Nations Office for Disaster Risk Reduction,Finland
2019,International Labour Organisation - Assessed Contributions,1.07,0.0%,International Labour Organisation - Assessed Contributions,Finland
2019,United Nations Voluntary Fund for Technical Co-operation in the Field of Human Rights,0.99,0.0%,United Nations Voluntary Fund for Technical Co-operation in the Field of Human Rights,Finland
2019,UNIDO,0.64,0.0%,United Nations Industrial Development Organisation ,Finland
2019,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),0.47,0.0%,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),Finland
2019,International Organisation for Migration ,0.29,0.0%,International Organisation for Migration ,Finland
2019,African Tax Administration Forum,0.25,0.0%,African Tax Administration Forum,Finland
2019,United Nations Research Institute for Social Development ,0.22,0.0%,United Nations Research Institute for Social Development ,Finland
2019,World Intellectual Property Organisation ,0.13,0.0%,World Intellectual Property Organisation ,Finland
2019,International Telecommunications Union,0.13,0.0%,International Telecommunications Union,Finland
2019,United Nations Framework Convention on Climate Change ,0.12,0.0%,United Nations Framework Convention on Climate Change ,Finland
2019,Universal Postal Union ,0.08,0.0%,Universal Postal Union ,Finland
2019,International Renewable Energy Agency,0.07,0.0%,International Renewable Energy Agency,Finland
2019,European and Mediterranean Plant Protection Organisation ,0.06,0.0%,European and Mediterranean Plant Protection Organisation ,Finland
2019,Convention to Combat Desertification ,0.04,0.0%,Convention to Combat Desertification ,Finland
2019,World Meteorological Organisation ,0.03,0.0%,World Meteorological Organisation ,Finland
2020,European Commission - Development Share of Budget,198.24,0.38%,European Commission - Development Share of Budget,Finland
2020,European Commission - European Development Fund,86.19,0.17%,European Commission - European Development Fund,Finland
2020,IDA,58.38,0.11%,International Development Association ,Finland
2020,UNFPA,40.16,0.08%,United Nations Population Fund ,Finland
2020,GCF,32.81,0.06%,Green Climate Fund,Finland
2020,ADF,31.4,0.06%,African Development Fund ,Finland
2020,United Nations Entity for Gender Equality and the Empowerment of Women,23.12,0.04%,United Nations Entity for Gender Equality and the Empowerment of Women,Finland
2020,CERF,16.26,0.03%,Central Emergency Response Fund,Finland
2020,WFP,12.17,0.02%,World Food Programme ,Finland
2020,AIIB,12.01,0.02%,Asian Infrastructure Investment Bank,Finland
2020,UNRWA,10.95,0.02%,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Finland
2020,International Development Association - Multilateral Debt Relief Initiative,10.12,0.02%,International Development Association - Multilateral Debt Relief Initiative,Finland
2020,GEF-TF,9.97,0.02%,Global Environment Facility Trust Fund,Finland
2020,IBRD,9.83,0.02%,International Bank for Reconstruction and Development ,Finland
2020,World Health Organisation - core voluntary contributions account,8.58,0.02%,World Health Organisation - core voluntary contributions account,Finland
2020,UNICEF,8.52,0.02%,United Nations Children's Fund ,Finland
2020,United Nations Office of the High Commissioner for Refugees,8.52,0.02%,United Nations Office of the High Commissioner for Refugees,Finland
2020,Global Environment Facility - Least Developed Countries Fund,8.52,0.02%,Global Environment Facility - Least Developed Countries Fund,Finland
2020,World Health Organisation - assessed contributions,7.85,0.02%,World Health Organisation - assessed contributions,Finland
2020,IFC,7.41,0.01%,International Finance Corporation ,Finland
2020,UNEP,7.0,0.01%,United Nations Environment Programme ,Finland
2020,NDF,6.06,0.01%,Nordic Development Fund,Finland
2020,UN,6.05,0.01%,United Nations,Finland
2020,IFAD,4.26,0.01%,International Fund for Agricultural Development ,Finland
