Year,Sector,Bilateral ODA for,Share,Donor
2023,Refugees in donor countries,7286.36,24.7%,Germany
2023,Education,3268.02,11.08%,Germany
2023,Emergency Response,2539.55,8.61%,Germany
2023,Energy,2420.84,8.21%,Germany
2023,Other multisector,1971.56,6.68%,Germany
2023,Government & civil society,1665.58,5.65%,Germany
2023,Financial services & business support,1391.55,4.72%,Germany
2023,Donor administration costs,1236.47,4.19%,Germany
2023,Other social services,1163.87,3.95%,Germany
2023,"Conflict, peace & security",1046.87,3.55%,Germany
2023,"Agriculture (incl. forestry, fishing, rural development)",1034.42,3.51%,Germany
2023,Environmental protection,1034.11,3.51%,Germany
2023,Health & populations,1026.88,3.48%,Germany
2023,Water and sanitation,958.55,3.25%,Germany
2023,Infrastructure,444.58,1.51%,Germany
2023,"Industry, construction & mining",307.28,1.04%,Germany
2023,Food aid and commodity assistance,260.11,0.88%,Germany
2023,Unspecified,172.17,0.58%,Germany
2023,Debt relief,83.25,0.28%,Germany
2023,Trade policy,76.5,0.26%,Germany
2023,Disaster Prevention & Preparedness,58.5,0.2%,Germany
2023,Reconstruction Relief & Rehabilitation,40.55,0.14%,Germany
2023,Tourism,7.91,0.03%,Germany
2023,General budget support,0.0,0.0%,Germany
2022,Refugees in donor countries,5256.58,14.64%,Germany
2022,Other multisector,4139.25,11.53%,Germany
2022,Health & populations,3542.88,9.87%,Germany
2022,Education,3514.31,9.79%,Germany
2022,Emergency Response,3502.42,9.75%,Germany
2022,Energy,2285.5,6.36%,Germany
2022,Financial services & business support,2183.96,6.08%,Germany
2022,Government & civil society,1947.13,5.42%,Germany
2022,"Agriculture (incl. forestry, fishing, rural development)",1781.45,4.96%,Germany
2022,Other social services,1725.35,4.8%,Germany
2022,Donor administration costs,1178.57,3.28%,Germany
2022,"Conflict, peace & security",1097.3,3.06%,Germany
2022,Environmental protection,1006.84,2.8%,Germany
2022,Water and sanitation,886.55,2.47%,Germany
2022,"Industry, construction & mining",506.24,1.41%,Germany
2022,Food aid and commodity assistance,479.44,1.34%,Germany
2022,Infrastructure,379.22,1.06%,Germany
2022,Unspecified,161.08,0.45%,Germany
2022,Disaster Prevention & Preparedness,157.06,0.44%,Germany
2022,Trade policy,83.16,0.23%,Germany
2022,Reconstruction Relief & Rehabilitation,77.77,0.22%,Germany
2022,Debt relief,9.73,0.03%,Germany
2022,Tourism,6.7,0.02%,Germany
2022,General budget support,0.0,0.0%,Germany
2021,Education,3471.6,12.26%,Germany
2021,Refugees in donor countries,2795.85,9.88%,Germany
2021,Emergency Response,2756.82,9.74%,Germany
2021,Health & populations,2711.45,9.58%,Germany
2021,Government & civil society,2239.22,7.91%,Germany
2021,Financial services & business support,2172.01,7.67%,Germany
2021,Other multisector,1694.32,5.99%,Germany
2021,Energy,1664.21,5.88%,Germany
2021,Other social services,1418.85,5.01%,Germany
2021,Environmental protection,1333.53,4.71%,Germany
2021,"Agriculture (incl. forestry, fishing, rural development)",1191.15,4.21%,Germany
2021,Donor administration costs,1144.28,4.04%,Germany
2021,"Conflict, peace & security",1068.09,3.77%,Germany
2021,Water and sanitation,881.29,3.11%,Germany
2021,"Industry, construction & mining",591.3,2.09%,Germany
2021,Food aid and commodity assistance,420.75,1.49%,Germany
2021,Infrastructure,282.68,1.0%,Germany
2021,Unspecified,177.63,0.63%,Germany
2021,Reconstruction Relief & Rehabilitation,141.99,0.5%,Germany
2021,Trade policy,79.32,0.28%,Germany
2021,Disaster Prevention & Preparedness,53.06,0.19%,Germany
2021,Debt relief,14.48,0.05%,Germany
2021,Tourism,4.58,0.02%,Germany
2021,General budget support,0.01,0.0%,Germany
2020,Education,3451.83,12.19%,Germany
2020,Refugees in donor countries,2877.94,10.17%,Germany
2020,Government & civil society,2759.61,9.75%,Germany
2020,Health & populations,2339.62,8.26%,Germany
2020,Financial services & business support,2083.73,7.36%,Germany
2020,Energy,1966.78,6.95%,Germany
2020,Other multisector,1897.22,6.7%,Germany
2020,Emergency Response,1868.66,6.6%,Germany
2020,Other social services,1530.3,5.41%,Germany
2020,"Agriculture (incl. forestry, fishing, rural development)",1269.38,4.48%,Germany
2020,Environmental protection,1221.01,4.31%,Germany
2020,Donor administration costs,1159.74,4.1%,Germany
2020,Water and sanitation,1028.36,3.63%,Germany
2020,"Conflict, peace & security",1004.96,3.55%,Germany
2020,Infrastructure,477.82,1.69%,Germany
2020,"Industry, construction & mining",412.54,1.46%,Germany
2020,Food aid and commodity assistance,408.22,1.44%,Germany
2020,Reconstruction Relief & Rehabilitation,227.16,0.8%,Germany
2020,Unspecified,181.78,0.64%,Germany
2020,Trade policy,69.62,0.25%,Germany
2020,Disaster Prevention & Preparedness,49.87,0.18%,Germany
2020,Debt relief,20.83,0.07%,Germany
2020,Tourism,2.47,0.01%,Germany
2020,General budget support,0.0,0.0%,Germany
2019,Refugees in donor countries,3443.98,14.26%,Germany
2019,Education,3148.1,13.04%,Germany
2019,Energy,2032.64,8.42%,Germany
2019,Emergency Response,1954.9,8.1%,Germany
2019,Government & civil society,1642.6,6.8%,Germany
2019,Financial services & business support,1568.77,6.5%,Germany
2019,Other multisector,1329.96,5.51%,Germany
2019,Donor administration costs,1143.82,4.74%,Germany
2019,Environmental protection,1068.03,4.42%,Germany
2019,Water and sanitation,969.02,4.01%,Germany
2019,Health & populations,943.67,3.91%,Germany
2019,"Agriculture (incl. forestry, fishing, rural development)",848.86,3.52%,Germany
2019,"Conflict, peace & security",835.72,3.46%,Germany
2019,Other social services,608.27,2.52%,Germany
2019,Infrastructure,601.35,2.49%,Germany
2019,"Industry, construction & mining",447.68,1.85%,Germany
2019,Reconstruction Relief & Rehabilitation,436.29,1.81%,Germany
2019,General budget support,394.97,1.64%,Germany
2019,Food aid and commodity assistance,339.35,1.41%,Germany
2019,Unspecified,202.02,0.84%,Germany
2019,Trade policy,73.88,0.31%,Germany
2019,Disaster Prevention & Preparedness,66.03,0.27%,Germany
2019,Debt relief,44.76,0.19%,Germany
2019,Tourism,1.88,0.01%,Germany
