Year,Multi_short,ODA,Share,full name,Donor
2019,European Commission - Development Share of Budget,2486.04,5.19%,European Commission - Development Share of Budget,Germany
2019,European Commission - European Development Fund,1228.11,2.56%,European Commission - European Development Fund,Germany
2019,IDA,680.69,1.42%,International Development Association ,Germany
2019,"Global Fund to Fight AIDS, Tuberculosis and Malaria ",330.2,0.69%,"Global Fund to Fight AIDS, Tuberculosis and Malaria ",Germany
2019,ADF,216.07,0.45%,African Development Fund ,Germany
2019,AIIB,174.84,0.36%,Asian Infrastructure Investment Bank,Germany
2019,GEF-TF,133.35,0.28%,Global Environment Facility Trust Fund,Germany
2019,CERF,120.65,0.25%,Central Emergency Response Fund,Germany
2019,UN,88.36,0.18%,United Nations,Germany
2019,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",85.29,0.18%,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",Germany
2019,GAVI,76.2,0.16%,Global Alliance for Vaccines and Immunization ,Germany
2019,UNICEF,76.2,0.16%,United Nations Children's Fund ,Germany
2019,IBRD,75.17,0.16%,International Bank for Reconstruction and Development ,Germany
2019,UNDP,63.5,0.13%,United Nations Development Programme ,Germany
2019,UNFPA,41.91,0.09%,United Nations Population Fund ,Germany
2019,AF,38.1,0.08%,Adaptation Fund,Germany
2019,WFP,35.57,0.07%,World Food Programme ,Germany
2019,United Nations Office of the High Commissioner for Refugees,33.02,0.07%,United Nations Office of the High Commissioner for Refugees,Germany
2019,Global Environment Facility - Least Developed Countries Fund,31.75,0.07%,Global Environment Facility - Least Developed Countries Fund,Germany
2019,FAO,29.04,0.06%,Food and Agricultural Organisation,Germany
2019,World Health Organisation - assessed contributions,26.21,0.05%,World Health Organisation - assessed contributions,Germany
2019,Asian Development Fund ,25.4,0.05%,Asian Development Fund ,Germany
2019,IFAD,24.08,0.05%,International Fund for Agricultural Development ,Germany
2019,UNRWA,22.86,0.05%,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Germany
2019,International Labour Organisation - Assessed Contributions,16.04,0.03%,International Labour Organisation - Assessed Contributions,Germany
2019,MLF-MP,15.16,0.03%,Multilateral Fund for the Implementation of the Montreal Protocol ,Germany
2019,AfDB,15.02,0.03%,African Development Bank,Germany
2019,Organization for Security and Co-operation in Europe,14.1,0.03%,Organization for Security and Co-operation in Europe,Germany
2019,Council of Europe,14.02,0.03%,Council of Europe,Germany
2019,"United Nations Educational, Scientific and Cultural Organisation",13.19,0.03%,"United Nations Educational, Scientific and Cultural Organisation",Germany
2019,UNIDO,10.42,0.02%,United Nations Industrial Development Organisation ,Germany
2019,United Nations Entity for Gender Equality and the Empowerment of Women,10.16,0.02%,United Nations Entity for Gender Equality and the Empowerment of Women,Germany
2019,UNEP,9.85,0.02%,United Nations Environment Programme ,Germany
2019,International Atomic Energy Agency - assessed contributions,9.62,0.02%,International Atomic Energy Agency - assessed contributions,Germany
2019,Joint United Nations Programme on HIV/AIDS ,6.86,0.01%,Joint United Nations Programme on HIV/AIDS ,Germany
2019,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),6.73,0.01%,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),Germany
2019,United Nations Office of Co-ordination of Humanitarian Affairs ,6.35,0.01%,United Nations Office of Co-ordination of Humanitarian Affairs ,Germany
2019,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),5.4,0.01%,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),Germany
2019,International Organisation for Migration ,4.31,0.01%,International Organisation for Migration ,Germany
2019,CDB,3.91,0.01%,Caribbean Development Bank ,Germany
2019,European Bank for Reconstruction and Development - Western Balkans Joint Trust Fund,2.54,0.01%,European Bank for Reconstruction and Development - Western Balkans Joint Trust Fund,Germany
2019,United Nations Volunteers ,2.27,0.0%,United Nations Volunteers ,Germany
2019,United Nations Framework Convention on Climate Change ,2.06,0.0%,United Nations Framework Convention on Climate Change ,Germany
2019,Convention to Combat Desertification ,2.03,0.0%,Convention to Combat Desertification ,Germany
2019,OECD Development Centre ,1.93,0.0%,OECD Development Centre ,Germany
2019,International Telecommunications Union,1.63,0.0%,International Telecommunications Union,Germany
2019,United Nations Office on Drugs and Crime ,1.33,0.0%,United Nations Office on Drugs and Crime ,Germany
2019,United Nations Voluntary Fund for Technical Co-operation in the Field of Human Rights,1.23,0.0%,United Nations Voluntary Fund for Technical Co-operation in the Field of Human Rights,Germany
2019,International Agency for Research on Cancer,0.74,0.0%,International Agency for Research on Cancer,Germany
2019,International Renewable Energy Agency,0.7,0.0%,International Renewable Energy Agency,Germany
2019,European Bank for Reconstruction and Development - Early Transition Countries Fund,0.64,0.0%,European Bank for Reconstruction and Development - Early Transition Countries Fund,Germany
2019,International Institute for Democracy and Electoral Assistance ,0.51,0.0%,International Institute for Democracy and Electoral Assistance ,Germany
2019,CITES,0.42,0.0%,Convention on International Trade in Endangered Species of Wild Flora and Fauna,Germany
2019,Intergovernmental Panel on Climate Change ,0.41,0.0%,Intergovernmental Panel on Climate Change ,Germany
2019,UNWTO,0.4,0.0%,World Tourism Organization,Germany
2019,WOAH,0.39,0.0%,World Organisation for Animal Health,Germany
2019,Universal Postal Union ,0.36,0.0%,Universal Postal Union ,Germany
2019,United Nations Voluntary Fund for Victims of Torture ,0.25,0.0%,United Nations Voluntary Fund for Victims of Torture ,Germany
2019,World Meteorological Organisation ,0.19,0.0%,World Meteorological Organisation ,Germany
2019,European and Mediterranean Plant Protection Organisation ,0.16,0.0%,European and Mediterranean Plant Protection Organisation ,Germany
2019,World Intellectual Property Organisation ,0.04,0.0%,World Intellectual Property Organisation ,Germany
2019,CEB,0.03,0.0%,Council of Europe Development Bank,Germany
2019,South East Asian Ministers of Education ,0.01,0.0%,South East Asian Ministers of Education ,Germany
2020,European Commission - Development Share of Budget,2719.85,5.27%,European Commission - Development Share of Budget,Germany
2020,European Commission - European Development Fund,1205.51,2.33%,European Commission - European Development Fund,Germany
2020,IDA,668.17,1.29%,International Development Association ,Germany
2020,"Global Fund to Fight AIDS, Tuberculosis and Malaria ",623.32,1.21%,"Global Fund to Fight AIDS, Tuberculosis and Malaria ",Germany
