"Year","Multi_short","ODA","Share","full name","country"
"2018","African Development Fund",215.578599,"3%","African Development Fund","Germany"
"2019","African Development Fund",211.089935,"3%","African Development Fund","Germany"
"2020","African Development Fund",217.213698,"3%","African Development Fund","Germany"
"2021","African Development Fund",215.303926,"3%","African Development Fund","Germany"
"2022","African Development Fund",210.603902,"3%","African Development Fund","Germany"
"2018","AfDB",45.429984,"1%","African Development Bank","Germany"
"2019","AfDB",14.670448,"0%","African Development Bank","Germany"
"2020","AfDB",49.847739,"1%","African Development Bank","Germany"
"2021","AfDB",57.042101,"1%","African Development Bank","Germany"
"2022","AfDB",58.797188,"1%","African Development Bank","Germany"
"2018","	
Regional Development Banks",464.021672,"7%","Regional Development Banks","Germany"
"2019","	
Regional Development Banks",428.334715,"7%","Regional Development Banks","Germany"
"2020","	
Regional Development Banks",297.532256,"4%","Regional Development Banks","Germany"
"2021","	
Regional Development Banks",302.061398,"4%","Regional Development Banks","Germany"
"2022","	
Regional Development Banks",297.137302,"4%","Regional Development Banks","Germany"
"2018","GEF Fund",133.047398,"2%","Global Environment Facility Trust Fund","Germany"
"2019","GEF Fund",130.277155,"2%","Global Environment Facility Trust Fund","Germany"
"2020","GEF Fund",127.967044,"2%","Global Environment Facility Trust Fund","Germany"
"2021","GEF Fund",124.172185,"1%","Global Environment Facility Trust Fund","Germany"
"2022","GEF Fund",195.803403,"3%","Global Environment Facility Trust Fund","Germany"
"2022","WHO - core voluntary contributions",15.664272,"0%","World Health Organisation - core voluntary contributions account","Germany"
"2018","UNEP",9.796802,"0%","United Nations Environment Programme","Germany"
"2019","UNEP",9.627576,"0%","United Nations Environment Programme","Germany"
"2020","UNEP",9.248357,"0%","United Nations Environment Programme","Germany"
"2021","UNEP",8.774834,"0%","United Nations Environment Programme","Germany"
"2022","UNEP",8.302064,"0%","United Nations Environment Programme","Germany"
"2018","UN Women",5.068472,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Germany"
"2019","UN Women",9.925878,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Germany"
"2020","UN Women",17.062273,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Germany"
"2021","UN Women",16.556291,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Germany"
