Year,Sector,Bilateral ODA for,Share,Donor
2023,Education,106.79,48.38%,Hungary
2023,Health & populations,71.13,32.23%,Hungary
2023,Water and sanitation,23.68,10.73%,Hungary
2023,Reconstruction Relief & Rehabilitation,5.04,2.28%,Hungary
2023,Other multisector,3.79,1.72%,Hungary
2023,"Agriculture (incl. forestry, fishing, rural development)",3.21,1.45%,Hungary
2023,Refugees in donor countries,1.98,0.9%,Hungary
2023,Emergency Response,1.87,0.85%,Hungary
2023,Unspecified,1.21,0.55%,Hungary
2023,Financial services & business support,1.03,0.47%,Hungary
2023,Government & civil society,0.95,0.43%,Hungary
2023,Environmental protection,0.04,0.02%,Hungary
2023,"Industry, construction & mining",0.01,0.0%,Hungary
2023,Infrastructure,0.0,0.0%,Hungary
2023,Energy,0.0,0.0%,Hungary
2022,Education,170.23,48.47%,Hungary
2022,Emergency Response,57.74,16.44%,Hungary
2022,Health & populations,55.9,15.91%,Hungary
2022,"Industry, construction & mining",27.48,7.82%,Hungary
2022,"Agriculture (incl. forestry, fishing, rural development)",19.94,5.68%,Hungary
2022,Other multisector,7.31,2.08%,Hungary
2022,Reconstruction Relief & Rehabilitation,5.52,1.57%,Hungary
2022,Donor administration costs,3.15,0.9%,Hungary
2022,Water and sanitation,1.09,0.31%,Hungary
2022,Financial services & business support,0.97,0.27%,Hungary
2022,Energy,0.73,0.21%,Hungary
2022,Unspecified,0.33,0.09%,Hungary
2022,Environmental protection,0.27,0.08%,Hungary
2022,Infrastructure,0.26,0.07%,Hungary
2022,Government & civil society,0.17,0.05%,Hungary
2022,Other social services,0.16,0.05%,Hungary
2022,"Conflict, peace & security",0.01,0.0%,Hungary
2022,Food aid and commodity assistance,0.0,0.0%,Hungary
2021,Education,141.9,50.4%,Hungary
2021,Health & populations,69.1,24.55%,Hungary
2021,"Agriculture (incl. forestry, fishing, rural development)",24.78,8.8%,Hungary
2021,Other social services,10.26,3.65%,Hungary
2021,Unspecified,7.74,2.75%,Hungary
2021,Infrastructure,6.3,2.24%,Hungary
2021,Financial services & business support,5.74,2.04%,Hungary
2021,Water and sanitation,3.25,1.15%,Hungary
2021,Reconstruction Relief & Rehabilitation,3.17,1.13%,Hungary
2021,Emergency Response,2.13,0.76%,Hungary
2021,"Industry, construction & mining",1.81,0.64%,Hungary
2021,Donor administration costs,1.57,0.56%,Hungary
2021,Refugees in donor countries,1.53,0.54%,Hungary
2021,Government & civil society,0.62,0.22%,Hungary
2021,"Conflict, peace & security",0.6,0.21%,Hungary
2021,Environmental protection,0.55,0.2%,Hungary
2021,Energy,0.28,0.1%,Hungary
2021,Food aid and commodity assistance,0.12,0.04%,Hungary
2021,Other multisector,0.06,0.02%,Hungary
2021,Trade policy,0.01,0.0%,Hungary
2021,Tourism,0.0,0.0%,Hungary
2020,Education,137.73,50.71%,Hungary
2020,Health & populations,28.77,10.59%,Hungary
2020,"Industry, construction & mining",22.7,8.36%,Hungary
2020,"Agriculture (incl. forestry, fishing, rural development)",21.75,8.01%,Hungary
2020,Unspecified,16.54,6.09%,Hungary
2020,Other social services,7.67,2.82%,Hungary
2020,Reconstruction Relief & Rehabilitation,7.54,2.77%,Hungary
2020,Water and sanitation,7.47,2.75%,Hungary
2020,Tourism,7.28,2.68%,Hungary
2020,Other multisector,4.89,1.8%,Hungary
2020,Refugees in donor countries,3.13,1.15%,Hungary
2020,Government & civil society,2.03,0.75%,Hungary
2020,Donor administration costs,1.89,0.69%,Hungary
2020,Emergency Response,1.66,0.61%,Hungary
2020,Environmental protection,0.29,0.11%,Hungary
2020,Energy,0.28,0.1%,Hungary
2020,Infrastructure,0.01,0.0%,Hungary
2019,Education,122.48,63.99%,Hungary
2019,Water and sanitation,17.73,9.26%,Hungary
2019,Emergency Response,8.72,4.55%,Hungary
2019,Health & populations,8.32,4.34%,Hungary
2019,Infrastructure,8.26,4.32%,Hungary
2019,Other multisector,7.24,3.78%,Hungary
2019,"Agriculture (incl. forestry, fishing, rural development)",7.18,3.75%,Hungary
2019,Reconstruction Relief & Rehabilitation,3.77,1.97%,Hungary
2019,Unspecified,3.41,1.78%,Hungary
2019,Government & civil society,1.16,0.6%,Hungary
2019,Donor administration costs,0.81,0.42%,Hungary
2019,Other social services,0.7,0.37%,Hungary
2019,Refugees in donor countries,0.6,0.31%,Hungary
2019,"Conflict, peace & security",0.46,0.24%,Hungary
2019,Environmental protection,0.3,0.16%,Hungary
2019,Financial services & business support,0.13,0.07%,Hungary
2019,Energy,0.08,0.04%,Hungary
2019,"Industry, construction & mining",0.04,0.02%,Hungary
