Year,Multi_short,ODA,Share,full name,Donor
2019,European Commission - Development Share of Budget,117.14,0.24%,European Commission - Development Share of Budget,Hungary
2019,European Commission - European Development Fund,38.8,0.08%,European Commission - European Development Fund,Hungary
2019,IDA,6.1,0.01%,International Development Association ,Hungary
2019,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",4.76,0.01%,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",Hungary
2019,AIIB,4.03,0.01%,Asian Infrastructure Investment Bank,Hungary
2019,International Investment Bank,3.98,0.01%,International Investment Bank,Hungary
2019,UN,3.66,0.01%,United Nations,Hungary
2019,World Health Organisation - assessed contributions,0.93,0.0%,World Health Organisation - assessed contributions,Hungary
2019,"United Nations Educational, Scientific and Cultural Organisation",0.79,0.0%,"United Nations Educational, Scientific and Cultural Organisation",Hungary
2019,FAO,0.76,0.0%,Food and Agricultural Organisation,Hungary
2019,International Development Association - Multilateral Debt Relief Initiative,0.63,0.0%,International Development Association - Multilateral Debt Relief Initiative,Hungary
2019,MLF-MP,0.5,0.0%,Multilateral Fund for the Implementation of the Montreal Protocol ,Hungary
2019,International Atomic Energy Agency - assessed contributions,0.34,0.0%,International Atomic Energy Agency - assessed contributions,Hungary
2019,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),0.24,0.0%,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),Hungary
2019,IFAD,0.12,0.0%,International Fund for Agricultural Development ,Hungary
2019,International Organisation for Migration ,0.11,0.0%,International Organisation for Migration ,Hungary
2019,UNICEF,0.1,0.0%,United Nations Children's Fund ,Hungary
2019,European and Mediterranean Plant Protection Organisation ,0.05,0.0%,European and Mediterranean Plant Protection Organisation ,Hungary
2019,United Nations Framework Convention on Climate Change ,0.05,0.0%,United Nations Framework Convention on Climate Change ,Hungary
2019,International Telecommunications Union,0.04,0.0%,International Telecommunications Union,Hungary
2019,International Renewable Energy Agency,0.04,0.0%,International Renewable Energy Agency,Hungary
2019,UNEP,0.02,0.0%,United Nations Environment Programme ,Hungary
2019,Intergovernmental Panel on Climate Change ,0.02,0.0%,Intergovernmental Panel on Climate Change ,Hungary
2019,Convention to Combat Desertification ,0.02,0.0%,Convention to Combat Desertification ,Hungary
2019,World Intellectual Property Organisation ,0.01,0.0%,World Intellectual Property Organisation ,Hungary
2019,WFP,0.01,0.0%,World Food Programme ,Hungary
2019,CITES,0.01,0.0%,Convention on International Trade in Endangered Species of Wild Flora and Fauna,Hungary
2019,Organisation for Economic Co-operation and Development (Contributions to special funds for Technical Co-operation Activities Only) ,0.0,0.0%,Organisation for Economic Co-operation and Development (Contributions to special funds for Technical Co-operation Activities Only) ,Hungary
2019,CEB,0.0,0.0%,Council of Europe Development Bank,Hungary
2020,European Commission - Development Share of Budget,157.64,0.31%,European Commission - Development Share of Budget,Hungary
2020,European Commission - European Development Fund,38.78,0.08%,European Commission - European Development Fund,Hungary
2020,AIIB,10.06,0.02%,Asian Infrastructure Investment Bank,Hungary
