Year,Sector,Bilateral ODA for,Share,Donor
2023,Emergency Response,13.19,15.18%,Iceland
2023,Health & populations,9.9,11.4%,Iceland
2023,Refugees in donor countries,9.62,11.08%,Iceland
2023,Water and sanitation,7.92,9.12%,Iceland
2023,Donor administration costs,7.77,8.94%,Iceland
2023,Other multisector,7.63,8.78%,Iceland
2023,Government & civil society,6.3,7.25%,Iceland
2023,Energy,5.94,6.83%,Iceland
2023,"Agriculture (incl. forestry, fishing, rural development)",5.35,6.15%,Iceland
2023,Unspecified,3.9,4.49%,Iceland
2023,Education,3.71,4.27%,Iceland
2023,Disaster Prevention & Preparedness,1.23,1.42%,Iceland
2023,Reconstruction Relief & Rehabilitation,1.15,1.32%,Iceland
2023,Debt relief,1.14,1.31%,Iceland
2023,Environmental protection,1.09,1.25%,Iceland
2023,Other social services,0.29,0.33%,Iceland
2023,Infrastructure,0.27,0.31%,Iceland
2023,Food aid and commodity assistance,0.17,0.19%,Iceland
2023,Financial services & business support,0.17,0.2%,Iceland
2023,General budget support,0.1,0.12%,Iceland
2023,Trade policy,0.02,0.03%,Iceland
2023,"Industry, construction & mining",0.02,0.02%,Iceland
2023,"Conflict, peace & security",0.01,0.01%,Iceland
2022,Emergency Response,9.7,12.82%,Iceland
2022,Health & populations,8.86,11.71%,Iceland
2022,Refugees in donor countries,6.67,8.82%,Iceland
2022,Donor administration costs,6.58,8.7%,Iceland
2022,Water and sanitation,6.24,8.25%,Iceland
2022,Energy,6.17,8.16%,Iceland
2022,Reconstruction Relief & Rehabilitation,5.81,7.67%,Iceland
2022,Government & civil society,5.57,7.36%,Iceland
2022,Education,5.48,7.25%,Iceland
2022,"Agriculture (incl. forestry, fishing, rural development)",4.34,5.73%,Iceland
2022,Other social services,3.04,4.02%,Iceland
2022,Unspecified,3.0,3.97%,Iceland
2022,Other multisector,2.9,3.83%,Iceland
2022,Environmental protection,0.53,0.71%,Iceland
2022,Financial services & business support,0.21,0.27%,Iceland
2022,Infrastructure,0.21,0.28%,Iceland
2022,Food aid and commodity assistance,0.19,0.25%,Iceland
2022,Disaster Prevention & Preparedness,0.16,0.21%,Iceland
2021,Health & populations,15.66,25.46%,Iceland
2021,Emergency Response,7.8,12.68%,Iceland
2021,Education,6.88,11.19%,Iceland
2021,Government & civil society,5.19,8.44%,Iceland
2021,Donor administration costs,4.97,8.08%,Iceland
2021,Refugees in donor countries,4.63,7.53%,Iceland
2021,Energy,4.21,6.85%,Iceland
2021,"Agriculture (incl. forestry, fishing, rural development)",3.54,5.76%,Iceland
2021,Other multisector,3.14,5.1%,Iceland
2021,Water and sanitation,1.64,2.66%,Iceland
2021,Environmental protection,0.73,1.2%,Iceland
2021,Unspecified,0.63,1.03%,Iceland
2021,Debt relief,0.61,1.0%,Iceland
2021,Disaster Prevention & Preparedness,0.59,0.97%,Iceland
2021,Other social services,0.57,0.92%,Iceland
2021,Infrastructure,0.2,0.33%,Iceland
2021,Financial services & business support,0.2,0.33%,Iceland
2021,"Conflict, peace & security",0.13,0.21%,Iceland
2021,Reconstruction Relief & Rehabilitation,0.08,0.14%,Iceland
2021,"Industry, construction & mining",0.08,0.13%,Iceland
2020,Health & populations,11.4,20.37%,Iceland
2020,Refugees in donor countries,6.91,12.34%,Iceland
2020,Education,6.36,11.37%,Iceland
2020,Government & civil society,5.98,10.68%,Iceland
2020,Donor administration costs,5.45,9.75%,Iceland
2020,Emergency Response,4.62,8.25%,Iceland
2020,Water and sanitation,4.16,7.43%,Iceland
2020,"Agriculture (incl. forestry, fishing, rural development)",3.99,7.13%,Iceland
2020,Energy,2.88,5.14%,Iceland
2020,Other multisector,1.46,2.62%,Iceland
2020,Unspecified,1.03,1.85%,Iceland
2020,Debt relief,0.58,1.03%,Iceland
2020,Other social services,0.57,1.02%,Iceland
2020,Reconstruction Relief & Rehabilitation,0.23,0.42%,Iceland
2020,Financial services & business support,0.18,0.33%,Iceland
2020,Infrastructure,0.07,0.13%,Iceland
2020,Disaster Prevention & Preparedness,0.04,0.07%,Iceland
2020,"Industry, construction & mining",0.02,0.04%,Iceland
2020,Environmental protection,0.02,0.03%,Iceland
2019,Refugees in donor countries,9.06,15.45%,Iceland
2019,"Agriculture (incl. forestry, fishing, rural development)",6.61,11.26%,Iceland
2019,Education,5.66,9.64%,Iceland
2019,Donor administration costs,5.45,9.29%,Iceland
2019,Water and sanitation,5.44,9.26%,Iceland
2019,Emergency Response,5.33,9.09%,Iceland
2019,Government & civil society,4.79,8.17%,Iceland
2019,Energy,4.76,8.12%,Iceland
2019,Health & populations,4.66,7.94%,Iceland
2019,Other multisector,3.71,6.33%,Iceland
2019,Other social services,1.16,1.98%,Iceland
2019,Unspecified,1.02,1.74%,Iceland
2019,Debt relief,0.53,0.9%,Iceland
2019,"Conflict, peace & security",0.31,0.53%,Iceland
2019,Infrastructure,0.11,0.19%,Iceland
2019,Financial services & business support,0.04,0.06%,Iceland
2019,"Industry, construction & mining",0.02,0.03%,Iceland
2019,Reconstruction Relief & Rehabilitation,0.01,0.02%,Iceland
