Year,Multi_short,ODA,Share,full name,Donor
2019,IDA,3.86,0.01%,International Development Association ,Iceland
2019,United Nations Entity for Gender Equality and the Empowerment of Women,1.25,0.0%,United Nations Entity for Gender Equality and the Empowerment of Women,Iceland
2019,UNICEF,1.21,0.0%,United Nations Children's Fund ,Iceland
2019,CERF,0.93,0.0%,Central Emergency Response Fund,Iceland
2019,AIIB,0.68,0.0%,Asian Infrastructure Investment Bank,Iceland
2019,United Nations Office of the High Commissioner for Refugees,0.47,0.0%,United Nations Office of the High Commissioner for Refugees,Iceland
2019,WFP,0.47,0.0%,World Food Programme ,Iceland
2019,UN,0.41,0.0%,United Nations,Iceland
2019,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",0.36,0.0%,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",Iceland
2019,UNFPA,0.29,0.0%,United Nations Population Fund ,Iceland
2019,Council of Europe,0.26,0.0%,Council of Europe,Iceland
2019,GCF,0.23,0.0%,Green Climate Fund,Iceland
2019,UNRWA,0.23,0.0%,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Iceland
2019,United Nations Office of Co-ordination of Humanitarian Affairs ,0.23,0.0%,United Nations Office of Co-ordination of Humanitarian Affairs ,Iceland
2019,Organization for Security and Co-operation in Europe,0.22,0.0%,Organization for Security and Co-operation in Europe,Iceland
2019,UNDP,0.1,0.0%,United Nations Development Programme ,Iceland
2019,FAO,0.09,0.0%,Food and Agricultural Organisation,Iceland
2019,"United Nations Department of Political and Peacebuilding Affairs, Trust Fund in Support of Political Affairs",0.09,0.0%,"United Nations Department of Political and Peacebuilding Affairs, Trust Fund in Support of Political Affairs",Iceland
2019,"United Nations Educational, Scientific and Cultural Organisation",0.06,0.0%,"United Nations Educational, Scientific and Cultural Organisation",Iceland
2019,International Atomic Energy Agency - assessed contributions,0.04,0.0%,International Atomic Energy Agency - assessed contributions,Iceland
2019,UNEP,0.0,0.0%,United Nations Environment Programme ,Iceland
2019,Convention to Combat Desertification ,0.0,0.0%,Convention to Combat Desertification ,Iceland
2020,IDA,3.72,0.01%,International Development Association ,Iceland
2020,IBRD,2.17,0.0%,International Bank for Reconstruction and Development ,Iceland
2020,United Nations Entity for Gender Equality and the Empowerment of Women,1.2,0.0%,United Nations Entity for Gender Equality and the Empowerment of Women,Iceland
2020,UNICEF,1.16,0.0%,United Nations Children's Fund ,Iceland
2020,United Nations Office of the High Commissioner for Refugees,0.93,0.0%,United Nations Office of the High Commissioner for Refugees,Iceland
2020,WFP,0.81,0.0%,World Food Programme ,Iceland
2020,United Nations Office of Co-ordination of Humanitarian Affairs ,0.63,0.0%,United Nations Office of Co-ordination of Humanitarian Affairs ,Iceland
2020,UNFPA,0.46,0.0%,United Nations Population Fund ,Iceland
2020,UN,0.41,0.0%,United Nations,Iceland
2020,Organization for Security and Co-operation in Europe,0.36,0.0%,Organization for Security and Co-operation in Europe,Iceland
2020,CERF,0.36,0.0%,Central Emergency Response Fund,Iceland
2020,GCF,0.35,0.0%,Green Climate Fund,Iceland
2020,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",0.3,0.0%,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",Iceland
2020,World Health Organisation - core voluntary contributions account,0.27,0.0%,World Health Organisation - core voluntary contributions account,Iceland
2020,Council of Europe,0.26,0.0%,Council of Europe,Iceland
2020,UNRWA,0.22,0.0%,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Iceland
2020,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),0.22,0.0%,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),Iceland
2020,FAO,0.12,0.0%,Food and Agricultural Organisation,Iceland
2020,UNDP,0.09,0.0%,United Nations Development Programme ,Iceland
2020,"United Nations Department of Political and Peacebuilding Affairs, Trust Fund in Support of Political Affairs",0.09,0.0%,"United Nations Department of Political and Peacebuilding Affairs, Trust Fund in Support of Political Affairs",Iceland
2020,"United Nations Educational, Scientific and Cultural Organisation",0.06,0.0%,"United Nations Educational, Scientific and Cultural Organisation",Iceland
2020,International Atomic Energy Agency - assessed contributions,0.05,0.0%,International Atomic Energy Agency - assessed contributions,Iceland
2020,International Organisation for Migration ,0.02,0.0%,International Organisation for Migration ,Iceland
2020,UNEP,0.0,0.0%,United Nations Environment Programme ,Iceland
2021,IDA,4.11,0.01%,International Development Association ,Iceland
2021,IBRD,1.19,0.0%,International Bank for Reconstruction and Development ,Iceland
2021,United Nations Entity for Gender Equality and the Empowerment of Women,1.13,0.0%,United Nations Entity for Gender Equality and the Empowerment of Women,Iceland
2021,UNICEF,1.09,0.0%,United Nations Children's Fund ,Iceland
2021,CERF,0.8,0.0%,Central Emergency Response Fund,Iceland
2021,IFC,0.62,0.0%,International Finance Corporation ,Iceland
2021,GCF,0.62,0.0%,Green Climate Fund,Iceland
2021,UNFPA,0.59,0.0%,United Nations Population Fund ,Iceland
2021,United Nations Office of Co-ordination of Humanitarian Affairs ,0.54,0.0%,United Nations Office of Co-ordination of Humanitarian Affairs ,Iceland
2021,United Nations Office of the High Commissioner for Refugees,0.53,0.0%,United Nations Office of the High Commissioner for Refugees,Iceland
2021,UN,0.45,0.0%,United Nations,Iceland
2021,AF,0.43,0.0%,Adaptation Fund,Iceland
2021,WFP,0.42,0.0%,World Food Programme ,Iceland
2021,Council of Europe,0.28,0.0%,Council of Europe,Iceland
2021,Convention to Combat Desertification ,0.22,0.0%,Convention to Combat Desertification ,Iceland
2021,UNRWA,0.21,0.0%,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Iceland
2021,Organization for Security and Co-operation in Europe,0.18,0.0%,Organization for Security and Co-operation in Europe,Iceland
2021,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),0.17,0.0%,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),Iceland
2021,"United Nations Department of Political and Peacebuilding Affairs, Trust Fund in Support of Political Affairs",0.15,0.0%,"United Nations Department of Political and Peacebuilding Affairs, Trust Fund in Support of Political Affairs",Iceland
2021,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",0.14,0.0%,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",Iceland
2021,FAO,0.1,0.0%,Food and Agricultural Organisation,Iceland
2021,UNDP,0.08,0.0%,United Nations Development Programme ,Iceland
2021,"United Nations Educational, Scientific and Cultural Organisation",0.06,0.0%,"United Nations Educational, Scientific and Cultural Organisation",Iceland
2021,International Organisation for Migration ,0.02,0.0%,International Organisation for Migration ,Iceland
2021,International Renewable Energy Agency,0.01,0.0%,International Renewable Energy Agency,Iceland
2022,IDA,7.57,0.01%,International Development Association ,Iceland
2022,CERF,2.16,0.0%,Central Emergency Response Fund,Iceland
2022,WFP,1.54,0.0%,World Food Programme ,Iceland
2022,United Nations Office of the High Commissioner for Refugees,1.54,0.0%,United Nations Office of the High Commissioner for Refugees,Iceland
2022,UNICEF,1.16,0.0%,United Nations Children's Fund ,Iceland
2022,United Nations Entity for Gender Equality and the Empowerment of Women,1.16,0.0%,United Nations Entity for Gender Equality and the Empowerment of Women,Iceland
2022,IBRD,1.1,0.0%,International Bank for Reconstruction and Development ,Iceland
2022,UNFPA,0.93,0.0%,United Nations Population Fund ,Iceland
2022,UNDP,0.66,0.0%,United Nations Development Programme ,Iceland
2022,GCF,0.63,0.0%,Green Climate Fund,Iceland
2022,United Nations Office of Co-ordination of Humanitarian Affairs ,0.62,0.0%,United Nations Office of Co-ordination of Humanitarian Affairs ,Iceland
2022,IFC,0.58,0.0%,International Finance Corporation ,Iceland
2022,UN,0.54,0.0%,United Nations,Iceland
2022,NDF,0.48,0.0%,Nordic Development Fund,Iceland
2022,AF,0.42,0.0%,Adaptation Fund,Iceland
2022,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",0.39,0.0%,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",Iceland
2022,UNRWA,0.27,0.0%,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Iceland
2022,Council of Europe,0.25,0.0%,Council of Europe,Iceland
