Year,Sector,Bilateral ODA for,Share,Donor
2023,Infrastructure,512.85,19.3%,Korea
2023,Health & populations,343.69,12.93%,Korea
2023,Education,240.75,9.06%,Korea
2023,"Agriculture (incl. forestry, fishing, rural development)",226.84,8.54%,Korea
2023,Energy,178.56,6.72%,Korea
2023,Government & civil society,147.73,5.56%,Korea
2023,Water and sanitation,133.1,5.01%,Korea
2023,Unspecified,126.26,4.75%,Korea
2023,Emergency Response,123.36,4.64%,Korea
2023,Environmental protection,115.67,4.35%,Korea
2023,Donor administration costs,106.33,4.0%,Korea
2023,Other multisector,98.64,3.71%,Korea
2023,Financial services & business support,81.96,3.08%,Korea
2023,"Industry, construction & mining",59.71,2.25%,Korea
2023,Other social services,53.87,2.03%,Korea
2023,Food aid and commodity assistance,39.71,1.49%,Korea
2023,"Conflict, peace & security",31.12,1.17%,Korea
2023,Disaster Prevention & Preparedness,12.04,0.45%,Korea
2023,Trade policy,9.85,0.37%,Korea
2023,Reconstruction Relief & Rehabilitation,9.07,0.34%,Korea
2023,Tourism,5.4,0.2%,Korea
2023,Refugees in donor countries,1.27,0.05%,Korea
2022,Health & populations,418.84,16.81%,Korea
2022,Infrastructure,312.58,12.55%,Korea
2022,Energy,240.96,9.67%,Korea
2022,Education,236.4,9.49%,Korea
2022,"Agriculture (incl. forestry, fishing, rural development)",184.85,7.42%,Korea
2022,Water and sanitation,171.71,6.89%,Korea
2022,Unspecified,155.53,6.24%,Korea
2022,Emergency Response,148.84,5.98%,Korea
2022,Government & civil society,128.92,5.18%,Korea
2022,Donor administration costs,102.53,4.12%,Korea
2022,Other multisector,88.35,3.55%,Korea
2022,Financial services & business support,53.2,2.14%,Korea
2022,"Industry, construction & mining",51.98,2.09%,Korea
2022,Environmental protection,51.93,2.08%,Korea
2022,Other social services,49.52,1.99%,Korea
2022,Food aid and commodity assistance,40.48,1.62%,Korea
2022,"Conflict, peace & security",18.75,0.75%,Korea
2022,Refugees in donor countries,10.89,0.44%,Korea
2022,Disaster Prevention & Preparedness,7.91,0.32%,Korea
2022,Reconstruction Relief & Rehabilitation,7.1,0.29%,Korea
2022,Trade policy,5.78,0.23%,Korea
2022,Tourism,3.92,0.16%,Korea
2021,Health & populations,585.71,26.4%,Korea
2021,Infrastructure,277.47,12.51%,Korea
2021,Water and sanitation,190.17,8.57%,Korea
2021,Education,189.48,8.54%,Korea
2021,"Agriculture (incl. forestry, fishing, rural development)",146.55,6.61%,Korea
2021,Emergency Response,132.73,5.98%,Korea
2021,Government & civil society,117.62,5.3%,Korea
2021,Other social services,111.88,5.04%,Korea
2021,Unspecified,97.22,4.38%,Korea
2021,Donor administration costs,94.69,4.27%,Korea
2021,Energy,90.06,4.06%,Korea
2021,Other multisector,67.73,3.05%,Korea
2021,"Industry, construction & mining",41.02,1.85%,Korea
2021,Environmental protection,28.62,1.29%,Korea
2021,"Conflict, peace & security",10.88,0.49%,Korea
2021,Financial services & business support,9.9,0.45%,Korea
2021,Trade policy,7.86,0.35%,Korea
2021,Reconstruction Relief & Rehabilitation,7.56,0.34%,Korea
2021,Disaster Prevention & Preparedness,7.44,0.34%,Korea
2021,Tourism,3.03,0.14%,Korea
2021,Refugees in donor countries,0.48,0.02%,Korea
2021,Food aid and commodity assistance,0.31,0.01%,Korea
2020,Health & populations,602.37,32.64%,Korea
2020,Infrastructure,198.59,10.76%,Korea
2020,Education,185.69,10.06%,Korea
2020,Water and sanitation,142.65,7.73%,Korea
2020,Emergency Response,109.8,5.95%,Korea
2020,"Agriculture (incl. forestry, fishing, rural development)",103.52,5.61%,Korea
2020,Unspecified,100.54,5.45%,Korea
2020,Donor administration costs,91.44,4.95%,Korea
2020,Government & civil society,77.31,4.19%,Korea
2020,Other multisector,65.36,3.54%,Korea
2020,Energy,58.56,3.17%,Korea
2020,Other social services,28.33,1.54%,Korea
2020,"Conflict, peace & security",14.62,0.79%,Korea
2020,"Industry, construction & mining",13.83,0.75%,Korea
2020,Disaster Prevention & Preparedness,12.09,0.65%,Korea
2020,Environmental protection,11.59,0.63%,Korea
2020,Trade policy,9.22,0.5%,Korea
2020,Financial services & business support,7.16,0.39%,Korea
2020,Tourism,4.86,0.26%,Korea
2020,Food aid and commodity assistance,3.85,0.21%,Korea
2020,Reconstruction Relief & Rehabilitation,2.95,0.16%,Korea
2020,Refugees in donor countries,1.31,0.07%,Korea
2020,Debt relief,,,Korea
2019,Infrastructure,285.81,14.53%,Korea
2019,Water and sanitation,279.02,14.19%,Korea
2019,Education,240.38,12.22%,Korea
2019,Energy,181.41,9.22%,Korea
2019,Health & populations,180.52,9.18%,Korea
2019,"Agriculture (incl. forestry, fishing, rural development)",148.62,7.56%,Korea
2019,Unspecified,129.28,6.57%,Korea
2019,Government & civil society,106.57,5.42%,Korea
2019,Emergency Response,90.0,4.58%,Korea
2019,Donor administration costs,85.2,4.33%,Korea
2019,Other multisector,66.04,3.36%,Korea
2019,Other social services,44.35,2.25%,Korea
2019,Environmental protection,30.19,1.53%,Korea
2019,"Industry, construction & mining",29.67,1.51%,Korea
2019,Reconstruction Relief & Rehabilitation,17.64,0.9%,Korea
2019,"Conflict, peace & security",16.85,0.86%,Korea
2019,Disaster Prevention & Preparedness,11.1,0.56%,Korea
2019,Financial services & business support,6.65,0.34%,Korea
2019,Food aid and commodity assistance,6.32,0.32%,Korea
2019,Trade policy,5.51,0.28%,Korea
2019,Tourism,3.69,0.19%,Korea
2019,Refugees in donor countries,1.36,0.07%,Korea
2019,General budget support,0.75,0.04%,Korea
