year,incomegroup_name,total_oda,Share,Donor
2023,LDCs,190.85,44.83,Luxembourg
2023,Part I unallocated by income,145.0,34.06,Luxembourg
2023,LMICs,63.77,14.98,Luxembourg
2023,UMICs,20.88,4.9,Luxembourg
2023,Other LICs,5.25,1.23,Luxembourg
2022,LDCs,219.26,52.55,Luxembourg
2022,Part I unallocated by income,129.8,31.11,Luxembourg
2022,LMICs,43.42,10.41,Luxembourg
2022,UMICs,19.8,4.75,Luxembourg
2022,Other LICs,4.94,1.18,Luxembourg
2021,LDCs,203.11,52.84,Luxembourg
2021,Part I unallocated by income,116.32,30.26,Luxembourg
2021,LMICs,38.71,10.07,Luxembourg
2021,UMICs,19.83,5.16,Luxembourg
2021,Other LICs,6.39,1.66,Luxembourg
2020,LDCs,186.13,51.78,Luxembourg
2020,Part I unallocated by income,114.44,31.84,Luxembourg
2020,LMICs,41.02,11.41,Luxembourg
2020,UMICs,14.57,4.05,Luxembourg
2020,Other LICs,3.28,0.91,Luxembourg
2019,LDCs,213.66,47.88,Luxembourg
2019,Part I unallocated by income,152.16,34.1,Luxembourg
2019,LMICs,52.8,11.83,Luxembourg
2019,UMICs,24.75,5.55,Luxembourg
2019,Other LICs,2.9,0.65,Luxembourg
