Year,Multi_short,ODA,Share,Full Name,Donor
2019,European Commission - Development Share of Budget,47.91,0.1%,European Commission - Development Share of Budget,Luxembourg
2019,IDA,25.42,0.05%,International Development Association ,Luxembourg
2019,UNRWA,5.45,0.01%,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Luxembourg
2019,ADF,5.35,0.01%,African Development Fund ,Luxembourg
2019,UNDP,5.18,0.01%,United Nations Development Programme ,Luxembourg
2019,UNFPA,4.09,0.01%,United Nations Population Fund ,Luxembourg
2019,UNICEF,4.09,0.01%,United Nations Children's Fund ,Luxembourg
2019,"Global Fund to Fight AIDS, Tuberculosis and Malaria ",3.68,0.01%,"Global Fund to Fight AIDS, Tuberculosis and Malaria ",Luxembourg
2019,Joint United Nations Programme on HIV/AIDS ,3.4,0.01%,Joint United Nations Programme on HIV/AIDS ,Luxembourg
2019,Asian Development Fund ,3.28,0.01%,Asian Development Fund ,Luxembourg
2019,AIIB,2.88,0.01%,Asian Infrastructure Investment Bank,Luxembourg
2019,United Nations Office of the High Commissioner for Refugees,2.72,0.01%,United Nations Office of the High Commissioner for Refugees,Luxembourg
2019,United Nations Entity for Gender Equality and the Empowerment of Women,2.04,0.0%,United Nations Entity for Gender Equality and the Empowerment of Women,Luxembourg
2019,International Labour Organisation - Regular Budget Supplementary Account,1.7,0.0%,International Labour Organisation - Regular Budget Supplementary Account,Luxembourg
2019,AfDB,1.62,0.0%,African Development Bank,Luxembourg
2019,GEF-TF,1.59,0.0%,Global Environment Facility Trust Fund,Luxembourg
2019,IFAD,1.5,0.0%,International Fund for Agricultural Development ,Luxembourg
2019,ADB,1.45,0.0%,Asian Development Bank,Luxembourg
2019,WFP,1.36,0.0%,World Food Programme ,Luxembourg
2019,GAVI,1.12,0.0%,Global Alliance for Vaccines and Immunization ,Luxembourg
2019,EIB,1.1,0.0%,European Investment Bank ,Luxembourg
2019,UN,1.05,0.0%,United Nations,Luxembourg
2019,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",0.73,0.0%,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",Luxembourg
2019,United Nations Office of Co-ordination of Humanitarian Affairs ,0.68,0.0%,United Nations Office of Co-ordination of Humanitarian Affairs ,Luxembourg
2019,Organization for Security and Co-operation in Europe,0.64,0.0%,Organization for Security and Co-operation in Europe,Luxembourg
2019,United Nations Office on Drugs and Crime ,0.54,0.0%,United Nations Office on Drugs and Crime ,Luxembourg
2019,United Nations Peacebuilding Fund,0.54,0.0%,United Nations Peacebuilding Fund,Luxembourg
2019,UNEP,0.34,0.0%,United Nations Environment Programme ,Luxembourg
2019,"United Nations Educational, Scientific and Cultural Organisation",0.31,0.0%,"United Nations Educational, Scientific and Cultural Organisation",Luxembourg
2019,FAO,0.31,0.0%,Food and Agricultural Organisation,Luxembourg
2019,World Health Organisation - assessed contributions,0.28,0.0%,World Health Organisation - assessed contributions,Luxembourg
2019,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),0.23,0.0%,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),Luxembourg
2019,Council of Europe,0.18,0.0%,Council of Europe,Luxembourg
2019,International Labour Organisation - Assessed Contributions,0.17,0.0%,International Labour Organisation - Assessed Contributions,Luxembourg
2019,International Atomic Energy Agency - assessed contributions,0.15,0.0%,International Atomic Energy Agency - assessed contributions,Luxembourg
2019,International Organisation of the Francophonie,0.14,0.0%,International Organisation of the Francophonie,Luxembourg
2019,UNIDO,0.1,0.0%,United Nations Industrial Development Organisation ,Luxembourg
2019,International Maritime Organization - Technical Co-operation Fund,0.06,0.0%,International Maritime Organization - Technical Co-operation Fund,Luxembourg
2019,Convention to Combat Desertification ,0.01,0.0%,Convention to Combat Desertification ,Luxembourg
