year,Region,Bilateral ODA,Share,Donor
2023,"Developing countries, unspecified",3640.35,71.3%,Netherlands
2023,sub-Saharan Africa,782.78,15.3%,Netherlands
2023,Europe,360.41,7.1%,Netherlands
2023,MENA region,165.52,3.2%,Netherlands
2023,Asia,76.29,1.5%,Netherlands
2023,"Africa, regional",66.13,1.3%,Netherlands
2023,Latin America and the Caribbeans,11.31,0.2%,Netherlands
2023,"Asia, regional",6.03,0.1%,Netherlands
2022,"Developing countries, unspecified",3535.85,73.4%,Netherlands
2022,sub-Saharan Africa,737.68,15.3%,Netherlands
2022,Europe,222.22,4.6%,Netherlands
2022,MENA region,191.77,4.0%,Netherlands
2022,Asia,71.77,1.5%,Netherlands
2022,"Africa, regional",38.86,0.8%,Netherlands
2022,Latin America and the Caribbeans,15.5,0.3%,Netherlands
2022,"Asia, regional",6.71,0.1%,Netherlands
2021,"Developing countries, unspecified",2775.66,70.1%,Netherlands
2021,sub-Saharan Africa,785.64,19.8%,Netherlands
2021,MENA region,184.35,4.7%,Netherlands
2021,Asia,82.08,2.1%,Netherlands
2021,"Africa, regional",72.91,1.8%,Netherlands
2021,Europe,33.29,0.8%,Netherlands
2021,Latin America and the Caribbeans,15.72,0.4%,Netherlands
2021,"Asia, regional",8.46,0.2%,Netherlands
2020,"Developing countries, unspecified",2943.18,70.9%,Netherlands
2020,sub-Saharan Africa,741.48,17.9%,Netherlands
2020,MENA region,219.2,5.3%,Netherlands
2020,Asia,115.65,2.8%,Netherlands
2020,"Africa, regional",65.21,1.6%,Netherlands
2020,Europe,40.63,1.0%,Netherlands
2020,Latin America and the Caribbeans,15.3,0.4%,Netherlands
2020,"Asia, regional",8.01,0.2%,Netherlands
2019,"Developing countries, unspecified",2765.58,70.0%,Netherlands
2019,sub-Saharan Africa,750.17,19.0%,Netherlands
2019,MENA region,164.85,4.2%,Netherlands
2019,Asia,160.86,4.1%,Netherlands
2019,"Africa, regional",61.99,1.6%,Netherlands
2019,Europe,23.21,0.6%,Netherlands
2019,Latin America and the Caribbeans,19.43,0.5%,Netherlands
2019,"Asia, regional",4.79,0.1%,Netherlands
