Year,Multi_short,ODA,Share,full name,Donor
2019,IDA,12.47,0.03%,International Development Association ,New Zealand
2019,GCF,10.81,0.02%,Green Climate Fund,New Zealand
2019,UNDP,5.77,0.01%,United Nations Development Programme ,New Zealand
2019,Forum Fisheries Agency ,4.97,0.01%,Forum Fisheries Agency ,New Zealand
2019,Pacific Islands Forum Secretariat ,4.84,0.01%,Pacific Islands Forum Secretariat ,New Zealand
2019,UN,4.72,0.01%,United Nations,New Zealand
2019,ADB,4.36,0.01%,Asian Development Bank,New Zealand
2019,UNFPA,4.32,0.01%,United Nations Population Fund ,New Zealand
2019,WFP,4.32,0.01%,World Food Programme ,New Zealand
2019,UNICEF,4.32,0.01%,United Nations Children's Fund ,New Zealand
2019,United Nations Office of the High Commissioner for Refugees,4.32,0.01%,United Nations Office of the High Commissioner for Refugees,New Zealand
2019,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",4.12,0.01%,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",New Zealand
2019,CGIAR ,3.96,0.01%,CGIAR Fund,New Zealand
2019,United Nations Office of Co-ordination of Humanitarian Affairs ,3.6,0.01%,United Nations Office of Co-ordination of Humanitarian Affairs ,New Zealand
2019,UNRWA,2.88,0.01%,United Nations Relief and Works Agency for Palestine Refugees in the Near East,New Zealand
2019,AF,2.16,0.0%,Adaptation Fund,New Zealand
2019,CERF,2.16,0.0%,Central Emergency Response Fund,New Zealand
2019,United Nations Mine Action Service ,2.16,0.0%,United Nations Mine Action Service ,New Zealand
2019,FAO,2.0,0.0%,Food and Agricultural Organisation,New Zealand
