Year,Multi_short,ODA,Share,Full Name,Donor
2019,GAVI,157.59,0.33%,Global Alliance for Vaccines and Immunization ,Norway
2019,IDA,114.4,0.24%,International Development Association ,Norway
2019,"Global Fund to Fight AIDS, Tuberculosis and Malaria ",87.43,0.18%,"Global Fund to Fight AIDS, Tuberculosis and Malaria ",Norway
2019,ADF,76.68,0.16%,African Development Fund ,Norway
2019,UNDP,69.32,0.14%,United Nations Development Programme ,Norway
2019,UNFPA,66.19,0.14%,United Nations Population Fund ,Norway
2019,CERF,57.45,0.12%,Central Emergency Response Fund,Norway
2019,UNICEF,54.95,0.11%,United Nations Children's Fund ,Norway
2019,GCF,49.96,0.1%,Green Climate Fund,Norway
2019,United Nations Office of the High Commissioner for Refugees,47.46,0.1%,United Nations Office of the High Commissioner for Refugees,Norway
2019,WFP,37.47,0.08%,World Food Programme ,Norway
2019,AIIB,19.83,0.04%,Asian Infrastructure Investment Bank,Norway
2019,IFFIm,18.45,0.04%,International Finance Facility for Immunisation,Norway
2019,Joint United Nations Programme on HIV/AIDS ,17.49,0.04%,Joint United Nations Programme on HIV/AIDS ,Norway
2019,CGIAR ,16.24,0.03%,CGIAR Fund,Norway
2019,GEF-TF,16.24,0.03%,Global Environment Facility Trust Fund,Norway
2019,UNRWA,15.61,0.03%,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Norway
2019,IFAD,14.99,0.03%,International Fund for Agricultural Development ,Norway
2019,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund ,13.06,0.03%,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund ,Norway
2019,United Nations Entity for Gender Equality and the Empowerment of Women,12.49,0.03%,United Nations Entity for Gender Equality and the Empowerment of Women,Norway
2019,AF,11.24,0.02%,Adaptation Fund,Norway
2019,United Nations Office of Co-ordination of Humanitarian Affairs ,11.24,0.02%,United Nations Office of Co-ordination of Humanitarian Affairs ,Norway
2019,UN,10.49,0.02%,United Nations,Norway
2019,UNDCO,10.37,0.02%,United Nations Development Coordination Office,Norway
2019,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",9.57,0.02%,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",Norway
2019,United Nations Peacebuilding Fund,8.74,0.02%,United Nations Peacebuilding Fund,Norway
2019,Asian Development Fund ,7.16,0.01%,Asian Development Fund ,Norway
2019,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),6.74,0.01%,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),Norway
2019,"United Nations Department of Political and Peacebuilding Affairs, Trust Fund in Support of Political Affairs",4.62,0.01%,"United Nations Department of Political and Peacebuilding Affairs, Trust Fund in Support of Political Affairs",Norway
2019,Organization for Security and Co-operation in Europe,3.95,0.01%,Organization for Security and Co-operation in Europe,Norway
2019,FAO,3.69,0.01%,Food and Agricultural Organisation,Norway
2019,World Health Organisation - assessed contributions,3.31,0.01%,World Health Organisation - assessed contributions,Norway
2019,International Organisation for Migration ,3.0,0.01%,International Organisation for Migration ,Norway
2019,European Bank for Reconstruction and Development - Western Balkans Joint Trust Fund,2.54,0.01%,European Bank for Reconstruction and Development - Western Balkans Joint Trust Fund,Norway
2019,International drug purchase facility,2.5,0.01%,International drug purchase facility,Norway
2019,United Nations Human Settlement Programme ,2.5,0.01%,United Nations Human Settlement Programme ,Norway
2019,International Institute for Democracy and Electoral Assistance ,2.5,0.01%,International Institute for Democracy and Electoral Assistance ,Norway
2019,United Nations Office on Drugs and Crime ,2.37,0.0%,United Nations Office on Drugs and Crime ,Norway
2019,MLF-MP,2.27,0.0%,Multilateral Fund for the Implementation of the Montreal Protocol ,Norway
2019,GGGI,2.08,0.0%,Global Green Growth Institute,Norway
2019,Council of Europe,2.04,0.0%,Council of Europe,Norway
2019,United Nations Framework Convention on Climate Change ,2.02,0.0%,United Nations Framework Convention on Climate Change ,Norway
2019,International Labour Organisation - Assessed Contributions,1.97,0.0%,International Labour Organisation - Assessed Contributions,Norway
