year,Region,Bilateral ODA,Share,Donor
2023,sub-Saharan Africa,185.13,66.4%,Portugal
2023,"Developing countries, unspecified",34.09,12.2%,Portugal
2023,Asia,17.12,6.1%,Portugal
2023,Latin America and the Caribbeans,16.42,5.9%,Portugal
2023,MENA region,15.78,5.7%,Portugal
2023,Europe,9.9,3.6%,Portugal
2023,"Asia, regional",0.36,0.1%,Portugal
2023,Oceania,0.04,0.0%,Portugal
2023,"Africa, regional",0.02,0.0%,Portugal
2022,sub-Saharan Africa,168.75,59.8%,Portugal
2022,Europe,41.0,14.5%,Portugal
2022,"Developing countries, unspecified",30.54,10.8%,Portugal
2022,Latin America and the Caribbeans,17.48,6.2%,Portugal
2022,Asia,15.9,5.6%,Portugal
2022,MENA region,8.09,2.9%,Portugal
2022,Oceania,0.21,0.1%,Portugal
2022,"Africa, regional",0.04,0.0%,Portugal
2022,"Asia, regional",0.02,0.0%,Portugal
2021,sub-Saharan Africa,146.94,69.3%,Portugal
2021,"Developing countries, unspecified",24.3,11.5%,Portugal
2021,Asia,21.36,10.1%,Portugal
2021,Latin America and the Caribbeans,11.9,5.6%,Portugal
2021,MENA region,4.25,2.0%,Portugal
2021,Europe,3.13,1.5%,Portugal
2021,"Africa, regional",0.12,0.1%,Portugal
2021,Oceania,0.1,0.0%,Portugal
2021,"Asia, regional",0.02,0.0%,Portugal
2020,sub-Saharan Africa,139.0,55.6%,Portugal
2020,Asia,65.63,26.2%,Portugal
2020,"Developing countries, unspecified",26.3,10.5%,Portugal
2020,Latin America and the Caribbeans,11.97,4.8%,Portugal
2020,Europe,5.2,2.1%,Portugal
2020,MENA region,1.8,0.7%,Portugal
2020,"Africa, regional",0.11,0.0%,Portugal
2020,"Asia, regional",0.02,0.0%,Portugal
2019,sub-Saharan Africa,138.77,69.5%,Portugal
2019,"Developing countries, unspecified",24.97,12.5%,Portugal
2019,Asia,20.85,10.4%,Portugal
2019,Latin America and the Caribbeans,8.31,4.2%,Portugal
2019,Europe,5.04,2.5%,Portugal
2019,MENA region,1.54,0.8%,Portugal
2019,"Africa, regional",0.23,0.1%,Portugal
2019,"Asia, regional",0.02,0.0%,Portugal
