Year,Multi_short,ODA,Share,Full Name,Donor
2019,European Commission - Development Share of Budget,40.25,0.08%,European Commission - Development Share of Budget,Slovenia
2019,European Commission - European Development Fund,12.88,0.03%,European Commission - European Development Fund,Slovenia
2019,CEF,1.59,0.0%,Center of Excellence in Finance,Slovenia
2019,GCF,1.3,0.0%,Green Climate Fund,Slovenia
2019,IDA,1.24,0.0%,International Development Association ,Slovenia
2019,GEF-TF,1.23,0.0%,Global Environment Facility Trust Fund,Slovenia
2019,IBRD,1.22,0.0%,International Bank for Reconstruction and Development ,Slovenia
2019,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",1.16,0.0%,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",Slovenia
2019,UN,1.13,0.0%,United Nations,Slovenia
2019,EIB,0.7,0.0%,European Investment Bank ,Slovenia
2019,FAO,0.36,0.0%,Food and Agricultural Organisation,Slovenia
2019,International Development Association - Multilateral Debt Relief Initiative,0.33,0.0%,International Development Association - Multilateral Debt Relief Initiative,Slovenia
2019,World Health Organisation - assessed contributions,0.33,0.0%,World Health Organisation - assessed contributions,Slovenia
2019,Council of Europe,0.32,0.0%,Council of Europe,Slovenia
2019,MLF-MP,0.28,0.0%,Multilateral Fund for the Implementation of the Montreal Protocol ,Slovenia
2019,Organization for Security and Co-operation in Europe,0.26,0.0%,Organization for Security and Co-operation in Europe,Slovenia
2019,UNIDO,0.24,0.0%,United Nations Industrial Development Organisation ,Slovenia
2019,International Labour Organisation - Assessed Contributions,0.21,0.0%,International Labour Organisation - Assessed Contributions,Slovenia
2019,UNEP,0.18,0.0%,United Nations Environment Programme ,Slovenia
2019,"United Nations Educational, Scientific and Cultural Organisation",0.18,0.0%,"United Nations Educational, Scientific and Cultural Organisation",Slovenia
2019,International Atomic Energy Agency - assessed contributions,0.13,0.0%,International Atomic Energy Agency - assessed contributions,Slovenia
2019,European Bank for Reconstruction and Development - Western Balkans Joint Trust Fund,0.13,0.0%,European Bank for Reconstruction and Development - Western Balkans Joint Trust Fund,Slovenia
2019,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),0.09,0.0%,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),Slovenia
2019,International Organisation for Migration ,0.05,0.0%,International Organisation for Migration ,Slovenia
2019,UNICEF,0.04,0.0%,United Nations Children's Fund ,Slovenia
2019,OECD Development Centre ,0.02,0.0%,OECD Development Centre ,Slovenia
2019,International Telecommunications Union,0.02,0.0%,International Telecommunications Union,Slovenia
2019,United Nations Framework Convention on Climate Change ,0.02,0.0%,United Nations Framework Convention on Climate Change ,Slovenia
2019,International Organisation of the Francophonie,0.01,0.0%,International Organisation of the Francophonie,Slovenia
2019,Convention to Combat Desertification ,0.01,0.0%,Convention to Combat Desertification ,Slovenia
2019,Universal Postal Union ,0.01,0.0%,Universal Postal Union ,Slovenia
2019,UNFPA,0.01,0.0%,United Nations Population Fund ,Slovenia
2019,International Renewable Energy Agency,0.01,0.0%,International Renewable Energy Agency,Slovenia
2019,CITES,0.01,0.0%,Convention on International Trade in Endangered Species of Wild Flora and Fauna,Slovenia
2019,United Nations Entity for Gender Equality and the Empowerment of Women,0.01,0.0%,United Nations Entity for Gender Equality and the Empowerment of Women,Slovenia
2019,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),0.01,0.0%,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),Slovenia
2019,World Intellectual Property Organisation ,0.0,0.0%,World Intellectual Property Organisation ,Slovenia
2019,World Meteorological Organisation ,0.0,0.0%,World Meteorological Organisation ,Slovenia
2020,European Commission - Development Share of Budget,45.62,0.09%,European Commission - Development Share of Budget,Slovenia
2020,European Commission - European Development Fund,12.74,0.02%,European Commission - European Development Fund,Slovenia
2020,CEF,1.58,0.0%,Center of Excellence in Finance,Slovenia
2020,IDA,1.5,0.0%,International Development Association ,Slovenia
2020,IBRD,1.2,0.0%,International Bank for Reconstruction and Development ,Slovenia
2020,UN,1.19,0.0%,United Nations,Slovenia
2020,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",0.71,0.0%,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",Slovenia
2020,EIB,0.7,0.0%,European Investment Bank ,Slovenia
2020,International Development Association - Multilateral Debt Relief Initiative,0.39,0.0%,International Development Association - Multilateral Debt Relief Initiative,Slovenia
2020,FAO,0.36,0.0%,Food and Agricultural Organisation,Slovenia
2020,Council of Europe,0.33,0.0%,Council of Europe,Slovenia
2020,World Health Organisation - assessed contributions,0.33,0.0%,World Health Organisation - assessed contributions,Slovenia
2020,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),0.27,0.0%,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),Slovenia
2020,Organization for Security and Co-operation in Europe,0.26,0.0%,Organization for Security and Co-operation in Europe,Slovenia
