Year,Multi_short,ODA,Share,full name,Donor
2019,European Commission - Development Share of Budget,965.0,2.01%,European Commission - Development Share of Budget,Spain
2019,European Commission - European Development Fund,428.9,0.89%,European Commission - European Development Fund,Spain
2019,IDA,216.79,0.45%,International Development Association ,Spain
2019,GCF,146.13,0.3%,Green Climate Fund,Spain
2019,AIIB,66.7,0.14%,Asian Infrastructure Investment Bank,Spain
2019,IBRD,45.77,0.1%,International Bank for Reconstruction and Development ,Spain
2019,CAF,35.08,0.07%,Development Bank of Latin America,Spain
2019,UN,30.54,0.06%,United Nations,Spain
2019,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",27.61,0.06%,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",Spain
2019,ADF,16.59,0.03%,African Development Fund ,Spain
2019,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund ",11.97,0.02%,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund ",Spain
2019,IFFIm,11.69,0.02%,International Finance Facility for Immunisation,Spain
2019,FAO,11.31,0.02%,Food and Agricultural Organisation,Spain
2019,World Health Organisation - assessed contributions,10.29,0.02%,World Health Organisation - assessed contributions,Spain
2019,AfDB,8.63,0.02%,African Development Bank,Spain
2019,MLF-MP,7.04,0.01%,Multilateral Fund for the Implementation of the Montreal Protocol ,Spain
2019,Council of Europe,7.0,0.01%,Council of Europe,Spain
2019,Organization for Security and Co-operation in Europe,6.05,0.01%,Organization for Security and Co-operation in Europe,Spain
2019,International Labour Organisation - Assessed Contributions,5.89,0.01%,International Labour Organisation - Assessed Contributions,Spain
2019,GEF-TF,5.55,0.01%,Global Environment Facility Trust Fund,Spain
2019,"United Nations Educational, Scientific and Cultural Organisation",4.49,0.01%,"United Nations Educational, Scientific and Cultural Organisation",Spain
2019,IFC,3.7,0.01%,International Finance Corporation ,Spain
2019,International Centre for Advanced Mediterranean Agronomic Studies ,3.22,0.01%,International Centre for Advanced Mediterranean Agronomic Studies ,Spain
2019,UNIDO,3.2,0.01%,United Nations Industrial Development Organisation ,Spain
2019,UNWTO,2.81,0.01%,World Tourism Organization,Spain
2019,EBRD,2.47,0.01%,European Bank for Reconstruction and Development,Spain
2019,World Health Organisation - core voluntary contributions account,2.05,0.0%,World Health Organisation - core voluntary contributions account,Spain
2019,ADB,1.85,0.0%,Asian Development Bank,Spain
2019,World Meteorological Organisation ,1.71,0.0%,World Meteorological Organisation ,Spain
2019,International Organisation for Migration ,1.56,0.0%,International Organisation for Migration ,Spain
2019,"International Monetary Fund (IMF), Other",1.23,0.0%,"International Monetary Fund (IMF), Other",Spain
2019,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),1.09,0.0%,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),Spain
